# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.836321 5.587855 5.145963 4.043051 nan nan nan
0.001072 5.766308 5.524196 5.179552 4.143135 nan nan nan
0.001150 5.696598 5.457674 5.115112 4.343805 nan nan nan
0.001233 5.626661 5.390043 4.896006 4.700480 nan nan nan
0.001322 5.556848 5.320681 4.883630 4.158883 nan nan nan
0.001417 5.487301 5.244903 4.781120 4.001254 nan nan nan
0.001520 5.417754 5.170793 4.711437 3.926912 nan nan nan
0.001630 5.348054 5.101941 4.649766 3.903991 nan nan nan
0.001748 5.278251 5.034220 4.603625 3.905334 nan nan nan
0.001874 5.208373 4.962821 4.553118 3.942968 nan nan nan
0.002009 5.138575 4.892942 4.476880 4.025352 nan nan nan
0.002154 5.068670 4.823105 4.397056 4.127134 nan nan nan
0.002310 4.999004 4.754976 4.334181 4.127134 nan nan nan
0.002477 4.929393 4.685906 4.259739 3.965564 nan nan nan
0.002656 4.859354 4.614296 4.179193 3.915825 nan nan nan
0.002848 4.789659 4.546025 4.112013 3.798198 nan nan nan
0.003054 4.719787 4.475239 4.029218 3.954959 nan nan nan
0.003275 4.649996 4.405917 3.966425 3.740705 nan nan nan
0.003511 4.580178 4.336299 3.908916 3.660662 4.127134 nan nan
0.003765 4.510351 4.265478 3.830994 3.575551 3.737670 nan nan
0.004037 4.440477 4.195721 3.760634 3.454184 3.663562 nan nan
0.004329 4.370782 4.125735 3.693571 3.432670 3.604138 nan nan
0.004642 4.300910 4.055524 3.628559 3.350083 3.332205 1.945910 nan
0.004977 4.231007 3.985966 3.567138 3.315651 3.115533 1.704748 nan
0.005337 4.161227 3.917396 3.502994 3.257021 3.066501 2.014903 nan
0.005722 4.091477 3.848341 3.439902 3.224658 3.118441 2.197225 nan
0.006136 4.021769 3.779266 3.359653 3.168368 3.106080 2.484907 nan
0.006579 3.952061 3.709649 3.295877 3.126184 3.095432 2.740840 nan
0.007055 3.882263 3.638936 3.223975 3.052376 2.883814 2.140066 nan
0.007565 3.812591 3.567917 3.158313 2.988467 2.729193 2.159484 nan
0.008111 3.742855 3.498344 3.086615 2.899526 2.598359 2.148434 1.945910
0.008697 3.673060 3.428296 3.017537 2.845558 2.567335 2.308816 2.079442
0.009326 3.603308 3.358880 2.949444 2.775677 2.578773 2.302585 1.945910
0.010000 3.533573 3.289423 2.879953 2.703384 2.516497 2.358155 1.722767
0.010723 3.463854 3.219815 2.810024 2.627622 2.458789 2.422168 2.001480
0.011498 3.394060 3.150428 2.742515 2.555437 2.394023 2.333676 2.097141
0.012328 3.324354 3.080627 2.673218 2.479784 2.320614 2.268684 2.163323
0.013219 3.254684 3.011234 2.604108 2.414152 2.256590 2.268401 2.239072
0.014175 3.185000 2.941891 2.533411 2.337417 2.182988 2.154369 2.187072
0.015199 3.115319 2.872090 2.462585 2.272389 2.113853 2.046855 2.041220
0.016298 3.045641 2.803229 2.393479 2.207068 2.058163 1.976559 1.924358
0.017475 2.975984 2.734123 2.325309 2.143599 2.004502 1.904643 1.824549
0.018738 2.906372 2.664992 2.257727 2.076392 1.925844 1.829134 1.754232
0.020092 2.836726 2.595786 2.190389 2.012414 1.860857 1.769719 1.726899
0.021544 2.767131 2.527079 2.123892 1.946740 1.795375 1.691228 1.634876
0.023101 2.697651 2.458417 2.057189 1.884361 1.732671 1.633588 1.586869
0.024771 2.628135 2.389781 1.990427 1.819554 1.673735 1.583227 1.557601
0.026561 2.558708 2.321467 1.925027 1.753506 1.604811 1.522224 1.481445
0.028480 2.489288 2.253390 1.859009 1.687976 1.540060 1.454277 1.428923
0.030539 2.419942 2.185399 1.794197 1.624281 1.479194 1.390131 1.378397
0.032745 2.350656 2.117466 1.730338 1.561472 1.416166 1.323505 1.302083
0.035112 2.281426 2.049933 1.667156 1.500975 1.356449 1.264672 1.245232
0.037649 2.212292 1.982822 1.605081 1.440664 1.298003 1.206484 1.185690
0.040370 2.143239 1.916048 1.543654 1.382799 1.238601 1.148598 1.127921
0.043288 2.074266 1.849562 1.483283 1.325821 1.183260 1.092152 1.072059
0.046416 2.005467 1.783603 1.424066 1.269751 1.127042 1.037884 1.021347
0.049770 1.936791 1.718169 1.366274 1.215821 1.075443 0.986478 0.970015
0.053367 1.868265 1.653168 1.309684 1.163541 1.024301 0.934691 0.918325
0.057224 1.799907 1.588872 1.254673 1.113650 0.975842 0.886311 0.869452
0.061359 1.731775 1.525115 1.201025 1.065207 0.928290 0.839058 0.824500
0.065793 1.663893 1.462203 1.149188 1.019147 0.883405 0.794450 0.781888
0.070548 1.596291 1.400011 1.098803 0.975178 0.841274 0.752366 0.741039
0.075646 1.528946 1.338596 1.049996 0.933082 0.801425 0.712645 0.703217
0.081113 1.461980 1.278065 1.002739 0.892873 0.764125 0.675323 0.667745
0.086975 1.395382 1.218442 0.956929 0.854408 0.728733 0.639787 0.634459
0.093260 1.329268 1.159990 0.912679 0.817663 0.695543 0.606596 0.603102
0.100000 1.263613 1.102513 0.869851 0.782527 0.664683 0.575392 0.573659
0.107227 1.198546 1.046264 0.828399 0.748772 0.635909 0.546042 0.546064
0.114976 1.134112 0.991154 0.788041 0.716053 0.608593 0.517944 0.519247
0.123285 1.070408 0.937286 0.748720 0.684194 0.582849 0.491534 0.493585
0.132194 1.007458 0.884667 0.710302 0.652884 0.558434 0.466351 0.468861
0.141747 0.945359 0.833385 0.672641 0.621928 0.535135 0.442508 0.445118
0.151991 0.884210 0.783436 0.635725 0.591175 0.512592 0.419970 0.422194
0.162975 0.824071 0.734813 0.599258 0.560325 0.490556 0.398442 0.400040
0.174753 0.765051 0.687524 0.563355 0.529315 0.468602 0.377774 0.378424
0.187382 0.707211 0.641536 0.527949 0.498132 0.446524 0.357830 0.357499
0.200923 0.650635 0.596772 0.493142 0.466705 0.423854 0.338445 0.336995
0.215444 0.595378 0.553082 0.458983 0.435173 0.400278 0.319254 0.316858
0.231013 0.541502 0.510312 0.425515 0.403730 0.375554 0.300053 0.296825
0.247708 0.489028 0.468272 0.392692 0.372577 0.349710 0.280624 0.276868
0.265609 0.437995 0.426797 0.360555 0.342012 0.323085 0.261049 0.257090
0.284804 0.388480 0.385665 0.328909 0.312193 0.296027 0.241337 0.237600
0.305386 0.340504 0.344632 0.297443 0.283016 0.268876 0.221649 0.218462
0.327455 0.294187 0.303512 0.265738 0.254114 0.241827 0.202078 0.199731
0.351119 0.249670 0.262174 0.233331 0.224875 0.214759 0.182521 0.181142
0.376494 0.207254 0.220774 0.200048 0.194831 0.187312 0.162634 0.162197
0.403702 0.167330 0.179799 0.166081 0.163705 0.158919 0.141702 0.142025
0.432876 0.130433 0.140230 0.132255 0.131847 0.129509 0.119154 0.119964
0.464159 0.097260 0.103702 0.100055 0.100493 0.100026 0.095076 0.096016
0.497702 0.068539 0.072061 0.071107 0.071454 0.072200 0.070570 0.071291
0.533670 0.044935 0.046566 0.046740 0.046623 0.047910 0.047725 0.048087
0.572237 0.026816 0.027473 0.027825 0.027382 0.028653 0.028821 0.028937
0.613591 0.014149 0.014372 0.014583 0.014116 0.015057 0.015214 0.015238
0.657933 0.006336 0.006394 0.006470 0.006159 0.006711 0.006803 0.006806
0.705480 0.002265 0.002277 0.002297 0.002153 0.002407 0.002450 0.002450
