# r C2m=1 C2m=2 C2m=3 C2m=4 C2m=5 C2m=6 C2m=7
0.001000 0.002989 0.000015 0.000001 0.000000 0.000000 0.000000 0.000000
0.001070 0.003200 0.000017 0.000001 0.000000 0.000000 0.000000 0.000000
0.001145 0.003426 0.000020 0.000002 0.000000 0.000000 0.000000 0.000000
0.001226 0.003668 0.000024 0.000002 0.000001 0.000000 0.000000 0.000000
0.001312 0.003926 0.000027 0.000003 0.000001 0.000000 0.000000 0.000000
0.001404 0.004202 0.000032 0.000004 0.000001 0.000000 0.000000 0.000000
0.001503 0.004498 0.000037 0.000005 0.000002 0.000001 0.000000 0.000000
0.001608 0.004814 0.000042 0.000006 0.000002 0.000001 0.000000 0.000000
0.001721 0.005153 0.000048 0.000007 0.000002 0.000001 0.000000 0.000000
0.001842 0.005514 0.000055 0.000008 0.000003 0.000001 0.000001 0.000000
0.001972 0.005901 0.000063 0.000010 0.000004 0.000002 0.000001 0.000000
0.002110 0.006316 0.000072 0.000012 0.000005 0.000002 0.000001 0.000001
0.002258 0.006761 0.000082 0.000014 0.000006 0.000003 0.000001 0.000001
0.002417 0.007235 0.000094 0.000017 0.000007 0.000003 0.000002 0.000001
0.002587 0.007743 0.000107 0.000020 0.000008 0.000004 0.000002 0.000001
0.002769 0.008286 0.000122 0.000023 0.000010 0.000005 0.000003 0.000001
0.002963 0.008868 0.000139 0.000027 0.000011 0.000006 0.000003 0.000002
0.003171 0.009492 0.000158 0.000031 0.000013 0.000006 0.000004 0.000002
0.003394 0.010159 0.000180 0.000035 0.000015 0.000007 0.000004 0.000003
0.003632 0.010872 0.000205 0.000041 0.000017 0.000008 0.000005 0.000003
0.003888 0.011635 0.000233 0.000046 0.000019 0.000010 0.000006 0.000004
0.004161 0.012452 0.000264 0.000053 0.000022 0.000011 0.000007 0.000004
0.004453 0.013326 0.000300 0.000061 0.000024 0.000012 0.000007 0.000005
0.004766 0.014261 0.000341 0.000070 0.000027 0.000014 0.000008 0.000005
0.005101 0.015264 0.000388 0.000080 0.000031 0.000016 0.000009 0.000006
0.005459 0.016337 0.000442 0.000092 0.000036 0.000018 0.000010 0.000006
0.005842 0.017486 0.000503 0.000106 0.000041 0.000021 0.000012 0.000007
0.006253 0.018713 0.000572 0.000122 0.000046 0.000024 0.000013 0.000008
0.006692 0.020028 0.000652 0.000140 0.000053 0.000027 0.000015 0.000009
0.007162 0.021436 0.000744 0.000162 0.000061 0.000030 0.000017 0.000010
0.007665 0.022942 0.000848 0.000187 0.000070 0.000035 0.000019 0.000012
0.008204 0.024555 0.000968 0.000215 0.000080 0.000039 0.000022 0.000013
0.008780 0.026280 0.001105 0.000249 0.000092 0.000045 0.000024 0.000014
0.009397 0.028129 0.001261 0.000290 0.000107 0.000051 0.000028 0.000016
0.010057 0.030106 0.001440 0.000337 0.000125 0.000059 0.000032 0.000019
0.010763 0.032223 0.001641 0.000391 0.000145 0.000068 0.000037 0.000022
0.011519 0.034486 0.001872 0.000454 0.000168 0.000079 0.000042 0.000025
0.012329 0.036909 0.002133 0.000526 0.000195 0.000091 0.000049 0.000028
0.013195 0.039501 0.002432 0.000610 0.000227 0.000105 0.000057 0.000033
0.014122 0.042275 0.002771 0.000707 0.000265 0.000122 0.000066 0.000038
0.015114 0.045245 0.003157 0.000820 0.000308 0.000141 0.000076 0.000044
0.016175 0.048420 0.003594 0.000950 0.000359 0.000164 0.000088 0.000051
0.017312 0.051817 0.004090 0.001099 0.000418 0.000191 0.000102 0.000059
0.018528 0.055448 0.004654 0.001272 0.000486 0.000222 0.000118 0.000068
0.019829 0.059335 0.005296 0.001474 0.000568 0.000260 0.000139 0.000079
