# r D2m=1 D2m=2 D2m=3 D2m=4 D2m=5 D2m=6 D2m=7
0.001000 1.006030 2.198249 3.988473 8.743830 21.312730 20.419750 nan
0.001070 1.007005 2.311448 4.959858 10.464570 23.355870 19.952100 nan
0.001145 1.003451 2.208935 4.095343 7.001728 12.276240 11.352290 nan
0.001226 1.000773 2.119245 3.864016 5.448654 8.054502 7.957585 nan
0.001312 1.000742 2.158203 3.456612 4.417114 4.436984 4.108836 12.895420
0.001404 1.002682 2.122724 3.191673 3.625718 3.167468 3.286845 7.151402
0.001503 0.999448 2.113072 2.949256 2.967242 2.892733 4.042382 9.234039
0.001608 1.002048 2.005905 2.790786 3.380693 3.247397 4.266911 7.564626
0.001721 0.999167 1.901805 2.552511 3.203607 3.623560 5.218404 8.139140
0.001842 0.998518 1.894315 2.556966 3.392654 4.106488 5.253727 7.510424
0.001972 1.001055 1.989154 2.578915 3.129494 3.885317 4.580048 4.557368
0.002110 1.002979 1.956426 2.440866 2.717738 3.097321 3.299538 3.427043
0.002258 0.998373 1.968487 2.426920 2.749232 3.054835 3.505963 3.541850
0.002417 0.999284 1.930024 2.473726 2.599192 2.835426 3.316814 3.826347
0.002587 0.999089 1.977347 2.267959 2.442980 2.962524 3.682267 4.307212
0.002769 0.998542 1.910118 2.200582 2.206486 2.531122 3.034749 3.537339
0.002963 1.001780 1.926122 2.219745 2.135687 2.167027 2.317510 2.555388
0.003171 1.000854 1.897038 2.061393 2.025606 2.042065 2.058468 2.201958
0.003394 0.999488 1.880080 2.035935 1.950804 2.060802 2.105331 2.342797
0.003632 0.998197 1.873562 1.956276 1.861982 2.013132 1.930583 1.955541
0.003888 0.999711 1.876758 1.986673 1.797866 1.905935 1.813154 2.030396
0.004161 0.999699 1.869388 1.987110 1.716062 1.727271 1.598364 1.704582
0.004453 0.998447 1.887733 2.047804 1.853693 1.799763 1.619575 1.553745
0.004766 1.001050 1.906867 2.027032 1.950765 1.993036 1.910147 1.701889
0.005101 1.001038 1.898166 2.043549 1.900645 1.873330 1.731939 1.543792
0.005459 1.000862 1.910646 2.039804 1.952396 1.992649 1.960733 2.005762
0.005842 0.999151 1.902787 2.039933 1.947013 1.870237 1.846969 1.851948
0.006253 1.000196 1.927864 2.080689 1.936528 1.786877 1.674901 1.549112
0.006692 1.000784 1.937086 2.097658 2.034998 1.929839 1.825987 1.808061
0.007162 1.000266 1.938388 2.111168 2.072349 1.966274 1.833105 1.788805
0.007665 1.001161 1.947596 2.116745 2.003606 1.784002 1.629254 1.447599
0.008204 1.000033 1.947326 2.164993 2.083387 1.888787 1.849592 1.743779
0.008780 1.001172 1.952696 2.198385 2.165061 2.073691 2.032398 1.927804
0.009397 1.000798 1.945910 2.235472 2.249287 2.140164 2.024847 1.956971
0.010057 1.000801 1.932549 2.174682 2.180768 2.060343 2.043443 2.052506
0.010763 0.999541 1.933717 2.202668 2.225428 2.081860 1.989897 1.928429
0.011519 1.000263 1.927013 2.178131 2.201449 2.123182 2.115923 2.114228
0.012329 0.999913 1.930922 2.178127 2.232523 2.151222 2.171244 2.226308
0.013195 0.999778 1.920175 2.184151 2.255876 2.197476 2.185486 2.125437
0.014122 0.999937 1.919954 2.179127 2.237724 2.171599 2.131705 2.103053
0.015114 0.998880 1.910966 2.161038 2.234669 2.181281 2.176765 2.139829
0.016175 0.998761 1.906115 2.147028 2.238839 2.224012 2.210255 2.153567
0.017312 0.997755 1.902004 2.162855 2.248084 2.217869 2.151768 2.064133
0.018528 0.997870 1.901535 2.166754 2.279777 2.324152 2.345533 2.259887
0.019829 0.997002 1.896034 2.141204 2.232327 2.259633 2.269819 2.232257
0.021222 0.996681 1.893109 2.131500 2.218843 2.234185 2.208157 2.154145
0.022713 0.996698 1.890414 2.132161 2.241907 2.280416 2.267060 2.197572
0.024308 0.995597 1.884814 2.123844 2.221043 2.261830 2.258020 2.208692
0.026016 0.994529 1.882180 2.131354 2.242992 2.299591 2.265687 2.204207
0.027844 0.994390 1.877801 2.126558 2.237544 2.305015 2.311006 2.276294
0.029800 0.992927 1.867384 2.116776 2.237321 2.329526 2.331628 2.293387
0.031893 0.991422 1.860467 2.122670 2.257644 2.360136 2.390182 2.372074
0.034133 0.989961 1.854061 2.122871 2.267316 2.385506 2.427981 2.385987
0.036531 0.989242 1.852221 2.122306 2.272981 2.405143 2.459637 2.433837
0.039097 0.987815 1.847698 2.120745 2.267364 2.389851 2.420744 2.410938
0.041844 0.986125 1.840679 2.120711 2.276971 2.401061 2.438121 2.433488
0.044783 0.983332 1.829222 2.113865 2.275956 2.401671 2.449241 2.478361
0.047929 0.980851 1.821931 2.119350 2.291882 2.422182 2.474067 2.519009
0.051296 0.978716 1.815577 2.134392 2.320147 2.457773 2.533199 2.618097
0.054899 0.975782 1.807478 2.140368 2.327318 2.471393 2.564106 2.657756
0.058756 0.971513 1.794463 2.143455 2.325453 2.476073 2.580004 2.669545
0.062883 0.967709 1.780679 2.137150 2.323928 2.496630 2.649527 2.778688
0.067301 0.963675 1.769249 2.138388 2.328477 2.520237 2.720414 2.870110
0.072029 0.957811 1.752567 2.132144 2.324191 2.509277 2.714624 2.836475
0.077088 0.952314 1.738306 2.121810 2.319191 2.524183 2.744688 2.876448
0.082504 0.945888 1.723622 2.111840 2.318063 2.540980 2.777347 2.952089
0.088299 0.938780 1.707855 2.098132 2.320443 2.549761 2.793753 3.009859
0.094502 0.931373 1.691491 2.089908 2.339843 2.565885 2.817659 3.060043
0.101141 0.922394 1.669760 2.076937 2.355481 2.585872 2.850620 3.106363
0.108245 0.912663 1.647132 2.066042 2.357243 2.590692 2.855122 3.108741
0.115849 0.901858 1.620695 2.048360 2.352522 2.583848 2.841138 3.090428
0.123988 0.890014 1.592336 2.027164 2.350069 2.583536 2.843778 3.107564
0.132697 0.876771 1.561392 2.002688 2.348207 2.590745 2.855777 3.116640
0.142019 0.862384 1.528985 1.979985 2.350737 2.588604 2.847496 3.109923
0.151996 0.846975 1.496722 1.957830 2.342839 2.578750 2.827843 3.092565
0.162673 0.830721 1.464010 1.934635 2.332982 2.569936 2.806677 3.063489
0.174100 0.814011 1.432652 1.907542 2.317585 2.560426 2.791355 3.038442
0.186330 0.796199 1.400896 1.873772 2.294253 2.554623 2.785765 3.028807
0.199419 0.777925 1.370854 1.836850 2.265252 2.559073 2.791804 3.039607
0.213428 0.759013 1.341874 1.798743 2.234290 2.563159 2.797340 3.050565
0.228421 0.740031 1.315097 1.761193 2.198858 2.556645 2.796140 3.053127
0.244467 0.720964 1.290451 1.725888 2.155538 2.530966 2.780883 3.041836
0.261640 0.701577 1.267531 1.693572 2.107469 2.486424 2.749822 3.011758
0.280020 0.682359 1.248654 1.671344 2.070143 2.444963 2.712442 2.969996
0.299691 0.663327 1.234946 1.664167 2.055113 2.424984 2.689896 2.942580
0.320743 0.642797 1.224047 1.669060 2.063792 2.435081 2.693128 2.940725
0.343274 0.618517 1.209586 1.675402 2.089016 2.469371 2.727460 2.976319
0.367389 0.588338 1.183146 1.669040 2.112427 2.511204 2.786754 3.052492
0.393197 0.549767 1.136939 1.632315 2.093545 2.513903 2.821401 3.124076
0.420818 0.501166 1.064159 1.552189 2.022975 2.465229 2.809225 3.147486
0.450379 0.440590 0.939144 1.381984 1.822009 2.240171 2.593633 2.944678
0.482017 0.368226 0.772481 1.157610 1.552091 1.935003 2.289767 2.649166
0.515877 0.288205 0.594342 0.897799 1.209439 1.519110 1.823349 2.132179
0.552117 0.207646 0.423902 0.642420 0.863679 1.089544 1.316734 1.546213
0.590901 0.131424 0.266427 0.404930 0.541413 0.684732 0.829519 0.974871
0.632411 0.070460 0.142006 0.214656 0.284357 0.359548 0.435567 0.511852
0.676836 0.029452 0.059120 0.089170 0.117345 0.148795 0.180755 0.212769
0.724382 0.008153 0.016311 0.024507 0.031966 0.040722 0.049665 0.058614
