# r H2m=1 H2m=2 H2m=3 H2m=4 H2m=5 H2m=6 H2m=7
0.001000 5.812895 5.292074 2.745491 2.208853 3.167583 0.693147 nan
0.001070 5.744596 5.211135 2.623953 1.886012 2.314281 0.753772 nan
0.001145 5.676231 5.122576 2.444152 1.512297 1.439093 0.984853 nan
0.001226 5.608107 5.040736 2.316084 1.314983 1.081006 1.047581 nan
0.001312 5.540164 4.964803 2.197632 1.207402 0.904096 1.054161 2.442347
0.001404 5.472224 4.886223 2.109483 1.142194 0.902747 1.076438 1.845827
0.001503 5.404152 4.810184 2.036912 1.112727 0.933857 1.068334 1.583462
0.001608 5.336300 4.734580 1.980144 1.111506 0.938916 0.990284 1.231001
0.001721 5.268271 4.666428 1.926858 1.071457 0.947965 0.921070 1.007120
0.001842 5.200437 4.605148 1.882682 1.027254 0.919454 0.812796 0.808832
0.001972 5.132648 4.544333 1.837695 0.970519 0.870992 0.734910 0.655625
0.002110 5.064686 4.477251 1.797656 0.933141 0.819680 0.687745 0.657165
0.002258 4.996594 4.412522 1.764767 0.914344 0.793910 0.674016 0.648508
0.002417 4.928815 4.346661 1.733644 0.892462 0.773162 0.643389 0.646072
0.002587 4.860974 4.283473 1.696732 0.883944 0.757125 0.610708 0.611480
0.002769 4.793146 4.217059 1.677003 0.872062 0.721853 0.561844 0.569052
0.002963 4.725355 4.155172 1.657283 0.871661 0.699813 0.527653 0.534932
0.003171 4.657344 4.092419 1.637349 0.877368 0.697685 0.517437 0.518782
0.003394 4.589396 4.031577 1.626191 0.879798 0.696568 0.516324 0.509041
0.003632 4.521541 3.971794 1.615610 0.885577 0.689100 0.513300 0.492919
0.003888 4.453773 3.912365 1.609995 0.891979 0.678839 0.518905 0.491225
0.004161 4.385903 3.852823 1.602533 0.904797 0.671502 0.525204 0.476476
0.004453 4.318034 3.793780 1.594541 0.923198 0.670741 0.533955 0.469265
0.004766 4.250249 3.733406 1.583673 0.936377 0.674402 0.546188 0.473734
0.005101 4.182288 3.671910 1.575515 0.941554 0.671532 0.551815 0.487873
0.005459 4.114328 3.611004 1.565645 0.951256 0.673387 0.561414 0.500646
0.005842 4.046379 3.549239 1.556877 0.957190 0.670654 0.563581 0.497589
0.006253 3.978547 3.487891 1.547566 0.963499 0.675867 0.565161 0.497251
0.006692 3.910644 3.424912 1.537191 0.973286 0.686026 0.572763 0.505791
0.007162 3.842701 3.361347 1.526289 0.977540 0.693165 0.579813 0.507008
0.007665 3.774793 3.297658 1.514559 0.980175 0.700367 0.588854 0.510015
0.008204 3.706824 3.233404 1.503076 0.987856 0.715276 0.599360 0.522348
0.008780 3.638932 3.169093 1.488298 0.993396 0.728487 0.602021 0.529532
0.009397 3.570963 3.104494 1.471619 0.995659 0.734690 0.604824 0.536632
0.010057 3.503019 3.040330 1.451960 0.994721 0.742099 0.612653 0.541241
0.010763 3.435074 2.977074 1.435522 0.994308 0.750274 0.613800 0.540625
0.011519 3.367216 2.913653 1.417263 0.992762 0.760021 0.620044 0.544798
0.012329 3.299308 2.850736 1.400214 0.991179 0.765335 0.620537 0.544913
0.013195 3.231424 2.787530 1.383432 0.987487 0.770854 0.619177 0.541175
0.014122 3.163549 2.725044 1.365510 0.982617 0.774819 0.619991 0.545252
0.015114 3.095663 2.662585 1.347915 0.978639 0.779308 0.622700 0.547197
0.016175 3.027850 2.600663 1.330938 0.973640 0.782933 0.623006 0.549704
0.017312 2.960044 2.539063 1.314582 0.967407 0.783939 0.623940 0.553553
0.018528 2.892306 2.477674 1.296873 0.961621 0.785990 0.628428 0.559503
0.019829 2.824561 2.416324 1.278867 0.953948 0.782978 0.626976 0.565317
0.021222 2.756875 2.355289 1.262223 0.947762 0.781124 0.626285 0.567867
0.022713 2.689210 2.294430 1.246038 0.941832 0.780082 0.628052 0.571534
0.024308 2.621544 2.233756 1.229626 0.934381 0.777468 0.628959 0.576252
0.026016 2.553953 2.173387 1.213399 0.927782 0.774699 0.629217 0.579600
0.027844 2.486435 2.113125 1.196482 0.920203 0.770856 0.631519 0.583774
0.029800 2.418926 2.053150 1.179594 0.912668 0.766276 0.631112 0.586131
0.031893 2.351516 1.993783 1.162663 0.904485 0.760016 0.630970 0.588727
0.034133 2.284209 1.934784 1.144862 0.895321 0.753058 0.628930 0.589956
0.036531 2.217000 1.876120 1.126612 0.885515 0.745034 0.626046 0.592807
0.039097 2.149841 1.817533 1.108276 0.875286 0.736062 0.622347 0.594559
