# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2454964.553195 0.000000 0.000100 0.000347
2454964.594064 0.000000 0.000071 0.000347
2454964.634933 0.000000 0.000305 0.000347
2454964.655367 0.000000 -0.000144 0.000347
2454964.675802 0.000000 0.000521 0.000347
2454964.696236 0.000000 -0.000909 0.000347
2454964.716671 0.000000 0.000340 0.000347
2454964.737105 0.000000 0.000331 0.000347
2454964.757540 0.000000 0.000572 0.000347
2454964.777974 0.000000 -0.000311 0.000347
2454964.798409 0.000000 0.000136 0.000347
2454964.818843 0.000000 -0.000345 0.000347
2454964.839278 0.000000 -0.000210 0.000347
2454964.859712 0.000000 -0.000556 0.000347
2454964.880147 0.000000 -0.000088 0.000347
2454964.900581 0.000000 -0.000143 0.000347
2454964.921016 0.000000 0.000334 0.000347
2454964.941450 0.000000 0.000264 0.000347
2454964.961885 0.000000 0.000041 0.000347
2454964.982319 0.000000 0.000090 0.000347
2454965.002754 0.000000 0.000833 0.000347
2454965.023188 0.000000 -0.000427 0.000347
2454965.043623 0.000000 -0.000285 0.000347
2454965.064057 0.000000 0.000188 0.000347
2454965.084492 0.000000 0.000091 0.000347
2454965.104926 0.000000 -0.000168 0.000347
2454965.125361 0.000000 -0.000166 0.000347
2454965.145795 0.000000 -0.000065 0.000347
2454965.166230 0.000000 0.000359 0.000347
2454965.186664 0.000000 -0.000151 0.000347
2454965.207099 0.000000 -0.000282 0.000347
2454965.227533 0.000000 0.000300 0.000347
2454965.247968 0.000000 0.000412 0.000347
2454965.268402 0.000000 -0.000402 0.000347
2454965.288837 0.000000 -0.000339 0.000347
2454965.309271 0.000000 0.000081 0.000347
2454965.329706 0.000000 -0.000777 0.000347
2454965.350140 0.000000 -0.000041 0.000347
2454965.370575 0.000000 -0.000615 0.000347
2454965.391009 0.000000 0.000430 0.000347
2454965.411444 0.000000 0.000321 0.000347
2454965.431878 0.000000 0.000125 0.000347
2454965.452313 0.000000 -0.000043 0.000347
2454965.472747 0.000000 -0.000129 0.000347
2454965.493182 0.000000 0.000116 0.000347
2454965.513616 0.000000 -0.000606 0.000347
2454965.534051 0.000000 -0.000099 0.000347
2454965.554485 0.000000 -0.000144 0.000347
2454965.574920 0.000000 0.000070 0.000347
2454965.595354 0.000000 0.000053 0.000347
2454965.615789 0.000000 0.000150 0.000347
2454965.636223 0.000000 -0.000037 0.000347
2454965.656658 0.000000 0.000814 0.000347
2454965.677092 0.000000 -0.000025 0.000347
2454965.697527 0.000000 0.000258 0.000347
2454965.717961 0.000000 -0.000260 0.000347
2454965.738396 0.000000 -0.000417 0.000347
2454965.758830 0.000000 0.000086 0.000347
2454965.779265 0.000000 0.000596 0.000347
2454965.799699 0.000000 0.000004 0.000347
2454965.820134 0.000000 -0.000514 0.000347
2454965.840568 0.000000 0.000013 0.000347
2454965.861003 0.000000 0.000080 0.000347
2454965.881437 0.000000 -0.000265 0.000347
2454965.901872 0.000000 -0.000094 0.000347
2454965.922306 0.000000 -0.000324 0.000347
2454965.942741 0.000000 0.000251 0.000347
2454965.963175 0.000000 0.000500 0.000347
2454965.983610 0.000000 0.000635 0.000347
2454966.004044 0.000000 0.000039 0.000347
2454966.024479 0.000000 -0.000201 0.000347
2454966.044913 0.000000 -0.000005 0.000347
2454966.065348 0.000000 -0.000407 0.000347
2454966.085782 0.000000 -0.000362 0.000347
2454966.106217 0.000000 -0.000033 0.000347
2454966.126651 0.000000 -0.000396 0.000347
2454966.147086 0.000000 -0.000503 0.000347
2454966.167520 0.000000 0.000106 0.000347
2454966.187955 0.000000 -0.000363 0.000347
2454966.208389 0.000000 -0.000225 0.000347
2454966.228824 0.000000 0.000124 0.000347
2454966.249258 0.000000 0.000087 0.000347
2454966.269693 0.000000 -0.000523 0.000347
2454966.290127 0.000000 -0.000105 0.000347
2454966.310562 0.000000 0.000436 0.000347
2454966.330996 0.000000 -0.000066 0.000347
2454966.351431 0.000000 -0.000049 0.000347
2454966.371865 0.000000 -0.000607 0.000347
2454966.392300 0.000000 -0.000088 0.000347
2454966.412734 0.000000 0.000084 0.000347
2454966.433169 0.000000 0.000319 0.000347
2454966.453603 0.000000 -0.000590 0.000347
2454966.474037 0.000000 0.000032 0.000347
2454966.494472 0.000000 -0.000273 0.000347
2454966.514907 0.000000 -0.000012 0.000347
2454966.535341 0.000000 0.000176 0.000347
2454966.555776 0.000000 0.000190 0.000347
2454966.576210 0.000000 -0.000050 0.000347
2454966.596644 0.000000 -0.000468 0.000347
2454966.617079 0.000000 0.000719 0.000347
2454966.637514 0.000000 -0.000109 0.000347
2454966.657948 0.000000 -0.000151 0.000347
2454966.678382 0.000000 0.000048 0.000347
2454966.698817 0.000000 -0.000137 0.000347
2454966.719252 0.000000 -0.000338 0.000347
2454966.739686 0.000000 0.000169 0.000347
2454966.760120 0.000000 0.000022 0.000347
2454966.780555 0.000000 0.000301 0.000347
2454966.800989 0.000000 -0.000489 0.000347
2454966.821424 0.000000 -0.000787 0.000347
2454966.841858 0.000000 -0.000302 0.000347
2454966.862293 0.000000 0.000388 0.000347
2454966.882727 0.000000 -0.000533 0.000347
2454966.903162 0.000000 0.000320 0.000347
2454966.923596 0.000000 -0.000352 0.000347
2454966.944031 0.000000 -0.000102 0.000347
2454966.964465 0.000000 0.000439 0.000347
2454966.984900 0.000000 0.000087 0.000347
2454967.005334 0.000000 0.000582 0.000347
2454967.025769 0.000000 0.000397 0.000347
2454967.046203 0.000000 0.000579 0.000347
2454967.066638 0.000000 0.000342 0.000347
2454967.087072 0.000000 0.000293 0.000347
2454967.107507 0.000000 -0.000378 0.000347
2454967.127941 0.000000 -0.000112 0.000347
2454967.148376 0.000000 -0.000235 0.000347
2454967.168810 0.000000 -0.000408 0.000347
2454967.189245 0.000000 -0.000335 0.000347
2454967.209679 0.000000 -0.000367 0.000347
2454967.230114 0.000000 -0.000529 0.000347
2454967.270983 0.000000 0.000232 0.000347
2454967.291417 0.000000 0.000247 0.000347
2454967.311852 0.000000 -0.000230 0.000347
2454967.332286 0.000000 -0.000445 0.000347
2454967.352721 0.000000 -0.000329 0.000347
2454967.373155 0.000000 0.000301 0.000347
2454967.414024 0.000000 0.000289 0.000347
2454967.434459 0.000000 -0.000464 0.000347
2454967.454893 0.000000 0.000083 0.000347
2454967.475328 0.000000 0.000122 0.000347
2454967.495762 0.000000 -0.000101 0.000347
2454967.516197 0.000000 0.000418 0.000346
2454967.536631 0.000000 0.000337 0.000347
2454967.557066 0.000000 -0.000055 0.000347
2454967.577500 0.000000 0.000339 0.000347
2454967.597935 0.000000 -0.001040 0.000347
2454967.618369 0.000000 0.000129 0.000347
2454967.638804 0.000000 -0.000455 0.000346
2454967.659238 0.000000 -0.000214 0.000346
2454967.679673 0.000000 0.000222 0.000347
2454967.700107 0.000000 -0.000015 0.000347
2454967.720542 0.000000 -0.000262 0.000346
2454967.740976 0.000000 -0.000702 0.000347
2454967.761411 0.000000 -0.000369 0.000346
2454967.781845 0.000000 -0.000437 0.000346
2454967.802280 0.000000 -0.000418 0.000346
2454967.822714 0.000000 -0.000525 0.000346
2454967.843148 0.000000 0.000066 0.000346
2454967.863583 0.000000 0.000230 0.000347
2454967.884018 0.000000 0.000343 0.000346
2454967.904452 0.000000 0.000292 0.000347
2454967.924886 0.000000 -0.000572 0.000346
2454967.945321 0.000000 0.000463 0.000346
2454967.965756 0.000000 -0.000377 0.000347
2454967.986190 0.000000 0.000119 0.000347
2454968.006625 0.000000 0.000082 0.000346
2454968.027059 0.000000 -0.000102 0.000346
2454968.047493 0.000000 -0.000197 0.000347
2454968.067928 0.000000 0.000215 0.000347
2454968.088362 0.000000 -0.000204 0.000346
2454968.108797 0.000000 -0.000069 0.000346
2454968.129231 0.000000 0.000159 0.000346
2454968.149666 0.000000 0.000427 0.000346
2454968.170100 0.000000 -0.000739 0.000346
2454968.190535 0.000000 -0.000086 0.000346
2454968.210969 0.000000 0.000059 0.000347
2454968.231404 0.000000 0.000082 0.000346
2454968.251838 0.000000 -0.000229 0.000346
2454968.272273 0.000000 0.000249 0.000346
2454968.292707 0.000000 0.000295 0.000346
2454968.313142 0.000000 0.000295 0.000346
2454968.333576 0.000000 0.000107 0.000346
2454968.354011 0.000000 -0.000338 0.000346
2454968.374445 0.000000 -0.000022 0.000346
2454968.394880 0.000000 0.000056 0.000346
2454968.415314 0.000000 -0.000066 0.000346
2454968.435749 0.000000 0.000141 0.000346
2454968.456183 0.000000 -0.000113 0.000346
2454968.476618 0.000000 0.000421 0.000346
2454968.497052 0.000000 -0.000067 0.000346
2454968.517487 0.000000 0.000543 0.000346
2454968.537921 0.000000 -0.000253 0.000346
2454968.558356 0.000000 -0.000623 0.000346
2454968.578790 0.000000 0.000462 0.000346
2454968.599225 0.000000 0.000224 0.000346
2454968.619659 0.000000 -0.000061 0.000346
2454968.640094 0.000000 -0.000589 0.000346
2454968.660528 0.000000 -0.000199 0.000346
2454968.680963 0.000000 -0.000389 0.000346
2454968.701397 0.000000 0.000397 0.000346
2454968.721831 0.000000 -0.000163 0.000346
2454968.742266 0.000000 0.000664 0.000346
2454968.762700 0.000000 0.000645 0.000346
2454968.783135 0.000000 0.000239 0.000346
2454968.803570 0.000000 -0.000292 0.000346
2454968.824004 0.000000 -0.000136 0.000346
2454968.844438 0.000000 -0.000278 0.000346
2454968.864873 0.000000 0.000348 0.000346
2454968.885307 0.000000 0.000047 0.000346
2454968.905742 0.000000 0.000073 0.000346
2454968.926176 0.000000 0.000154 0.000346
2454968.946611 0.000000 -0.000112 0.000346
2454968.967045 0.000000 -0.000255 0.000346
2454968.987480 0.000000 0.000246 0.000346
2454969.007914 0.000000 -0.000065 0.000346
2454969.028349 0.000000 -0.000346 0.000346
2454969.048783 0.000000 0.000104 0.000346
2454969.069218 0.000000 -0.000036 0.000346
2454969.089652 0.000000 -0.000091 0.000346
2454969.110087 0.000000 0.000432 0.000346
2454969.130521 0.000000 0.000621 0.000346
2454969.150956 0.000000 0.000094 0.000346
2454969.171390 0.000000 0.000179 0.000346
2454969.191825 0.000000 0.000161 0.000346
2454969.212259 0.000000 -0.000011 0.000346
2454969.232694 0.000000 0.000083 0.000346
2454969.253128 0.000000 0.000151 0.000346
2454969.273563 0.000000 0.000237 0.000346
2454969.293997 0.000000 -0.000475 0.000346
2454969.314432 0.000000 -0.000021 0.000346
2454969.334866 0.000000 0.000690 0.000346
2454969.355301 0.000000 0.000486 0.000346
2454969.375735 0.000000 0.000006 0.000346
2454969.396169 0.000000 0.000058 0.000346
2454969.416604 0.000000 -0.000293 0.000346
2454969.437038 0.000000 0.000856 0.000346
2454969.457473 0.000000 0.000523 0.000346
2454969.477907 0.000000 -0.000384 0.000346
2454969.498342 0.000000 0.000407 0.000346
2454969.518776 0.000000 0.000001 0.000346
2454969.539211 0.000000 0.000242 0.000346
2454969.559645 0.000000 0.000036 0.000346
2454969.580080 0.000000 0.000310 0.000346
2454969.600514 0.000000 0.000166 0.000346
2454969.620949 0.000000 -0.000124 0.000346
2454969.641383 0.000000 -0.000076 0.000346
2454969.661818 0.000000 0.000422 0.000346
2454969.682252 0.000000 -0.000789 0.000346
2454969.702687 0.000000 -0.000345 0.000346
2454969.723121 0.000000 0.000425 0.000346
2454969.743556 0.000000 0.000592 0.000346
2454969.763990 0.000000 0.000084 0.000346
2454969.784425 0.000000 -0.000521 0.000346
2454969.804859 0.000000 0.000182 0.000346
2454969.825294 0.000000 0.000976 0.000346
2454969.845728 0.000000 -0.000415 0.000346
2454969.866163 0.000000 -0.000212 0.000346
2454969.886597 0.000000 0.000379 0.000346
2454969.907032 0.000000 0.000475 0.000346
2454969.927466 0.000000 -0.000327 0.000346
2454969.947900 0.000000 0.000507 0.000346
2454969.968335 0.000000 0.000090 0.000346
2454969.988770 0.000000 -0.000372 0.000346
2454970.009204 0.000000 -0.000429 0.000346
