# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 1.000000 1.009674 0.014911
2458216.472123 1.000000 1.035364 0.013668
2458216.472781 1.000000 1.000362 0.012851
2458216.473555 1.000000 0.977461 0.011868
2458216.474302 1.000000 0.991200 0.010328
2458216.474960 1.000000 0.984887 0.009628
2458216.475709 1.000000 0.993624 0.008911
2458216.476368 1.000000 1.013373 0.008198
2458216.477029 1.000000 0.999802 0.007714
2458216.477689 1.000000 1.001758 0.007215
2458216.478438 1.000000 0.997827 0.006726
2458216.479099 1.000000 0.996511 0.006251
2458216.479757 1.000000 1.004384 0.005984
2458216.480417 1.000000 1.001624 0.005607
2458216.481168 1.000000 0.991873 0.005356
2458216.481825 1.000000 1.003021 0.005088
2458216.482484 1.000000 0.997891 0.004947
2458216.483143 1.000000 1.002900 0.004793
2458216.483802 1.000000 1.001727 0.004674
2458216.484461 1.000000 1.001773 0.004583
2458216.485121 1.000000 1.007476 0.004456
2458216.485869 1.000000 0.997200 0.004404
2458216.486528 1.000000 0.999048 0.004332
2458216.487186 1.000000 1.003761 0.004293
2458216.487847 1.000000 0.996446 0.004283
2458216.488597 1.000000 1.009088 0.004224
2458216.489255 1.000000 0.994720 0.004167
2458216.489914 1.000000 1.000488 0.004150
2458216.490575 1.000000 1.000209 0.004120
2458216.491234 1.000000 0.999163 0.004106
2458216.491893 1.000000 0.996577 0.004070
2458216.492641 1.000000 0.999861 0.004090
2458216.493301 1.000000 1.001023 0.004051
2458216.493960 1.000000 0.999408 0.004057
2458216.494619 1.000000 1.004486 0.004040
2458216.495279 1.000000 0.989169 0.004051
2458216.495941 1.000000 1.002862 0.004038
2458216.496600 1.000000 0.998840 0.004040
2458216.497260 1.000000 1.002627 0.004029
2458216.497919 1.000000 0.997209 0.004034
2458216.498578 1.000000 1.000819 0.004038
2458216.499345 1.000000 1.002411 0.003996
2458216.500004 1.000000 1.006917 0.003969
2458216.500663 1.000000 1.002674 0.003980
2458216.501324 1.000000 1.003051 0.003998
2458216.501984 1.000000 0.997800 0.004006
2458216.502735 1.000000 1.004447 0.003992
2458216.503390 1.000000 0.999592 0.003996
2458216.504049 1.000000 1.000530 0.004005
2458216.504708 1.000000 1.009308 0.004006
2458216.505369 1.000000 1.001401 0.003994
2458216.506121 1.000000 0.995641 0.003976
2458216.506784 1.000000 1.001567 0.004013
2458216.507447 1.000000 1.001328 0.003988
2458216.508201 1.000000 1.001857 0.003974
2458216.508865 1.000000 1.002133 0.003983
2458216.509527 1.000000 0.996692 0.003997
2458216.510190 1.000000 1.004169 0.003956
2458216.510853 1.000000 1.000906 0.003977
2458216.511511 1.000000 1.002845 0.003977
2458216.512265 1.000000 0.996525 0.003989
2458216.512932 1.000000 1.000436 0.003952
2458216.513596 1.000000 0.998920 0.003978
2458216.514260 1.000000 0.997625 0.003987
2458216.514920 1.000000 1.007780 0.003995
2458216.515584 1.000000 0.999039 0.003938
2458216.516241 1.000000 0.994954 0.003965
2458216.516901 1.000000 0.999778 0.003956
2458216.517563 1.000000 1.003164 0.003956
2458216.518227 1.000000 1.001876 0.003950
2458216.518888 1.000000 1.001485 0.003981
2458216.519551 1.000000 0.999262 0.003941
2458216.520304 1.000000 0.995747 0.003956
2458216.520966 1.000000 1.003324 0.003968
2458216.521627 1.000000 0.997578 0.003977
2458216.522291 1.000000 0.992561 0.003956
2458216.522953 1.000000 0.998697 0.003932
2458216.523614 1.000000 0.999851 0.003921
2458216.524275 1.000000 1.009918 0.003965
2458216.524939 1.000000 1.002934 0.003968
2458216.525604 1.000000 1.003089 0.003979
2458216.526266 1.000000 1.000380 0.003962
2458216.526932 1.000000 1.002960 0.003931
2458216.527597 1.000000 0.996045 0.003938
2458216.528258 1.000000 1.004375 0.003929
2458216.528911 1.000000 1.004927 0.003951
2458216.529574 1.000000 1.005871 0.003927
2458216.530233 1.000000 0.995558 0.003946
2458216.530897 1.000000 0.994932 0.003942
2458216.531676 1.000000 0.998416 0.003979
2458216.532339 1.000000 1.000920 0.003983
2458216.532999 1.000000 0.995163 0.003956
2458216.533662 1.000000 1.001388 0.003955
2458216.534324 1.000000 0.997721 0.003935
2458216.534985 1.000000 1.000803 0.003960
2458216.535648 1.000000 1.000566 0.003974
2458216.536310 1.000000 0.997236 0.003963
2458216.536972 1.000000 0.998216 0.003967
2458216.537632 1.000000 1.005150 0.003960
2458216.538295 1.000000 1.000240 0.003988
2458216.538959 1.000000 1.007653 0.004017
2458216.539620 1.000000 0.995650 0.003999
2458216.540283 1.000000 0.993944 0.004014
2458216.540945 1.000000 0.999978 0.004023
2458216.541612 1.000000 0.997756 0.004027
2458216.542277 1.000000 0.996942 0.004031
2458216.542939 1.000000 1.002048 0.004055
2458216.543602 1.000000 1.001554 0.004085
2458216.544268 1.000000 1.000982 0.004044
2458216.544919 1.000000 1.000103 0.004028
2458216.545582 1.000000 1.002941 0.004031
2458216.546242 1.000000 0.995769 0.004020
2458216.546905 1.000000 0.999871 0.004030
2458216.547561 1.000000 0.998702 0.004016
