# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2458216.471464 0.000000 -0.001512 0.005284
2458216.472126 0.000000 0.002189 0.005284
2458216.472788 0.000000 0.012218 0.005284
2458216.473450 0.000000 -0.009654 0.005284
2458216.474112 0.000000 -0.000430 0.005284
2458216.474774 0.000000 0.001307 0.005284
2458216.475436 0.000000 -0.001118 0.005284
2458216.476098 0.000000 0.004030 0.005284
2458216.476760 0.000000 0.000430 0.005284
2458216.477422 0.000000 -0.011734 0.005284
2458216.478084 0.000000 -0.001005 0.005284
2458216.478746 0.000000 0.002797 0.005284
2458216.479408 0.000000 -0.007060 0.005284
2458216.480070 0.000000 0.002609 0.005284
2458216.480732 0.000000 -0.000299 0.005284
2458216.481394 0.000000 0.009908 0.005284
2458216.482056 0.000000 -0.002997 0.005284
2458216.482718 0.000000 -0.011657 0.005284
2458216.483380 0.000000 0.004069 0.005284
2458216.484042 0.000000 -0.004278 0.005284
2458216.484704 0.000000 0.002294 0.005284
2458216.485366 0.000000 -0.002400 0.005284
2458216.486028 0.000000 0.005678 0.005284
2458216.486690 0.000000 -0.001773 0.005284
2458216.487352 0.000000 -0.004778 0.005284
2458216.488014 0.000000 0.007654 0.005284
2458216.488676 0.000000 0.003665 0.005284
2458216.489338 0.000000 -0.006581 0.005284
2458216.490000 0.000000 0.003916 0.005284
2458216.490662 0.000000 0.005502 0.005284
2458216.491324 0.000000 -0.002273 0.005284
2458216.491986 0.000000 0.000739 0.005284
2458216.492648 0.000000 -0.004247 0.005284
2458216.493310 0.000000 -0.005238 0.005284
2458216.493972 0.000000 -0.001399 0.005284
2458216.494634 0.000000 0.007590 0.005284
2458216.495296 0.000000 0.002713 0.005284
2458216.495958 0.000000 -0.000658 0.005284
2458216.496620 0.000000 0.008210 0.005284
2458216.497282 0.000000 0.002807 0.005284
2458216.497944 0.000000 -0.000624 0.005284
2458216.498606 0.000000 -0.003615 0.005284
2458216.499268 0.000000 -0.003790 0.005284
2458216.499930 0.000000 -0.011985 0.005284
2458216.500592 0.000000 -0.013906 0.005284
2458216.501254 0.000000 -0.001372 0.005284
2458216.501916 0.000000 0.007188 0.005284
2458216.502578 0.000000 -0.002229 0.005284
2458216.503240 0.000000 -0.002536 0.005284
2458216.503902 0.000000 0.007963 0.005284
2458216.504564 0.000000 0.002712 0.005284
2458216.505226 0.000000 -0.007194 0.005284
2458216.505888 0.000000 -0.001214 0.005284
2458216.506550 0.000000 0.000870 0.005284
2458216.507212 0.000000 -0.005836 0.005284
2458216.507874 0.000000 0.003528 0.005284
2458216.508536 0.000000 0.003976 0.005284
2458216.509198 0.000000 0.005301 0.005284
