# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2458216.471464 1.001169 0.999626 0.005322
2458216.472126 1.001423 1.003488 0.005322
2458216.472788 1.001515 0.993289 0.005322
2458216.473450 1.001774 1.005242 0.005322
2458216.474112 1.001919 1.000529 0.005322
2458216.474774 1.001909 0.996180 0.005322
2458216.475436 1.001971 0.999993 0.005322
2458216.476098 1.002164 0.997124 0.005322
2458216.476760 1.002335 1.002619 0.005322
2458216.477422 1.002335 0.996957 0.005322
2458216.478084 1.002519 1.002342 0.005322
2458216.478746 1.002628 0.998547 0.005322
2458216.479408 1.002792 1.002492 0.005322
2458216.480070 1.002952 1.009672 0.005322
2458216.480732 1.002939 0.994129 0.005322
2458216.481394 1.003079 1.001559 0.005322
2458216.482056 1.003110 1.013920 0.005322
2458216.482718 1.003378 1.004677 0.005322
2458216.483380 1.003576 1.008023 0.005322
2458216.484042 1.003707 0.992339 0.005322
2458216.484704 1.003716 1.005757 0.005322
2458216.485366 1.003827 1.009341 0.005322
2458216.486028 1.003949 1.006967 0.005322
2458216.486690 1.003912 1.002898 0.005322
2458216.487352 1.004251 0.997585 0.005322
2458216.488014 1.004412 1.005265 0.005322
2458216.488676 1.004727 1.003038 0.005322
2458216.489338 1.004743 1.009243 0.005322
2458216.490000 1.005060 1.004073 0.005322
2458216.490662 1.005055 1.002865 0.005322
2458216.491324 1.005112 1.005476 0.005322
2458216.491986 1.005296 1.015107 0.005322
2458216.492648 1.005430 1.014460 0.005322
2458216.493310 1.005288 1.007359 0.005322
2458216.493972 1.005258 1.001111 0.005322
2458216.494634 1.005435 0.999738 0.005322
2458216.495296 1.005762 1.000070 0.005322
2458216.495958 1.005977 0.999160 0.005322
2458216.496620 1.006066 1.003828 0.005322
2458216.497282 1.006273 1.005512 0.005322
2458216.497944 1.006266 0.999549 0.005322
2458216.498606 1.006434 1.004891 0.005322
2458216.499268 1.006395 1.000431 0.005322
2458216.499930 1.006493 1.000094 0.005322
2458216.500592 1.006575 1.004423 0.005322
2458216.501254 1.006759 1.008645 0.005322
2458216.501916 1.006824 1.012967 0.005322
2458216.502578 1.007055 1.001131 0.005322
2458216.503240 1.007137 1.004898 0.005322
2458216.503902 1.007332 1.001414 0.005322
2458216.504564 1.007527 1.008125 0.005322
2458216.505226 1.007431 0.998789 0.005322
2458216.505888 1.007530 1.001230 0.005322
2458216.506550 1.007627 1.007170 0.005322
2458216.507212 1.007631 1.012383 0.005322
2458216.507874 1.007734 1.007932 0.005322
2458216.508536 1.007654 1.012045 0.005322
2458216.509198 1.007785 1.004246 0.005322
2458216.509860 1.007914 1.010284 0.005322
2458216.510522 1.008020 1.009129 0.005322
2458216.511184 1.008370 1.012835 0.005322
2458216.511846 1.008498 1.008720 0.005322
2458216.512508 1.008594 1.000757 0.005322
2458216.513170 1.008600 1.010449 0.005322
2458216.513832 1.008713 1.006390 0.005322
2458216.514494 1.008686 1.004785 0.005322
2458216.515156 1.008900 1.004849 0.005322
2458216.515818 1.008906 1.011375 0.005322
2458216.516480 1.008996 1.001029 0.005322
2458216.517142 1.009289 0.999411 0.005322
2458216.517804 1.009499 1.003505 0.005322
2458216.518466 1.009612 1.008602 0.005322
2458216.519128 1.009852 1.009748 0.005322
2458216.519790 1.009937 1.010212 0.005322
2458216.520452 1.010115 1.015043 0.005322
2458216.521114 1.010210 1.007052 0.005322
2458216.521776 1.010200 1.014072 0.005322
2458216.522438 1.010331 1.010953 0.005322
2458216.523100 1.010519 1.006737 0.005322
2458216.523762 1.010568 1.007781 0.005322
2458216.524424 1.010529 1.012025 0.005322
2458216.525086 1.010546 1.006572 0.005322
2458216.525748 1.010352 1.006951 0.005322
2458216.526410 1.010341 1.015429 0.005322
2458216.527072 1.010272 1.010562 0.005322
2458216.527734 1.010539 1.007442 0.005322
2458216.528396 1.010527 1.019766 0.005322
2458216.529058 1.010401 1.019409 0.005322
2458216.529720 1.010533 1.008012 0.005322
2458216.530382 1.010550 1.013774 0.005322
2458216.531044 1.010589 1.010906 0.005322
2458216.531706 1.010642 1.012670 0.005322
2458216.532368 1.010694 1.010002 0.005322
2458216.533030 1.010681 1.002387 0.005322
2458216.533692 1.010810 1.010592 0.005322
2458216.534354 1.010894 1.014767 0.005322
2458216.535016 1.010864 1.018041 0.005322
2458216.535678 1.010866 1.008723 0.005322
2458216.536340 1.010779 1.014196 0.005322
2458216.537002 1.010821 1.009615 0.005322
2458216.537664 1.010912 1.011167 0.005322
2458216.538326 1.010994 1.004075 0.005322
2458216.538988 1.011072 1.014265 0.005322
2458216.539650 1.011068 1.011897 0.005322
2458216.540312 1.011249 1.014340 0.005322
2458216.540974 1.011236 1.004751 0.005322
2458216.541636 1.011247 1.014976 0.005322
