# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2454964.553195 0.993446 0.000000 0.000347
2454964.594064 0.993541 0.000000 0.000347
2454964.634933 0.993900 0.000000 0.000347
2454964.655367 0.993512 0.000000 0.000347
2454964.675802 0.994240 0.000000 0.000347
2454964.696236 0.992873 0.000000 0.000347
2454964.716671 0.994184 0.000000 0.000347
2454964.737105 0.994238 0.000000 0.000347
2454964.757540 0.994542 0.000000 0.000347
2454964.777974 0.993722 0.000000 0.000347
2454964.798409 0.994232 0.000000 0.000347
2454964.818843 0.993815 0.000000 0.000347
2454964.839278 0.994013 0.000000 0.000347
2454964.859712 0.993730 0.000000 0.000347
2454964.880147 0.994261 0.000000 0.000347
2454964.900581 0.994270 0.000000 0.000347
2454964.921016 0.994811 0.000000 0.000347
2454964.941450 0.994804 0.000000 0.000347
2454964.961885 0.994646 0.000000 0.000347
2454964.982319 0.994758 0.000000 0.000347
2454965.002754 0.995566 0.000000 0.000347
2454965.023188 0.994370 0.000000 0.000347
2454965.043623 0.994576 0.000000 0.000347
2454965.064057 0.995114 0.000000 0.000347
2454965.084492 0.995081 0.000000 0.000347
2454965.104926 0.994886 0.000000 0.000347
2454965.125361 0.994953 0.000000 0.000347
2454965.145795 0.995119 0.000000 0.000347
2454965.166230 0.995608 0.000000 0.000347
2454965.186664 0.995162 0.000000 0.000347
2454965.207099 0.995096 0.000000 0.000347
2454965.227533 0.995744 0.000000 0.000347
2454965.247968 0.995921 0.000000 0.000347
2454965.268402 0.995172 0.000000 0.000347
2454965.288837 0.995301 0.000000 0.000347
2454965.309271 0.995785 0.000000 0.000347
2454965.329706 0.994993 0.000000 0.000347
2454965.350140 0.995794 0.000000 0.000347
2454965.370575 0.995286 0.000000 0.000347
2454965.391009 0.996397 0.000000 0.000347
2454965.411444 0.996353 0.000000 0.000347
2454965.431878 0.996224 0.000000 0.000347
2454965.452313 0.996121 0.000000 0.000347
2454965.472747 0.996101 0.000000 0.000347
2454965.493182 0.996412 0.000000 0.000347
2454965.513616 0.995757 0.000000 0.000347
2454965.534051 0.996329 0.000000 0.000347
2454965.554485 0.996351 0.000000 0.000347
2454965.574920 0.996631 0.000000 0.000347
2454965.595354 0.996681 0.000000 0.000347
2454965.615789 0.996844 0.000000 0.000347
2454965.636223 0.996723 0.000000 0.000347
2454965.656658 0.997640 0.000000 0.000347
2454965.677092 0.996868 0.000000 0.000347
2454965.697527 0.997217 0.000000 0.000347
2454965.717961 0.996766 0.000000 0.000347
2454965.738396 0.996677 0.000000 0.000347
2454965.758830 0.997246 0.000000 0.000347
2454965.779265 0.997823 0.000000 0.000347
2454965.799699 0.997298 0.000000 0.000347
2454965.820134 0.996847 0.000000 0.000347
2454965.840568 0.997441 0.000000 0.000347
2454965.861003 0.997574 0.000000 0.000347
2454965.881437 0.997297 0.000000 0.000347
2454965.901872 0.997535 0.000000 0.000347
2454965.922306 0.997372 0.000000 0.000347
2454965.942741 0.998014 0.000000 0.000347
