# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 1.020096 1.018573 0.005284
2458216.472126 1.020029 1.022234 0.005284
2458216.472788 1.019950 1.032257 0.005284
2458216.473450 1.019862 1.010137 0.005284
2458216.474112 1.019762 1.019329 0.005284
2458216.474774 1.019653 1.020970 0.005284
2458216.475436 1.019533 1.018407 0.005284
2458216.476098 1.019403 1.023462 0.005284
2458216.476760 1.019263 1.019696 0.005284
2458216.477422 1.019114 1.007294 0.005284
2458216.478084 1.018954 1.017942 0.005284
2458216.478746 1.018785 1.021603 0.005284
2458216.479408 1.018607 1.011495 0.005284
2458216.480070 1.018420 1.021048 0.005284
2458216.480732 1.018223 1.017922 0.005284
2458216.481394 1.018017 1.027997 0.005284
2458216.482056 1.017803 1.014785 0.005284
2458216.482718 1.017580 1.005838 0.005284
2458216.483380 1.017348 1.021447 0.005284
2458216.484042 1.017109 1.012799 0.005284
2458216.484704 1.016861 1.019172 0.005284
2458216.485366 1.016605 1.014187 0.005284
2458216.486028 1.016341 1.022060 0.005284
2458216.486690 1.016069 1.014283 0.005284
2458216.487352 1.015791 1.010978 0.005284
2458216.488014 1.015505 1.023214 0.005284
2458216.488676 1.015211 1.018904 0.005284
2458216.489338 1.014911 1.008282 0.005284
2458216.490000 1.014605 1.018549 0.005284
2458216.490662 1.014291 1.019834 0.005284
2458216.491324 1.013972 1.011682 0.005284
2458216.491986 1.013646 1.014391 0.005284
2458216.492648 1.013315 1.009037 0.005284
2458216.493310 1.012978 1.007701 0.005284
2458216.493972 1.012635 1.011226 0.005284
2458216.494634 1.012287 1.019932 0.005284
2458216.495296 1.011934 1.014667 0.005284
2458216.495958 1.011576 1.010914 0.005284
2458216.496620 1.011214 1.019483 0.005284
2458216.497282 1.010847 1.013675 0.005284
2458216.497944 1.010476 1.009847 0.005284
2458216.498606 1.010101 1.006459 0.005284
2458216.499268 1.009722 1.005904 0.005284
2458216.499930 1.009339 0.997267 0.005284
2458216.500592 1.008954 0.994946 0.005284
2458216.501254 1.008565 1.007183 0.005284
2458216.501916 1.008173 1.015414 0.005284
2458216.502578 1.007779 1.005534 0.005284
2458216.503240 1.007383 1.004828 0.005284
2458216.503902 1.006984 1.015005 0.005284
2458216.504564 1.006583 1.009315 0.005284
2458216.505226 1.006181 0.998934 0.005284
2458216.505888 1.005777 1.004554 0.005284
2458216.506550 1.005372 1.006248 0.005284
2458216.507212 1.004965 0.999087 0.005284
2458216.507874 1.004559 1.008112 0.005284
2458216.508536 1.004151 1.008156 0.005284
2458216.509198 1.003743 1.009083 0.005284
2458216.509860 1.003335 0.998225 0.005284
2458216.510522 1.002928 1.000612 0.005284
2458216.511184 1.002520 1.001325 0.005284
2458216.511846 1.002114 1.001762 0.005284
2458216.512508 1.001708 1.001843 0.005284
2458216.513170 1.001303 0.996702 0.005284
2458216.513832 1.000900 1.003929 0.005284
2458216.514494 1.000498 0.993029 0.005284
2458216.515156 1.000098 0.996012 0.005284
2458216.515818 0.999700 0.991646 0.005284
2458216.516480 0.999304 0.991157 0.005284
2458216.517142 0.998911 0.991341 0.005284
2458216.517804 0.998520 1.002372 0.005284
2458216.518466 0.998132 1.000262 0.005284
2458216.519128 0.997748 1.003624 0.005284
2458216.519790 0.997367 0.997257 0.005284
2458216.520452 0.996989 1.002498 0.005284
2458216.521114 0.996615 0.993710 0.005284
