# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 1.003101 0.000000 0.000347
2454964.594064 1.003159 0.000000 0.000347
2454964.634933 1.003479 0.000000 0.000347
2454964.655367 1.003072 0.000000 0.000347
2454964.675802 1.003780 0.000000 0.000347
2454964.696236 1.002392 0.000000 0.000347
2454964.716671 1.003683 0.000000 0.000347
2454964.737105 1.003716 0.000000 0.000347
2454964.757540 1.003999 0.000000 0.000347
2454964.777974 1.003157 0.000000 0.000347
2454964.798409 1.003646 0.000000 0.000347
2454964.818843 1.003206 0.000000 0.000347
2454964.839278 1.003382 0.000000 0.000347
2454964.859712 1.003076 0.000000 0.000347
2454964.880147 1.003584 0.000000 0.000347
2454964.900581 1.003570 0.000000 0.000347
2454964.921016 1.004087 0.000000 0.000347
2454964.941450 1.004056 0.000000 0.000347
2454964.961885 1.003873 0.000000 0.000347
2454964.982319 1.003961 0.000000 0.000347
2454965.002754 1.004744 0.000000 0.000347
2454965.023188 1.003522 0.000000 0.000347
2454965.043623 1.003702 0.000000 0.000347
2454965.064057 1.004214 0.000000 0.000347
2454965.084492 1.004156 0.000000 0.000347
2454965.104926 1.003934 0.000000 0.000347
2454965.125361 1.003974 0.000000 0.000347
2454965.145795 1.004113 0.000000 0.000347
2454965.166230 1.004574 0.000000 0.000347
2454965.186664 1.004100 0.000000 0.000347
2454965.207099 1.004006 0.000000 0.000347
2454965.227533 1.004625 0.000000 0.000347
2454965.247968 1.004773 0.000000 0.000347
2454965.268402 1.003995 0.000000 0.000347
2454965.288837 1.004095 0.000000 0.000347
2454965.309271 1.004549 0.000000 0.000347
2454965.329706 1.003727 0.000000 0.000347
2454965.350140 1.004498 0.000000 0.000347
2454965.370575 1.003959 0.000000 0.000347
2454965.391009 1.005038 0.000000 0.000347
2454965.411444 1.004963 0.000000 0.000347
2454965.431878 1.004802 0.000000 0.000347
2454965.452313 1.004667 0.000000 0.000347
2454965.472747 1.004615 0.000000 0.000347
2454965.493182 1.004893 0.000000 0.000347
2454965.513616 1.004205 0.000000 0.000347
2454965.534051 1.004744 0.000000 0.000347
2454965.554485 1.004732 0.000000 0.000347
2454965.574920 1.004978 0.000000 0.000347
2454965.595354 1.004994 0.000000 0.000347
2454965.615789 1.005122 0.000000 0.000347
2454965.636223 1.004966 0.000000 0.000347
2454965.656658 1.005849 0.000000 0.000347
2454965.677092 1.005041 0.000000 0.000347
2454965.697527 1.005354 0.000000 0.000347
2454965.717961 1.004867 0.000000 0.000347
2454965.738396 1.004741 0.000000 0.000347
2454965.758830 1.005274 0.000000 0.000347
2454965.779265 1.005813 0.000000 0.000347
2454965.799699 1.005251 0.000000 0.000347
2454965.820134 1.004762 0.000000 0.000347
2454965.840568 1.005317 0.000000 0.000347
2454965.861003 1.005412 0.000000 0.000347
2454965.881437 1.005096 0.000000 0.000347
2454965.901872 1.005296 0.000000 0.000347
2454965.922306 1.005093 0.000000 0.000347
2454965.942741 1.005696 0.000000 0.000347
2454965.963175 1.005972 0.000000 0.000347
2454965.983610 1.006133 0.000000 0.000347
2454966.004044 1.005564 0.000000 0.000347
2454966.024479 1.005351 0.000000 0.000347
2454966.044913 1.005573 0.000000 0.000347
2454966.065348 1.005196 0.000000 0.000347
2454966.085782 1.005267 0.000000 0.000347
2454966.106217 1.005622 0.000000 0.000347
2454966.126651 1.005283 0.000000 0.000347
2454966.147086 1.005201 0.000000 0.000347
2454966.167520 1.005835 0.000000 0.000347
2454966.187955 1.005390 0.000000 0.000347
2454966.208389 1.005552 0.000000 0.000347
2454966.228824 1.005925 0.000000 0.000347
2454966.249258 1.005911 0.000000 0.000347
2454966.269693 1.005324 0.000000 0.000347
2454966.290127 1.005765 0.000000 0.000347
2454966.310562 1.006328 0.000000 0.000347
2454966.330996 1.005849 0.000000 0.000347
2454966.351431 1.005887 0.000000 0.000347
2454966.371865 1.005350 0.000000 0.000347
2454966.392300 1.005891 0.000000 0.000347
2454966.412734 1.006084 0.000000 0.000347
2454966.433169 1.006340 0.000000 0.000347
2454966.453603 1.005451 0.000000 0.000347
2454966.474037 1.006094 0.000000 0.000347
2454966.494472 1.005809 0.000000 0.000347
2454966.514907 1.006089 0.000000 0.000347
2454966.535341 1.006296 0.000000 0.000347
2454966.555776 1.006329 0.000000 0.000347
2454966.576210 1.006108 0.000000 0.000347
2454966.596644 1.005708 0.000000 0.000347
2454966.617079 1.006913 0.000000 0.000347
2454966.637514 1.006104 0.000000 0.000347
2454966.657948 1.006078 0.000000 0.000347
2454966.678382 1.006295 0.000000 0.000347
2454966.698817 1.006127 0.000000 0.000347
2454966.719252 1.005942 0.000000 0.000347
2454966.739686 1.006467 0.000000 0.000347
2454966.760120 1.006335 0.000000 0.000347
2454966.780555 1.006630 0.000000 0.000347
2454966.800989 1.005855 0.000000 0.000347
2454966.821424 1.005573 0.000000 0.000347
2454966.841858 1.006072 0.000000 0.000347
2454966.862293 1.006777 0.000000 0.000347
2454966.882727 1.005870 0.000000 0.000347
2454966.903162 1.006738 0.000000 0.000347
2454966.923596 1.006080 0.000000 0.000347
2454966.944031 1.006343 0.000000 0.000347
2454966.964465 1.006897 0.000000 0.000347
2454966.984900 1.006558 0.000000 0.000347
2454967.005334 1.007066 0.000000 0.000347
2454967.025769 1.006893 0.000000 0.000347
2454967.046203 1.007086 0.000000 0.000347
2454967.066638 1.006861 0.000000 0.000347
2454967.087072 1.006824 0.000000 0.000347
2454967.107507 1.006163 0.000000 0.000347
2454967.127941 1.006440 0.000000 0.000347
2454967.148376 1.006328 0.000000 0.000347
2454967.168810 1.006165 0.000000 0.000347
2454967.189245 1.006248 0.000000 0.000347
2454967.209679 1.006225 0.000000 0.000347
2454967.230114 1.006073 0.000000 0.000347
2454967.270983 1.006851 0.000000 0.000347
2454967.291417 1.006875 0.000000 0.000347
2454967.311852 1.006406 0.000000 0.000347
2454967.332286 1.006199 0.000000 0.000347
2454967.352721 1.006323 0.000000 0.000347
2454967.373155 1.006959 0.000000 0.000347
2454967.414024 1.006962 0.000000 0.000347
2454967.434459 1.006215 0.000000 0.000347
2454967.454893 1.006768 0.000000 0.000347
2454967.475328 1.006813 0.000000 0.000347
2454967.495762 1.006594 0.000000 0.000347
2454967.516197 1.007119 0.000000 0.000346
2454967.536631 1.007043 0.000000 0.000347
2454967.557066 1.006656 0.000000 0.000347
