# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 1.003001 1.002901 0.000351
2454964.573629 1.003044 1.003190 0.000351
2454964.594063 1.003088 1.003899 0.000351
2454964.614497 1.003131 1.002490 0.000351
2454964.634931 1.003174 1.003145 0.000351
2454964.655365 1.003216 1.003303 0.000351
2454964.675799 1.003259 1.003185 0.000351
2454964.696233 1.003301 1.003569 0.000351
2454964.716667 1.003343 1.003372 0.000351
2454964.737101 1.003385 1.002606 0.000351
2454964.757535 1.003427 1.003360 0.000351
2454964.777969 1.003468 1.003654 0.000351
2454964.798403 1.003510 1.003041 0.000351
2454964.818837 1.003551 1.003724 0.000351
2454964.839271 1.003592 1.003572 0.000351
2454964.859705 1.003632 1.004290 0.000351
2454964.880139 1.003673 1.003474 0.000351
2454964.900573 1.003713 1.002938 0.000351
2454964.921007 1.003753 1.004023 0.000351
2454964.941441 1.003792 1.003508 0.000351
2454964.961875 1.003832 1.003984 0.000351
2454964.982309 1.003871 1.003712 0.000351
2454965.002743 1.003910 1.004288 0.000351
2454965.023177 1.003949 1.003831 0.000351
2454965.043611 1.003988 1.003670 0.000351
2454965.064045 1.004026 1.004535 0.000351
2454965.084479 1.004064 1.004308 0.000351
2454965.104913 1.004102 1.003665 0.000351
2454965.125347 1.004140 1.004400 0.000351
2454965.145781 1.004177 1.004543 0.000351
2454965.166215 1.004215 1.004064 0.000351
2454965.186649 1.004252 1.004301 0.000351
2454965.207083 1.004288 1.004006 0.000351
2454965.227517 1.004325 1.003977 0.000351
2454965.247951 1.004361 1.004268 0.000351
2454965.268385 1.004397 1.004901 0.000351
2454965.288819 1.004433 1.004613 0.000351
2454965.309253 1.004469 1.004425 0.000351
2454965.329687 1.004504 1.005049 0.000351
2454965.350121 1.004539 1.004725 0.000351
2454965.370555 1.004574 1.004532 0.000351
2454965.390989 1.004608 1.004368 0.000351
2454965.411423 1.004643 1.004391 0.000351
2454965.431857 1.004677 1.003881 0.000351
2454965.452291 1.004711 1.003787 0.000351
2454965.472725 1.004744 1.004653 0.000351
2454965.493159 1.004777 1.005255 0.000351
2454965.513593 1.004811 1.004662 0.000351
2454965.534027 1.004843 1.004675 0.000351
2454965.554461 1.004876 1.005405 0.000351
2454965.574895 1.004908 1.005088 0.000351
2454965.595329 1.004940 1.004462 0.000351
2454965.615763 1.004972 1.004891 0.000351
2454965.636197 1.005004 1.005061 0.000351
2454965.656631 1.005035 1.004647 0.000351
2454965.677065 1.005066 1.005300 0.000351
2454965.697499 1.005096 1.005361 0.000351
2454965.717933 1.005127 1.005479 0.000351
