# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 0.977773 0.000000 0.014911
2458216.472123 1.003248 0.000000 0.013668
2458216.472781 0.968039 0.000000 0.012851
2458216.473555 0.944905 0.000000 0.011868
2458216.474302 0.958427 0.000000 0.010328
2458216.474960 0.951932 0.000000 0.009628
2458216.475709 0.960472 0.000000 0.008911
2458216.476368 0.980055 0.000000 0.008198
2458216.477029 0.966324 0.000000 0.007714
2458216.477689 0.968128 0.000000 0.007215
2458216.478438 0.964035 0.000000 0.006726
2458216.479099 0.962583 0.000000 0.006251
2458216.479757 0.970328 0.000000 0.005984
2458216.480417 0.967447 0.000000 0.005607
2458216.481168 0.957568 0.000000 0.005356
2458216.481825 0.968611 0.000000 0.005088
2458216.482484 0.963382 0.000000 0.004947
2458216.483143 0.968300 0.000000 0.004793
2458216.483802 0.967043 0.000000 0.004674
2458216.484461 0.967012 0.000000 0.004583
2458216.485121 0.972645 0.000000 0.004456
2458216.485869 0.962298 0.000000 0.004404
2458216.486528 0.964091 0.000000 0.004332
2458216.487186 0.968755 0.000000 0.004293
2458216.487847 0.961398 0.000000 0.004283
2458216.488597 0.974000 0.000000 0.004224
2458216.489255 0.959604 0.000000 0.004167
2458216.489914 0.965351 0.000000 0.004150
2458216.490575 0.965058 0.000000 0.004120
2458216.491234 0.964004 0.000000 0.004106
2458216.491893 0.961416 0.000000 0.004070
2458216.492641 0.964706 0.000000 0.004090
2458216.493301 0.965880 0.000000 0.004051
2458216.493960 0.964282 0.000000 0.004057
2458216.494619 0.969385 0.000000 0.004040
2458216.495279 0.954099 0.000000 0.004051
2458216.495941 0.967828 0.000000 0.004038
2458216.496600 0.963850 0.000000 0.004040
2458216.497260 0.967685 0.000000 0.004029
2458216.497919 0.962322 0.000000 0.004034
2458216.498578 0.965993 0.000000 0.004038
2458216.499345 0.967665 0.000000 0.003996
2458216.500004 0.972245 0.000000 0.003969
2458216.500663 0.968082 0.000000 0.003980
2458216.501324 0.968546 0.000000 0.003998
2458216.501984 0.963387 0.000000 0.004006
2458216.502735 0.970147 0.000000 0.003992
2458216.503390 0.965397 0.000000 0.003996
2458216.504049 0.966446 0.000000 0.004005
2458216.504708 0.975341 0.000000 0.004006
2458216.505369 0.967558 0.000000 0.003994
2458216.506121 0.961947 0.000000 0.003976
2458216.506784 0.968010 0.000000 0.004013
2458216.507447 0.967915 0.000000 0.003988
2458216.508201 0.968616 0.000000 0.003974
2458216.508865 0.969049 0.000000 0.003983
2458216.509527 0.963772 0.000000 0.003997
2458216.510190 0.971419 0.000000 0.003956
2458216.510853 0.968333 0.000000 0.003977
2458216.511511 0.970454 0.000000 0.003977
2458216.512265 0.964350 0.000000 0.003989
2458216.512932 0.968460 0.000000 0.003952
2458216.513596 0.967150 0.000000 0.003978
2458216.514260 0.966065 0.000000 0.003987
2458216.514920 0.976438 0.000000 0.003995
2458216.515584 0.967923 0.000000 0.003938
2458216.516241 0.964068 0.000000 0.003965
2458216.516901 0.969131 0.000000 0.003956
2458216.517563 0.972764 0.000000 0.003956
2458216.518227 0.971730 0.000000 0.003950
2458216.518888 0.971600 0.000000 0.003981
2458216.519551 0.969647 0.000000 0.003941
2458216.520304 0.966448 0.000000 0.003956
2458216.520966 0.974310 0.000000 0.003968
2458216.521627 0.968857 0.000000 0.003977
2458216.522291 0.964143 0.000000 0.003956
2458216.522953 0.970589 0.000000 0.003932
2458216.523614 0.972061 0.000000 0.003921
2458216.524275 0.982453 0.000000 0.003965
2458216.524939 0.975805 0.000000 0.003968
2458216.525604 0.976306 0.000000 0.003979
2458216.526266 0.973949 0.000000 0.003962
2458216.526932 0.976893 0.000000 0.003931
2458216.527597 0.970349 0.000000 0.003938
2458216.528258 0.979058 0.000000 0.003929
2458216.528911 0.979993 0.000000 0.003951
2458216.529574 0.981336 0.000000 0.003927
2458216.530233 0.971427 0.000000 0.003946
2458216.530897 0.971219 0.000000 0.003942
2458216.531676 0.975205 0.000000 0.003979
2458216.532339 0.978148 0.000000 0.003983
2458216.532999 0.972836 0.000000 0.003956
2458216.533662 0.979519 0.000000 0.003955
2458216.534324 0.976319 0.000000 0.003935
2458216.534985 0.979877 0.000000 0.003960
2458216.535648 0.980128 0.000000 0.003974
2458216.536310 0.977296 0.000000 0.003963
2458216.536972 0.978783 0.000000 0.003967
2458216.537632 0.986234 0.000000 0.003960
2458216.538295 0.981852 0.000000 0.003988
2458216.538959 0.989806 0.000000 0.004017
2458216.539620 0.978351 0.000000 0.003999
2458216.540283 0.977206 0.000000 0.004014
2458216.540945 0.983811 0.000000 0.004023
2458216.541612 0.982175 0.000000 0.004027
2458216.542277 0.981954 0.000000 0.004031
2458216.542939 0.987662 0.000000 0.004055
2458216.543602 0.987782 0.000000 0.004085
2458216.544268 0.987838 0.000000 0.004044
2458216.544919 0.987582 0.000000 0.004028
2458216.545582 0.991065 0.000000 0.004031
2458216.546242 0.984546 0.000000 0.004020
2458216.546905 0.989315 0.000000 0.004030
2458216.547561 0.988815 0.000000 0.004016
2458216.548214 0.991655 0.000000 0.004070
2458216.548989 0.988521 0.000000 0.004073
2458216.549641 1.003050 0.000000 0.004067
2458216.550301 0.992771 0.000000 0.004147
2458216.550954 1.000426 0.000000 0.004056
2458216.551616 0.994155 0.000000 0.004063
2458216.552279 0.985377 0.000000 0.004026
2458216.553029 1.003868 0.000000 0.003994
2458216.553691 0.995746 0.000000 0.004022
2458216.554354 0.999982 0.000000 0.004009
2458216.555017 1.002455 0.000000 0.004051
2458216.555680 0.995146 0.000000 0.004020
2458216.556339 0.999420 0.000000 0.004043
2458216.557001 1.005412 0.000000 0.004026
2458216.557665 1.003056 0.000000 0.004031
2458216.558332 1.008032 0.000000 0.004051
2458216.558993 1.008378 0.000000 0.004070
2458216.559659 1.001094 0.000000 0.004017
2458216.560323 1.008396 0.000000 0.004056
2458216.560985 1.003829 0.000000 0.004040
2458216.561646 1.005784 0.000000 0.004025
2458216.562310 1.006865 0.000000 0.004031
2458216.562974 1.008189 0.000000 0.003983
2458216.563635 1.010220 0.000000 0.003976
2458216.564297 1.005189 0.000000 0.003992
2458216.564959 1.012365 0.000000 0.004000
2458216.565623 1.008496 0.000000 0.004045
2458216.566284 1.019590 0.000000 0.004041
2458216.566949 1.013349 0.000000 0.004042
2458216.567611 1.011707 0.000000 0.004032
2458216.568274 1.014768 0.000000 0.003970
2458216.568937 1.013841 0.000000 0.003980
2458216.569600 1.020404 0.000000 0.003986
2458216.570262 1.016951 0.000000 0.004009
2458216.571579 1.021110 0.000000 0.004015
2458216.572242 1.028280 0.000000 0.004045
2458216.572905 1.024208 0.000000 0.004035
2458216.573566 1.026817 0.000000 0.003969
2458216.574230 1.025947 0.000000 0.004030
2458216.574892 1.019909 0.000000 0.004044
2458216.575552 1.021283 0.000000 0.004031
2458216.576215 1.026349 0.000000 0.004036
2458216.576875 1.034394 0.000000 0.004045
2458216.577537 1.033210 0.000000 0.004061
2458216.578291 1.027603 0.000000 0.004083
2458216.578951 1.025990 0.000000 0.004054
2458216.579613 1.032770 0.000000 0.004056
2458216.580273 1.026685 0.000000 0.004046
2458216.580936 1.029303 0.000000 0.004044
2458216.581687 1.026360 0.000000 0.004041
2458216.582349 1.039688 0.000000 0.004029
2458216.583012 1.038925 0.000000 0.004035
2458216.583673 1.033310 0.000000 0.004018
2458216.584334 1.034967 0.000000 0.004039
2458216.584997 1.040429 0.000000 0.004026
2458216.585660 1.038544 0.000000 0.004013
2458216.586321 1.037689 0.000000 0.004028
2458216.586984 1.046635 0.000000 0.004015
2458216.587645 1.042945 0.000000 0.004041
2458216.588307 1.046011 0.000000 0.004042
2458216.588969 1.046585 0.000000 0.004025
2458216.589637 1.047968 0.000000 0.004022
2458216.590299 1.044917 0.000000 0.004018
2458216.590953 1.045475 0.000000 0.003990
2458216.591618 1.045878 0.000000 0.003962
2458216.592281 1.048690 0.000000 0.004001
2458216.592943 1.048485 0.000000 0.004028
2458216.593606 1.051610 0.000000 0.003967
2458216.594268 1.049670 0.000000 0.003942
2458216.594931 1.052018 0.000000 0.003964
2458216.595593 1.047757 0.000000 0.003948
2458216.596255 1.051601 0.000000 0.003952
2458216.596918 1.056114 0.000000 0.003968
2458216.597581 1.059716 0.000000 0.003981
2458216.598244 1.053193 0.000000 0.003998
2458216.598905 1.061129 0.000000 0.003970
2458216.599567 1.052432 0.000000 0.003965
2458216.600231 1.059670 0.000000 0.003939
2458216.600893 1.055258 0.000000 0.003955
2458216.601553 1.063868 0.000000 0.003989
2458216.602216 1.057091 0.000000 0.003975
2458216.602879 1.049429 0.000000 0.003996
2458216.603546 1.064382 0.000000 0.004021
2458216.604206 1.057703 0.000000 0.004022
2458216.604867 1.065037 0.000000 0.004034
2458216.605532 1.063753 0.000000 0.004049
2458216.606196 1.063928 0.000000 0.004030
2458216.606855 1.069826 0.000000 0.003991
2458216.607519 1.055819 0.000000 0.004028
2458216.608182 1.056486 0.000000 0.004012
2458216.608844 1.066426 0.000000 0.003995
2458216.609506 1.054966 0.000000 0.003982
2458216.610165 1.058724 0.000000 0.003975
2458216.610827 1.063687 0.000000 0.003978
2458216.611490 1.054689 0.000000 0.004005
2458216.612154 1.058575 0.000000 0.003951
2458216.612819 1.061469 0.000000 0.003933
2458216.613479 1.063105 0.000000 0.004004
2458216.614144 1.057278 0.000000 0.004007
2458216.614805 1.059620 0.000000 0.004020
2458216.615469 1.060910 0.000000 0.004005
2458216.616249 1.060807 0.000000 0.004009
2458216.616909 1.065990 0.000000 0.003975
2458216.617568 1.063648 0.000000 0.003964
2458216.618229 1.073743 0.000000 0.003960
2458216.618890 1.067670 0.000000 0.003953
2458216.619552 1.064837 0.000000 0.003983
2458216.620215 1.065906 0.000000 0.003997
2458216.620881 1.065200 0.000000 0.003926
2458216.621542 1.060168 0.000000 0.003933
2458216.622203 1.064378 0.000000 0.003976
2458216.622867 1.062681 0.000000 0.003966
2458216.623531 1.058045 0.000000 0.004005
2458216.624189 1.061746 0.000000 0.003975
2458216.624852 1.058564 0.000000 0.003966
2458216.625515 1.067334 0.000000 0.003984
2458216.626176 1.062451 0.000000 0.003981
2458216.626838 1.063046 0.000000 0.004004
2458216.627499 1.056718 0.000000 0.003983
2458216.628170 1.064004 0.000000 0.003953
2458216.628924 1.056504 0.000000 0.003955
2458216.629675 1.056612 0.000000 0.003891
2458216.630338 1.057826 0.000000 0.003927
2458216.631002 1.056486 0.000000 0.003927
2458216.631666 1.057488 0.000000 0.003924
2458216.632327 1.064786 0.000000 0.003904
2458216.632991 1.044639 0.000000 0.003942
2458216.633654 1.051468 0.000000 0.003994
2458216.634315 1.057796 0.000000 0.003948
2458216.634976 1.053333 0.000000 0.003942
2458216.635638 1.057715 0.000000 0.003931
2458216.636299 1.052529 0.000000 0.003894
2458216.637615 1.057512 0.000000 0.003806
2458216.638263 1.048261 0.000000 0.003832
2458216.638925 1.055686 0.000000 0.003833
2458216.639587 1.043262 0.000000 0.003826
2458216.640253 1.052541 0.000000 0.003812
2458216.641030 1.045608 0.000000 0.003825
2458216.641691 1.049640 0.000000 0.003888
2458216.642353 1.048865 0.000000 0.003908
2458216.643017 1.047360 0.000000 0.003875
2458216.643682 1.051139 0.000000 0.003899
2458216.644347 1.049875 0.000000 0.003869
2458216.645011 1.042986 0.000000 0.003885
2458216.645675 1.040508 0.000000 0.003893
2458216.646327 1.042358 0.000000 0.003841
2458216.646988 1.042378 0.000000 0.003790
2458216.647654 1.037631 0.000000 0.003729
2458216.648433 1.038417 0.000000 0.003830
2458216.649210 1.047388 0.000000 0.003827
2458216.649872 1.041650 0.000000 0.003850
2458216.650534 1.041594 0.000000 0.003799
2458216.651200 1.041449 0.000000 0.003845
2458216.651859 1.034664 0.000000 0.003850
2458216.652522 1.039602 0.000000 0.003867
2458216.653184 1.028765 0.000000 0.003863
2458216.653845 1.031461 0.000000 0.003844
2458216.654509 1.032298 0.000000 0.003882
2458216.655175 1.039935 0.000000 0.003874
2458216.655839 1.034678 0.000000 0.003909
2458216.656501 1.029652 0.000000 0.003872
2458216.657163 1.024120 0.000000 0.003877
2458216.657827 1.031048 0.000000 0.003926
2458216.658488 1.024440 0.000000 0.003912
2458216.659152 1.030603 0.000000 0.003931
2458216.659814 1.021763 0.000000 0.003914
2458216.660466 1.023072 0.000000 0.003893
2458216.661220 1.020398 0.000000 0.003910
2458216.661882 1.022904 0.000000 0.003863
2458216.662547 1.015370 0.000000 0.003898
2458216.663209 1.017677 0.000000 0.003882
2458216.663954 1.021823 0.000000 0.003889
2458216.664616 1.010698 0.000000 0.003874
2458216.665274 1.012191 0.000000 0.003880
2458216.665935 1.018554 0.000000 0.003849
2458216.666600 1.018698 0.000000 0.003836
2458216.667264 1.016882 0.000000 0.003812
2458216.667927 1.020458 0.000000 0.003826
2458216.668590 1.020027 0.000000 0.003833
2458216.669243 1.010034 0.000000 0.003827
2458216.669905 1.012252 0.000000 0.003806
2458216.670567 1.007440 0.000000 0.003820
2458216.671219 1.003920 0.000000 0.003841
2458216.671881 1.006074 0.000000 0.003863
2458216.672542 1.010968 0.000000 0.003849
2458216.673195 0.999864 0.000000 0.003848
2458216.673859 1.002255 0.000000 0.003883
2458216.674519 1.006215 0.000000 0.003883
2458216.675181 1.007972 0.000000 0.003934
2458216.675843 1.004784 0.000000 0.003900
2458216.676507 1.000926 0.000000 0.003924
2458216.677169 0.999101 0.000000 0.003929
2458216.677944 1.000183 0.000000 0.003957
2458216.678608 0.994287 0.000000 0.003948
2458216.679271 0.995266 0.000000 0.003947
2458216.679937 0.993581 0.000000 0.003925
2458216.680599 1.000633 0.000000 0.003962
2458216.681262 0.997098 0.000000 0.003935
2458216.681924 0.998058 0.000000 0.003960
2458216.682586 0.997658 0.000000 0.003983
2458216.683246 0.994747 0.000000 0.004013
2458216.683911 0.996140 0.000000 0.004005
2458216.684573 0.991013 0.000000 0.003992
2458216.685344 0.996136 0.000000 0.004047
2458216.686008 0.996031 0.000000 0.004030
2458216.686760 0.984944 0.000000 0.004038
2458216.687425 0.990169 0.000000 0.004052
2458216.688087 0.991579 0.000000 0.004047
2458216.688750 0.992717 0.000000 0.004050
2458216.689411 0.978842 0.000000 0.004062
2458216.690185 0.983946 0.000000 0.004061
2458216.690847 0.982788 0.000000 0.004070
2458216.691510 0.987955 0.000000 0.004101
2458216.692173 0.982853 0.000000 0.004111
2458216.692839 0.989158 0.000000 0.004107
2458216.693504 0.983422 0.000000 0.004111
2458216.694166 0.987919 0.000000 0.004104
2458216.694829 0.982740 0.000000 0.004101
2458216.695491 0.986180 0.000000 0.004081
2458216.696152 0.984930 0.000000 0.004111
2458216.696815 0.983540 0.000000 0.004118
2458216.697583 0.980543 0.000000 0.004162
2458216.698247 0.987254 0.000000 0.004089
2458216.698900 0.975024 0.000000 0.004125
2458216.699563 0.983402 0.000000 0.004103
2458216.700226 0.969072 0.000000 0.004118
2458216.700887 0.978029 0.000000 0.004131
2458216.701544 0.978679 0.000000 0.004137
2458216.702205 0.979767 0.000000 0.004164
2458216.702869 0.975024 0.000000 0.004164
2458216.703530 0.976957 0.000000 0.004169
2458216.704193 0.974751 0.000000 0.004182
2458216.704858 0.980790 0.000000 0.004157
2458216.705519 0.966774 0.000000 0.004171
2458216.706184 0.975237 0.000000 0.004212
2458216.706849 0.969518 0.000000 0.004242
2458216.707625 0.970474 0.000000 0.004191
2458216.708287 0.978033 0.000000 0.004224
2458216.708952 0.979139 0.000000 0.004271
2458216.709615 0.971695 0.000000 0.004260
2458216.710280 0.970384 0.000000 0.004248
2458216.710947 0.967898 0.000000 0.004267
2458216.711613 0.970894 0.000000 0.004283
2458216.712275 0.979213 0.000000 0.004298
2458216.712938 0.968959 0.000000 0.004311
2458216.713602 0.976155 0.000000 0.004311
2458216.714260 0.971180 0.000000 0.004331
2458216.714920 0.970596 0.000000 0.004313
