# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 0.968099 0.966575 0.005284
2458216.472126 0.967883 0.970088 0.005284
2458216.472788 0.967675 0.979982 0.005284
2458216.473450 0.967474 0.957750 0.005284
2458216.474112 0.967282 0.966849 0.005284
2458216.474774 0.967096 0.968413 0.005284
2458216.475436 0.966919 0.965793 0.005284
2458216.476098 0.966749 0.970808 0.005284
2458216.476760 0.966586 0.967019 0.005284
2458216.477422 0.966431 0.954611 0.005284
2458216.478084 0.966284 0.965272 0.005284
2458216.478746 0.966144 0.968961 0.005284
2458216.479408 0.966011 0.958899 0.005284
2458216.480070 0.965886 0.968514 0.005284
2458216.480732 0.965768 0.965467 0.005284
2458216.481394 0.965658 0.975637 0.005284
2458216.482056 0.965554 0.962536 0.005284
2458216.482718 0.965458 0.953716 0.005284
2458216.483380 0.965369 0.969468 0.005284
2458216.484042 0.965287 0.960978 0.005284
2458216.484704 0.965213 0.967524 0.005284
2458216.485366 0.965145 0.962727 0.005284
2458216.486028 0.965084 0.970803 0.005284
2458216.486690 0.965030 0.963244 0.005284
2458216.487352 0.964983 0.960170 0.005284
2458216.488014 0.964942 0.972652 0.005284
2458216.488676 0.964909 0.968601 0.005284
2458216.489338 0.964882 0.958252 0.005284
2458216.490000 0.964861 0.968806 0.005284
2458216.490662 0.964847 0.970390 0.005284
2458216.491324 0.964840 0.962551 0.005284
2458216.491986 0.964839 0.965584 0.005284
2458216.492648 0.964845 0.960567 0.005284
2458216.493310 0.964857 0.959580 0.005284
2458216.493972 0.964875 0.963466 0.005284
2458216.494634 0.964899 0.972545 0.005284
2458216.495296 0.964930 0.967664 0.005284
2458216.495958 0.964967 0.964305 0.005284
2458216.496620 0.965011 0.973280 0.005284
2458216.497282 0.965060 0.967888 0.005284
2458216.497944 0.965116 0.964487 0.005284
2458216.498606 0.965177 0.961536 0.005284
2458216.499268 0.965245 0.961428 0.005284
2458216.499930 0.965319 0.953247 0.005284
2458216.500592 0.965399 0.951391 0.005284
2458216.501254 0.965485 0.964103 0.005284
2458216.501916 0.965577 0.972818 0.005284
2458216.502578 0.965676 0.963430 0.005284
2458216.503240 0.965780 0.963226 0.005284
2458216.503902 0.965891 0.973912 0.005284
2458216.504564 0.966007 0.968740 0.005284
2458216.505226 0.966130 0.958884 0.005284
2458216.505888 0.966259 0.965036 0.005284
2458216.506550 0.966394 0.967271 0.005284
2458216.507212 0.966536 0.960657 0.005284
2458216.507874 0.966683 0.970237 0.005284
2458216.508536 0.966837 0.970842 0.005284
2458216.509198 0.966998 0.972337 0.005284
2458216.509860 0.967165 0.962055 0.005284
2458216.510522 0.967338 0.965022 0.005284
2458216.511184 0.967518 0.966322 0.005284
2458216.511846 0.967704 0.967352 0.005284
2458216.512508 0.967897 0.968032 0.005284
2458216.513170 0.968097 0.963496 0.005284
2458216.513832 0.968304 0.971332 0.005284
2458216.514494 0.968517 0.961048 0.005284
2458216.515156 0.968738 0.964652 0.005284
2458216.515818 0.968965 0.960911 0.005284
2458216.516480 0.969200 0.961053 0.005284
2458216.517142 0.969442 0.961872 0.005284
2458216.517804 0.969691 0.973543 0.005284
2458216.518466 0.969948 0.972077 0.005284
2458216.519128 0.970212 0.976088 0.005284
2458216.519790 0.970484 0.970374 0.005284
2458216.520452 0.970764 0.976273 0.005284
2458216.521114 0.971051 0.968146 0.005284
2458216.521776 0.971347 0.974749 0.005284
2458216.522438 0.971650 0.974937 0.005284
2458216.523100 0.971962 0.972855 0.005284
2458216.523762 0.972282 0.973495 0.005284
2458216.524424 0.972610 0.979421 0.005284
2458216.525086 0.972947 0.980181 0.005284
2458216.525748 0.973293 0.974039 0.005284
2458216.526410 0.973647 0.962818 0.005284
2458216.527072 0.974010 0.972020 0.005284
2458216.527734 0.974382 0.977066 0.005284
2458216.528396 0.974763 0.978295 0.005284
2458216.529058 0.975154 0.976101 0.005284
2458216.529720 0.975553 0.983758 0.005284
2458216.530382 0.975962 0.978282 0.005284
2458216.531044 0.976381 0.985020 0.005284
2458216.531706 0.976809 0.974222 0.005284
2458216.532368 0.977247 0.982073 0.005284
2458216.533030 0.977695 0.974939 0.005284
2458216.533692 0.978152 0.987665 0.005284
2458216.534354 0.978620 0.983335 0.005284
2458216.535016 0.979097 0.980467 0.005284
2458216.535678 0.979585 0.980801 0.005284
2458216.536340 0.980083 0.977953 0.005284
2458216.537002 0.980591 0.985852 0.005284
2458216.537664 0.981109 0.976663 0.005284
2458216.538326 0.981638 0.976348 0.005284
2458216.538988 0.982177 0.989112 0.005284
2458216.539650 0.982727 0.984715 0.005284
2458216.540312 0.983287 0.987701 0.005284
2458216.540974 0.983858 0.987246 0.005284
2458216.541636 0.984439 0.977994 0.005284
2458216.542298 0.985031 0.982455 0.005284
2458216.542960 0.985634 0.981799 0.005284
2458216.543622 0.986247 0.985224 0.005284
2458216.544284 0.986871 0.987547 0.005284
2458216.544946 0.987505 0.990742 0.005284
2458216.545608 0.988150 0.985547 0.005284
2458216.546270 0.988806 0.997703 0.005284
2458216.546932 0.989471 0.990883 0.005284
2458216.547594 0.990148 0.979188 0.005284
2458216.548256 0.990835 0.998190 0.005284
2458216.548918 0.991532 0.996819 0.005284
2458216.549580 0.992239 0.995347 0.005284
2458216.550242 0.992956 0.991682 0.005284
2458216.550904 0.993684 1.000672 0.005284
2458216.551566 0.994421 0.992737 0.005284
2458216.552228 0.995168 0.996106 0.005284
2458216.552890 0.995925 0.990877 0.005284
2458216.553552 0.996692 0.998040 0.005284
2458216.554214 0.997468 0.993677 0.005284
2458216.554876 0.998253 1.004558 0.005284
2458216.555538 0.999047 0.993919 0.005284
2458216.556200 0.999850 0.998962 0.005284
2458216.556862 1.000661 0.996413 0.005284
2458216.557524 1.001481 0.995739 0.005284
2458216.558186 1.002310 0.997757 0.005284
2458216.558848 1.003146 1.003821 0.005284
2458216.559510 1.003990 0.994409 0.005284
2458216.560172 1.004842 1.007329 0.005284
2458216.560834 1.005701 1.004633 0.005284
2458216.561496 1.006567 1.013433 0.005284
2458216.562158 1.007440 0.993660 0.005284
2458216.562820 1.008319 1.005427 0.005284
2458216.563482 1.009204 1.011289 0.005284
2458216.564144 1.010096 1.008558 0.005284
2458216.564806 1.010992 1.006044 0.005284
2458216.565468 1.011894 1.013626 0.005284
2458216.566130 1.012801 1.011306 0.005284
2458216.566792 1.013712 1.007781 0.005284
2458216.567454 1.014628 1.012023 0.005284
2458216.568116 1.015547 1.013765 0.005284
2458216.568778 1.016469 1.026742 0.005284
2458216.569440 1.017395 1.007700 0.005284
2458216.570102 1.018323 1.015425 0.005284
2458216.570764 1.019253 1.021277 0.005284
2458216.571426 1.020185 1.026880 0.005284
2458216.572088 1.021119 1.030762 0.005284
2458216.572750 1.022053 1.015428 0.005284
2458216.573412 1.022988 1.025607 0.005284
2458216.574074 1.023923 1.015541 0.005284
2458216.574736 1.024858 1.022341 0.005284
2458216.575398 1.025792 1.026011 0.005284
2458216.576060 1.026725 1.027156 0.005284
2458216.576722 1.027655 1.027985 0.005284
2458216.577384 1.028584 1.029831 0.005284
2458216.578046 1.029510 1.028672 0.005284
2458216.578708 1.030433 1.039523 0.005284
2458216.579370 1.031352 1.029249 0.005284
2458216.580032 1.032267 1.031921 0.005284
2458216.580694 1.033178 1.038187 0.005284
2458216.581356 1.034084 1.023546 0.005284
2458216.582018 1.034983 1.032333 0.005284
2458216.582680 1.035877 1.026171 0.005284
2458216.583342 1.036765 1.037324 0.005284
2458216.584004 1.037645 1.036995 0.005284
2458216.584666 1.038518 1.038901 0.005284
2458216.585328 1.039383 1.037557 0.005284
2458216.585990 1.040239 1.043600 0.005284
2458216.586652 1.041086 1.039740 0.005284
2458216.587314 1.041924 1.043565 0.005284
2458216.587976 1.042752 1.046494 0.005284
2458216.588638 1.043569 1.047033 0.005284
2458216.589300 1.044376 1.046925 0.005284
2458216.589962 1.045171 1.039918 0.005284
2458216.590624 1.045954 1.042548 0.005284
2458216.591286 1.046725 1.054620 0.005284
2458216.591948 1.047483 1.056938 0.005284
2458216.592610 1.048228 1.057654 0.005284
2458216.593272 1.048959 1.051881 0.005284
2458216.593934 1.049675 1.055346 0.005284
2458216.594596 1.050378 1.050101 0.005284
2458216.595258 1.051065 1.059593 0.005284
2458216.595920 1.051737 1.049333 0.005284
2458216.596582 1.052392 1.049125 0.005284
2458216.597244 1.053032 1.046652 0.005284
2458216.597906 1.053655 1.050584 0.005284
2458216.598568 1.054261 1.056293 0.005284
2458216.599230 1.054849 1.054362 0.005284
2458216.599892 1.055419 1.053218 0.005284
2458216.600554 1.055972 1.057478 0.005284
2458216.601216 1.056505 1.049177 0.005284
2458216.601878 1.057020 1.053570 0.005284
2458216.602540 1.057516 1.057705 0.005284
2458216.603202 1.057992 1.065283 0.005284
2458216.603864 1.058448 1.059381 0.005284
2458216.604526 1.058885 1.061395 0.005284
2458216.605188 1.059300 1.060991 0.005284
2458216.605850 1.059695 1.062558 0.005284
2458216.606512 1.060070 1.060561 0.005284
2458216.607174 1.060422 1.055686 0.005284
2458216.607836 1.060754 1.059462 0.005284
2458216.608498 1.061064 1.063330 0.005284
2458216.609160 1.061352 1.060901 0.005284
2458216.609822 1.061618 1.067159 0.005284
2458216.610484 1.061862 1.058361 0.005284
