# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 -7.072718 -7.177214 0.173829
2454964.594064 -7.079098 -7.112014 0.173829
2454964.634933 -7.084828 -6.597820 0.173829
2454964.655367 -7.087449 -6.938150 0.173829
2454964.675802 -7.089906 -7.172636 0.173829
2454964.696236 -7.092200 -6.822502 0.173829
2454964.716671 -7.094330 -6.844930 0.173829
2454964.737105 -7.096297 -7.050798 0.173829
2454964.757540 -7.098099 -7.023698 0.173829
2454964.777974 -7.099737 -7.292269 0.173829
2454964.798409 -7.101211 -7.278600 0.173829
2454964.818843 -7.102520 -7.025938 0.173829
2454964.839278 -7.103664 -7.232181 0.173829
2454964.859712 -7.104643 -7.335720 0.173829
2454964.880147 -7.105457 -7.028050 0.173829
2454964.900581 -7.106106 -6.864094 0.173829
2454964.921016 -7.106589 -6.969424 0.173829
2454964.941450 -7.106906 -7.159207 0.173829
2454964.961885 -7.107058 -7.009109 0.173829
2454964.982319 -7.107043 -6.920592 0.173829
2454965.002754 -7.106862 -6.932367 0.173829
2454965.023188 -7.106515 -7.005995 0.173829
2454965.043623 -7.106002 -6.871653 0.173829
2454965.064057 -7.105321 -7.268824 0.173829
2454965.084492 -7.104474 -7.205295 0.173829
2454965.104926 -7.103460 -7.029621 0.173829
2454965.125361 -7.102279 -6.955809 0.173829
2454965.145795 -7.100931 -6.977885 0.173829
2454965.166230 -7.099415 -7.174974 0.173829
2454965.186664 -7.097729 -7.007511 0.173829
2454965.207099 -7.095873 -6.790689 0.173829
2454965.227533 -7.093848 -6.825136 0.173829
2454965.247968 -7.091656 -7.339041 0.173829
2454965.268402 -7.089296 -7.213755 0.173829
2454965.288837 -7.086768 -7.162156 0.173829
2454965.309271 -7.084072 -7.065331 0.173829
2454965.329706 -7.081207 -7.345313 0.173829
2454965.350140 -7.078175 -6.916861 0.173829
2454965.370575 -7.074973 -6.999023 0.173829
2454965.391009 -7.071604 -7.123773 0.173829
2454965.411444 -7.068065 -7.084740 0.173829
2454965.431878 -7.064358 -7.292086 0.173829
2454965.452313 -7.060482 -6.921963 0.173829
2454965.472747 -7.056438 -6.936828 0.173829
2454965.493182 -7.052224 -7.087364 0.173829
2454965.513616 -7.047842 -6.847474 0.173829
2454965.534051 -7.043290 -7.077047 0.173829
2454965.554485 -7.038570 -6.911177 0.173829
2454965.574920 -7.033680 -7.039903 0.173829
2454965.595354 -7.028621 -7.249778 0.173829
2454965.615789 -7.023393 -6.737681 0.173829
2454965.636223 -7.017996 -6.762665 0.173829
2454965.656658 -7.012429 -7.107570 0.173829
2454965.677092 -7.006694 -6.819950 0.173829
2454965.697527 -7.000788 -7.143095 0.173829
2454965.717961 -6.994714 -7.287603 0.173829
2454965.738396 -6.988469 -7.096462 0.173829
2454965.758830 -6.982056 -7.168664 0.173829
2454965.779265 -6.975473 -7.053381 0.173829
2454965.799699 -6.968721 -7.095900 0.173829
2454965.820134 -6.961793 -6.948396 0.173829
2454965.840568 -6.954696 -6.980445 0.173829
2454965.861003 -6.947429 -6.989484 0.173829
2454965.881437 -6.939993 -7.026803 0.173829
2454965.901872 -6.932387 -6.701665 0.173829
2454965.922306 -6.924613 -6.914206 0.173829
2454965.942741 -6.916668 -7.006676 0.173829
2454965.963175 -6.908555 -6.843628 0.173829
2454965.983610 -6.900272 -7.014016 0.173829
2454966.004044 -6.891819 -7.095336 0.173829
2454966.024479 -6.883198 -6.921203 0.173829
2454966.044913 -6.874407 -6.725597 0.173829
2454966.065348 -6.865447 -6.845201 0.173829
2454966.085782 -6.856318 -6.832095 0.173829
2454966.106217 -6.847019 -6.931209 0.173829
2454966.126651 -6.837552 -6.588998 0.173829
2454966.147086 -6.827916 -6.698761 0.173829
2454966.167520 -6.818111 -6.752747 0.173829
2454966.187955 -6.808137 -7.095348 0.173829
2454966.208389 -6.797994 -6.522863 0.173829
2454966.228824 -6.787682 -7.028226 0.173829
2454966.249258 -6.777202 -6.725484 0.173829
2454966.269693 -6.766553 -6.629990 0.173829
2454966.290127 -6.755736 -6.801191 0.173829
2454966.310562 -6.744750 -7.084068 0.173829
2454966.330996 -6.733597 -6.569145 0.173829
2454966.351431 -6.722274 -6.892586 0.173829
2454966.371865 -6.710785 -6.479356 0.173829
2454966.392300 -6.699126 -6.472290 0.173829
2454966.412734 -6.687301 -6.693021 0.173829
2454966.433169 -6.675303 -6.482057 0.173829
2454966.453603 -6.663137 -6.621219 0.173829
2454966.474037 -6.650802 -6.735630 0.173829
2454966.494472 -6.638300 -6.709372 0.173829
2454966.514907 -6.625630 -6.218034 0.173829
2454966.535341 -6.612794 -6.662832 0.173829
2454966.555776 -6.599790 -6.455495 0.173829
2454966.576210 -6.586621 -6.713167 0.173829
2454966.596644 -6.573284 -6.506906 0.173829
2454966.617079 -6.559780 -6.673702 0.173829
2454966.637514 -6.546110 -6.462406 0.173829
2454966.657948 -6.532275 -6.621777 0.173829
2454966.678382 -6.518273 -6.399674 0.173829
2454966.698817 -6.504105 -6.699601 0.173829
2454966.719252 -6.489771 -6.385159 0.173829
2454966.739686 -6.475272 -6.454780 0.173829
2454966.760120 -6.460608 -6.395036 0.173829
2454966.780555 -6.445778 -6.456381 0.173829
2454966.800989 -6.430784 -6.212024 0.173829
2454966.821424 -6.415624 -6.115658 0.173829
2454966.841858 -6.400300 -6.318539 0.173829
2454966.862293 -6.384812 -6.433599 0.173829
2454966.882727 -6.369160 -6.341599 0.173829
2454966.903162 -6.353343 -5.955652 0.173829
2454966.923596 -6.337363 -6.142676 0.173829
2454966.944031 -6.321218 -6.193062 0.173829
2454966.964465 -6.304912 -6.358503 0.173829
2454966.984900 -6.288441 -6.278553 0.173829
2454967.005334 -6.271808 -6.277116 0.173829
2454967.025769 -6.255012 -6.328591 0.173829
2454967.046203 -6.238054 -6.428202 0.173829
2454967.066638 -6.220927 -6.173331 0.173829
2454967.087072 -6.203640 -5.842569 0.173829
2454967.107507 -6.186189 -5.985222 0.173829
2454967.127941 -6.168579 -6.118223 0.173829
2454967.148376 -6.150806 -5.886324 0.173829
2454967.168810 -6.132873 -6.392200 0.173829
