# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2458216.471464 -7.072718 -6.340889 2.331256
2458216.472123 -7.084895 -9.714872 2.136919
2458216.472781 -7.094419 -9.466252 2.009186
2458216.473555 -7.102233 -8.771392 1.855499
2458216.474302 -7.106289 -6.006786 1.614728
2458216.474960 -7.106997 -6.713932 1.505287
2458216.475709 -7.104552 -8.675255 1.393188
2458216.476368 -7.099499 -6.702284 1.281714
2458216.477029 -7.091694 -9.229720 1.206043
2458216.477689 -7.081170 -6.846706 1.128027
2458216.478438 -7.065918 -6.799659 1.051574
2458216.479099 -7.049528 -7.703492 0.977311
2458216.479757 -7.030474 -6.494033 0.935567
2458216.480417 -7.008602 -5.731573 0.876625
2458216.481168 -6.980363 -7.072616 0.837382
2458216.481825 -6.952747 -5.667897 0.795482
2458216.482484 -6.922305 -9.119765 0.773437
2458216.483143 -6.889116 -6.434756 0.749360
2458216.483802 -6.853169 -6.290912 0.730755
2458216.484461 -6.814483 -6.817958 0.716528
2458216.485121 -6.772998 -8.256591 0.696672
2458216.485869 -6.722686 -6.748103 0.688542
2458216.486528 -6.675444 -7.171204 0.677285
2458216.487186 -6.625549 -6.109584 0.671188
2458216.487847 -6.572711 -7.096236 0.669624
2458216.488597 -6.509478 -6.337796 0.660400
2458216.489255 -6.451140 -6.425114 0.651488
2458216.489914 -6.390036 -6.643727 0.648830
2458216.490575 -6.326060 -6.168657 0.644140
2458216.491234 -6.259626 -6.825721 0.641951
2458216.491893 -6.190560 -5.914035 0.636323
2458216.492641 -6.109013 -5.220739 0.639450
2458216.493301 -6.034270 -5.648202 0.633352
2458216.493960 -5.957048 -5.892163 0.634290
2458216.494619 -5.877266 -6.188459 0.631633
2458216.495279 -5.794818 -6.339170 0.633352
2458216.495941 -5.709585 -6.025647 0.631320
2458216.496600 -5.622237 -5.956179 0.631633
2458216.497260 -5.532279 -7.511477 0.629913
2458216.497919 -5.440010 -4.585712 0.630694
2458216.498578 -5.345318 -5.683367 0.631320
2458216.499345 -5.232079 -4.069464 0.624753
2458216.500004 -5.132230 -4.590468 0.620532
2458216.500663 -5.030047 -4.977459 0.622252
2458216.501324 -4.925240 -6.063018 0.625066
2458216.501984 -4.818309 -5.162435 0.626317
2458216.502735 -4.693895 -6.042558 0.624128
2458216.503390 -4.583044 -4.499623 0.624753
2458216.504049 -4.469352 -3.546259 0.626160
2458216.504708 -4.353525 -3.270751 0.626317
2458216.505369 -4.235236 -4.122730 0.624441
2458216.506121 -4.098135 -3.051553 0.621626
2458216.506784 -3.975073 -4.515481 0.627411
2458216.507447 -3.850006 -4.088597 0.623503
2458216.508201 -3.705399 -2.271343 0.621314
2458216.508865 -3.575979 -3.170897 0.622721
2458216.509527 -3.445074 -4.076695 0.624910
2458216.510190 -3.312139 -4.152522 0.618500
2458216.510853 -3.177416 -2.971121 0.621783
2458216.511511 -3.041983 -3.121906 0.621783
2458216.512265 -2.884749 -2.856376 0.623659
2458216.512932 -2.743865 -2.983889 0.617874
2458216.513596 -2.602007 -2.346411 0.621939
2458216.514260 -2.458594 -2.175569 0.623346
2458216.514920 -2.314553 -1.878191 0.624597
2458216.515584 -2.168189 -2.069619 0.615685
2458216.516241 -2.021985 -2.365018 0.619907
2458216.516901 -1.873779 -2.840085 0.618500
2458216.517563 -1.723832 -1.967121 0.618500
2458216.518227 -1.572186 -0.929017 0.617562
2458216.518888 -1.420037 -2.076354 0.622408
2458216.519551 -1.266293 -1.081461 0.616154
2458216.520304 -1.090356 -0.762602 0.618500
2458216.520966 -0.934600 -0.729979 0.620376
2458216.521627 -0.778121 -1.766376 0.621783
2458216.522291 -0.620024 -0.729403 0.618500
2458216.522953 -0.461556 -0.856324 0.614747
2458216.523614 -0.302540 -0.186655 0.613028
2458216.524275 -0.142791 -1.132681 0.619907
2458216.524939 0.018356 0.332781 0.620376
2458216.525604 0.180364 -0.547104 0.622096
2458216.526266 0.342194 0.079898 0.619438
2458216.526932 0.505499 -0.110779 0.614591
2458216.527597 0.668994 0.779221 0.615685
2458216.528258 0.831875 0.454537 0.614278
2458216.528911 0.993086 0.641693 0.617718
2458216.529574 1.157012 1.929394 0.613966
2458216.530233 1.320132 1.229268 0.616936
2458216.530897 1.484613 2.178305 0.616311
2458216.531676 1.677652 1.433769 0.622096
2458216.532339 1.841932 1.623361 0.622721
2458216.532999 2.005390 2.563859 0.618500
2458216.533662 2.169447 1.990941 0.618343
2458216.534324 2.333050 2.815659 0.615216
2458216.534985 2.496134 2.661875 0.619125
2458216.535648 2.659375 2.146270 0.621314
2458216.536310 2.821969 1.859656 0.619594
2458216.536972 2.984093 1.926618 0.620219
2458216.537632 3.145199 2.930694 0.619125
2458216.538295 3.306439 2.478229 0.623503
2458216.538959 3.467257 3.150745 0.628037
2458216.539620 3.626621 3.644784 0.625222
2458216.540283 3.785672 3.940327 0.627568
2458216.540945 3.943624 3.234227 0.628975
2458216.541612 4.101834 4.359562 0.629600
2458216.542277 4.258567 4.466115 0.630225
2458216.542939 4.413534 3.897257 0.633978
2458216.543602 4.567611 6.051244 0.638668
2458216.544268 4.721182 4.674726 0.632258
