# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 0.678002 0.706563 0.157672
2454964.594064 0.610809 0.450585 0.157672
2454964.634933 0.543427 0.633161 0.157672
2454964.655367 0.509668 0.273252 0.157672
2454964.675802 0.475862 0.422962 0.157672
2454964.696236 0.442014 0.402545 0.157672
2454964.716671 0.408121 0.610727 0.157672
2454964.737105 0.374187 0.382726 0.157672
2454964.757540 0.340210 0.241206 0.157672
2454964.777974 0.306192 0.282250 0.157672
2454964.798409 0.272133 0.183639 0.157672
2454964.818843 0.238036 0.386909 0.157672
2454964.839278 0.203898 0.081768 0.157672
2454964.859712 0.169724 0.409013 0.157672
2454964.880147 0.135511 0.046078 0.157672
2454964.900581 0.101263 0.206062 0.157672
2454964.921016 0.066977 0.069032 0.157672
2454964.941450 0.032658 0.225750 0.157672
2454964.961885 -0.001697 0.127941 0.157672
2454964.982319 -0.036084 0.116859 0.157672
2454965.002754 -0.070505 -0.133210 0.157672
2454965.023188 -0.104957 -0.150208 0.157672
2454965.043623 -0.139441 -0.059936 0.157672
2454965.064057 -0.173954 -0.156044 0.157672
2454965.084492 -0.208499 -0.395854 0.157672
2454965.104926 -0.243071 -0.036313 0.157672
2454965.125361 -0.277673 -0.068112 0.157672
2454965.145795 -0.312300 -0.424308 0.157672
2454965.166230 -0.346956 -0.532532 0.157672
2454965.186664 -0.381636 -0.257917 0.157672
2454965.207099 -0.416343 -0.479166 0.157672
2454965.227533 -0.451073 -0.493817 0.157672
2454965.247968 -0.485828 -0.345766 0.157672
2454965.268402 -0.520603 -0.459774 0.157672
2454965.288837 -0.555402 -0.550124 0.157672
2454965.309271 -0.590221 -0.390332 0.157672
2454965.329706 -0.625061 -0.740872 0.157672
2454965.350140 -0.659919 -0.944892 0.157672
2454965.370575 -0.694798 -0.894828 0.157672
2454965.391009 -0.729692 -0.959824 0.157672
2454965.411444 -0.764605 -0.772365 0.157672
2454965.431878 -0.799533 -0.970298 0.157672
2454965.452313 -0.834478 -1.115482 0.157672
2454965.472747 -0.869436 -0.658319 0.157672
2454965.493182 -0.904409 -0.690532 0.157672
2454965.513616 -0.939394 -1.169201 0.157672
2454965.534051 -0.974393 -1.281569 0.157672
2454965.554485 -1.009401 -1.048604 0.157672
2454965.574920 -1.044422 -1.155377 0.157672
2454965.595354 -1.079451 -1.093562 0.157672
2454965.615789 -1.114490 -0.670466 0.157672
2454965.636223 -1.149536 -1.412365 0.157672
2454965.656658 -1.184591 -1.298347 0.157672
2454965.677092 -1.219651 -1.148008 0.157672
2454965.697527 -1.254719 -1.296108 0.157672
2454965.717961 -1.289789 -1.187949 0.157672
2454965.738396 -1.324866 -1.030821 0.157672
2454965.758830 -1.359944 -1.218573 0.157672
2454965.779265 -1.395026 -1.276425 0.157672
2454965.799699 -1.430109 -1.265936 0.157672
2454965.820134 -1.465194 -1.498233 0.157672
2454965.840568 -1.500277 -1.714368 0.157672
2454965.861003 -1.535361 -1.378122 0.157672
2454965.881437 -1.570442 -1.586059 0.157672
2454965.901872 -1.605522 -1.670249 0.157672
2454965.922306 -1.640597 -1.449172 0.157672
2454965.942741 -1.675670 -1.891002 0.157672
2454965.963175 -1.710736 -1.635656 0.157672
2454965.983610 -1.745798 -1.535155 0.157672
2454966.004044 -1.780852 -1.809284 0.157672
2454966.024479 -1.815900 -1.817720 0.157672
2454966.044913 -1.850938 -1.705664 0.157672
2454966.065348 -1.885969 -1.866415 0.157672
2454966.085782 -1.920989 -2.080077 0.157672
2454966.106217 -1.955999 -2.108536 0.157672
2454966.126651 -1.990996 -1.801918 0.157672
2454966.147086 -2.025983 -2.095571 0.157672
2454966.167520 -2.060954 -1.980771 0.157672
2454966.187955 -2.095914 -1.866084 0.157672
2454966.208389 -2.130857 -2.163408 0.157672
2454966.228824 -2.165786 -2.420421 0.157672
2454966.249258 -2.200696 -2.391704 0.157672
2454966.269693 -2.235592 -2.137724 0.157672
2454966.290127 -2.270467 -2.371270 0.157672
2454966.310562 -2.305325 -2.408622 0.157672
2454966.330996 -2.340161 -2.377323 0.157672
2454966.351431 -2.374979 -1.994875 0.157672
2454966.371865 -2.409774 -2.335596 0.157672
2454966.392300 -2.444547 -2.393296 0.157672
2454966.412734 -2.479296 -2.445009 0.157672
2454966.433169 -2.514023 -2.305283 0.157672
2454966.453603 -2.548722 -2.495935 0.157672
2454966.474037 -2.583396 -2.472102 0.157672
2454966.494472 -2.618045 -2.669224 0.157672
2454966.514907 -2.652666 -2.543790 0.157672
2454966.535341 -2.687258 -2.913412 0.157672
