# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 0.015781 0.093043 0.192977
2454964.594064 0.015766 0.016908 0.192977
2454964.634933 0.015752 -0.202446 0.192977
2454964.655367 0.015745 -0.055440 0.192977
2454964.675802 0.015739 0.022457 0.192977
2454964.696236 0.015733 0.239182 0.192977
2454964.716671 0.015727 0.617629 0.192977
2454964.737105 0.015721 -0.181462 0.192977
2454964.757540 0.015716 0.286434 0.192977
2454964.777974 0.015710 -0.228868 0.192977
2454964.798409 0.015705 -0.275831 0.192977
2454964.818843 0.015700 0.224027 0.192977
2454964.839278 0.015695 -0.519903 0.192977
2454964.859712 0.015691 -0.093157 0.192977
2454964.880147 0.015687 0.123120 0.192977
2454964.900581 0.015682 -0.207791 0.192977
2454964.921016 0.015679 0.286673 0.192977
2454964.941450 0.015675 0.144144 0.192977
2454964.961885 0.015671 0.382324 0.192977
2454964.982319 0.015668 -0.053799 0.192977
2454965.002754 0.015665 0.242721 0.192977
2454965.023188 0.015662 -0.291516 0.192977
2454965.043623 0.015659 0.194366 0.192977
2454965.064057 0.015657 -0.308882 0.192977
2454965.084492 0.015655 0.069611 0.192977
2454965.104926 0.015653 -0.083249 0.192977
2454965.125361 0.015651 -0.069798 0.192977
2454965.145795 0.015649 0.112777 0.192977
2454965.166230 0.015648 -0.187051 0.192977
2454965.186664 0.015646 0.045646 0.192977
2454965.207099 0.015645 0.113253 0.192977
2454965.227533 0.015644 -0.211447 0.192977
2454965.247968 0.015644 0.137625 0.192977
2454965.268402 0.015643 0.036769 0.192977
2454965.288837 0.015643 -0.073295 0.192977
2454965.309271 0.015643 -0.075495 0.192977
2454965.329706 0.015643 -0.122068 0.192977
2454965.350140 0.015644 0.246950 0.192977
2454965.370575 0.015644 -0.017080 0.192977
2454965.391009 0.015645 0.102373 0.192977
2454965.411444 0.015646 -0.334253 0.192977
2454965.431878 0.015647 0.181244 0.192977
2454965.452313 0.015649 -0.069255 0.192977
2454965.472747 0.015650 -0.151549 0.192977
2454965.493182 0.015652 0.164942 0.192977
2454965.513616 0.015654 0.063919 0.192977
2454965.534051 0.015656 0.168691 0.192977
2454965.554485 0.015659 0.150705 0.192977
2454965.574920 0.015662 0.328637 0.192977
2454965.595354 0.015664 0.049231 0.192977
2454965.615789 0.015668 0.086359 0.192977
2454965.636223 0.015671 -0.239555 0.192977
2454965.656658 0.015674 -0.085231 0.192977
2454965.677092 0.015678 0.134082 0.192977
2454965.697527 0.015682 0.003858 0.192977
2454965.717961 0.015686 -0.195045 0.192977
2454965.738396 0.015690 -0.055423 0.192977
2454965.758830 0.015695 -0.038064 0.192977
2454965.779265 0.015700 0.140335 0.192977
2454965.799699 0.015704 0.202095 0.192977
2454965.820134 0.015710 -0.057775 0.192977
2454965.840568 0.015715 -0.123546 0.192977
2454965.861003 0.015721 -0.283086 0.192977
2454965.881437 0.015726 0.259284 0.192977
2454965.901872 0.015732 -0.111943 0.192977
2454965.922306 0.015739 0.103873 0.192977
2454965.942741 0.015745 0.071947 0.192977
2454965.963175 0.015752 0.142939 0.192977
2454965.983610 0.015759 -0.144790 0.192977
2454966.004044 0.015766 0.018742 0.192977
2454966.024479 0.015773 0.142822 0.192977
2454966.044913 0.015780 0.426398 0.192977
2454966.065348 0.015788 0.221360 0.192977
