# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 0.015781 -3.212051 2.591441
2458216.472123 0.015752 -2.026138 2.375415
2458216.472781 0.015727 -3.759368 2.233426
2458216.473555 0.015701 -1.501238 2.062586
2458216.474302 0.015681 2.503926 1.794944
2458216.474960 0.015667 -1.224590 1.673288
2458216.475709 0.015655 -1.265642 1.548678
2458216.476368 0.015648 0.365405 1.424763
2458216.477029 0.015644 -0.077139 1.340646
2458216.477689 0.015643 -2.022942 1.253923
2458216.478438 0.015647 1.350773 1.168938
2458216.479099 0.015653 1.104063 1.086386
2458216.479757 0.015663 -0.248072 1.039983
2458216.480417 0.015677 0.644913 0.974462
2458216.481168 0.015696 0.106992 0.930840
2458216.481825 0.015716 0.216749 0.884263
2458216.482484 0.015740 -1.285932 0.859758
2458216.483143 0.015768 0.260883 0.832994
2458216.483802 0.015799 0.540311 0.812313
2458216.484461 0.015833 0.450970 0.796498
2458216.485121 0.015871 0.250089 0.774426
2458216.485869 0.015918 0.857844 0.765388
2458216.486528 0.015964 -0.653279 0.752875
2458216.487186 0.016013 -0.704194 0.746097
2458216.487847 0.016066 1.099248 0.744359
2458216.488597 0.016131 1.710590 0.734105
2458216.489255 0.016192 -0.561334 0.724199
2458216.489914 0.016258 -0.581605 0.721245
2458216.490575 0.016327 -0.225239 0.716031
2458216.491234 0.016400 0.369056 0.713598
2458216.491893 0.016477 0.199581 0.707341
2458216.492641 0.016570 -0.475425 0.710817
2458216.493301 0.016656 0.080475 0.704039
2458216.493960 0.016747 0.287717 0.705082
2458216.494619 0.016842 -0.909744 0.702127
2458216.495279 0.016942 0.862999 0.704039
2458216.495941 0.017047 -0.227120 0.701780
2458216.496600 0.017157 -0.173787 0.702127
2458216.497260 0.017271 0.917034 0.700216
2458216.497919 0.017391 -1.676504 0.701085
2458216.498578 0.017515 0.835394 0.701780
2458216.499345 0.017667 0.528600 0.694480
2458216.500004 0.017803 0.112036 0.689788
2458216.500663 0.017945 0.158545 0.691700
2458216.501324 0.018094 -0.852943 0.694828
2458216.501984 0.018248 -0.397609 0.696218
2458216.502735 0.018431 -0.066339 0.693785
2458216.503390 0.018597 -0.452356 0.694480
2458216.504049 0.018771 1.039915 0.696045
2458216.504708 0.018952 -0.732513 0.696218
2458216.505369 0.019140 -0.120004 0.694133
2458216.506121 0.019363 -0.673677 0.691005
2458216.506784 0.019569 -0.190632 0.697435
2458216.507447 0.019782 0.528796 0.693090
2458216.508201 0.020034 -0.606316 0.690657
