# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 3.593792 3.468858 0.207828
2454964.594064 3.550070 3.510716 0.207828
2454964.634933 3.505932 4.088196 0.207828
2454964.655367 3.483709 3.662209 0.207828
2454964.675802 3.461382 3.362470 0.207828
2454964.696236 3.438954 3.761403 0.207828
2454964.716671 3.416422 3.714603 0.207828
2454964.737105 3.393791 3.448188 0.207828
2454964.757540 3.371057 3.460010 0.207828
2454964.777974 3.348223 3.118034 0.207828
2454964.798409 3.325288 3.113203 0.207828
2454964.818843 3.302255 3.393816 0.207828
2454964.839278 3.279121 3.125467 0.207828
2454964.859712 3.255890 2.979616 0.207828
2454964.880147 3.232559 3.325106 0.207828
2454964.900581 3.209131 3.498478 0.207828
2454964.921016 3.185604 3.349598 0.207828
2454964.941450 3.161981 3.099451 0.207828
2454964.961885 3.138261 3.255367 0.207828
2454964.982319 3.114446 3.337365 0.207828
2454965.002754 3.090533 3.299159 0.207828
2454965.023188 3.066527 3.186709 0.207828
2454965.043623 3.042425 3.322611 0.207828
2454965.064057 3.018229 2.822746 0.207828
2454965.084492 2.993939 2.873399 0.207828
2454965.104926 2.969556 3.057838 0.207828
2454965.125361 2.945080 3.120198 0.207828
2454965.145795 2.920512 3.067625 0.207828
2454965.166230 2.895851 2.805513 0.207828
2454965.186664 2.871099 2.978963 0.207828
2454965.207099 2.846253 3.211129 0.207828
2454965.227533 2.821318 3.142588 0.207828
2454965.247968 2.796291 2.500519 0.207828
2454965.268402 2.771176 2.622374 0.207828
2454965.288837 2.745970 2.655837 0.207828
2454965.309271 2.720678 2.743085 0.207828
2454965.329706 2.695296 2.379533 0.207828
2454965.350140 2.669829 2.862694 0.207828
2454965.370575 2.644273 2.735078 0.207828
2454965.391009 2.618631 2.556258 0.207828
2454965.411444 2.592903 2.572967 0.207828
2454965.431878 2.567091 2.294821 0.207828
2454965.452313 2.541192 2.706805 0.207828
2454965.472747 2.515211 2.658215 0.207828
2454965.493182 2.489144 2.447131 0.207828
2454965.513616 2.462995 2.702553 0.207828
2454965.534051 2.436763 2.396403 0.207828
2454965.554485 2.410449 2.562759 0.207828
2454965.574920 2.384052 2.376612 0.207828
2454965.595354 2.357576 2.093162 0.207828
2454965.615789 2.331017 2.672612 0.207828
2454965.636223 2.304380 2.609652 0.207828
2454965.656658 2.277662 2.163913 0.207828
2454965.677092 2.250866 2.474135 0.207828
2454965.697527 2.223991 2.053850 0.207828
2454965.717961 2.197039 1.846863 0.207828
2454965.738396 2.170008 2.040893 0.207828
2454965.758830 2.142902 1.919796 0.207828
2454965.779265 2.115719 2.022572 0.207828
2454965.799699 2.088461 1.936406 0.207828
2454965.820134 2.061126 2.077143 0.207828
2454965.840568 2.033717 2.002932 0.207828
2454965.861003 2.006232 1.955952 0.207828
2454965.881437 1.978674 1.874885 0.207828
2454965.901872 1.951043 2.226893 0.207828
2454965.922306 1.923340 1.935783 0.207828
2454965.942741 1.895565 1.787953 0.207828
2454965.963175 1.867720 1.945346 0.207828
2454965.983610 1.839803 1.703811 0.207828
2454966.004044 1.811817 1.568495 0.207828
2454966.024479 1.783761 1.738323 0.207828
2454966.044913 1.755638 1.933554 0.207828
2454966.065348 1.727445 1.751651 0.207828
