# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 3.593792 3.533623 0.210224
2454964.573629 3.571983 3.659066 0.210224
2454964.594063 3.550071 4.036153 0.210224
2454964.614497 3.528054 3.143973 0.210224
2454964.634931 3.505934 3.488832 0.210224
2454964.655365 3.483711 3.535724 0.210224
2454964.675799 3.461385 3.416923 0.210224
2454964.696233 3.438957 3.599274 0.210224
2454964.716667 3.416427 3.433523 0.210224
2454964.737101 3.393795 2.926939 0.210224
2454964.757535 3.371062 3.331086 0.210224
2454964.777969 3.348229 3.459523 0.210224
2454964.798403 3.325295 3.044395 0.210224
2454964.818837 3.302262 3.406070 0.210224
2454964.839271 3.279129 3.267231 0.210224
2454964.859705 3.255898 3.650073 0.210224
2454964.880139 3.232568 3.113352 0.210224
2454964.900573 3.209140 2.745364 0.210224
2454964.921007 3.185614 3.347486 0.210224
2454964.941441 3.161992 2.991776 0.210224
2454964.961875 3.138273 3.229553 0.210224
2454964.982309 3.114457 3.018958 0.210224
2454965.002743 3.090546 3.316438 0.210224
2454965.023177 3.066540 2.995995 0.210224
2454965.043611 3.042439 2.852337 0.210224
2454965.064045 3.018244 3.322744 0.210224
2454965.084479 2.993954 3.139786 0.210224
2454965.104913 2.969572 2.707731 0.210224
2454965.125347 2.945096 3.100903 0.210224
2454965.145781 2.920529 3.139442 0.210224
2454965.166215 2.895869 2.805447 0.210224
2454965.186649 2.871118 2.900530 0.210224
2454965.207083 2.846273 2.677311 0.210224
2454965.227517 2.821337 2.612940 0.210224
2454965.247951 2.796312 2.740651 0.210224
2454965.268385 2.771197 3.073172 0.210224
2454965.288819 2.745993 2.853948 0.210224
2454965.309253 2.720700 2.694531 0.210224
2454965.329687 2.695320 3.021949 0.210224
2454965.350121 2.669852 2.781544 0.210224
2454965.370555 2.644298 2.619453 0.210224
2454965.390989 2.618657 2.474832 0.210224
2454965.411423 2.592930 2.442154 0.210224
2454965.431857 2.567117 2.090285 0.210224
2454965.452291 2.541220 1.987950 0.210224
2454965.472725 2.515239 2.460658 0.210224
2454965.493159 2.489173 2.775143 0.210224
2454965.513593 2.463025 2.374343 0.210224
2454965.534027 2.436793 2.335898 0.210224
2454965.554461 2.410480 2.727294 0.210224
2454965.574895 2.384085 2.492000 0.210224
2454965.595329 2.357608 2.071391 0.210224
2454965.615763 2.331051 2.282751 0.210224
2454965.636197 2.304414 2.339034 0.210224
2454965.656631 2.277697 2.045511 0.210224
2454965.677065 2.250902 2.391271 0.210224
2454965.697499 2.224028 2.382208 0.210224
2454965.717933 2.197076 2.407969 0.210224
2454965.738367 2.170047 1.968216 0.210224
2454965.758801 2.142941 2.051481 0.210224
2454965.779235 2.115759 2.068537 0.210224
2454965.799669 2.088501 2.074595 0.210224
2454965.820103 2.061168 2.066486 0.210224
2454965.840537 2.033759 1.852030 0.210224
2454965.860971 2.006275 2.125911 0.210224
2454965.881405 1.978717 1.683705 0.210224
2454965.901839 1.951087 1.789706 0.210224
2454965.922273 1.923385 1.605279 0.210224
2454965.942707 1.895611 1.573819 0.210224
2454965.963141 1.867766 1.568793 0.210224
2454965.983575 1.839851 1.991995 0.210224
2454966.004009 1.811865 1.895961 0.210224
2454966.024443 1.783811 2.015903 0.210224
2454966.044877 1.755687 1.751337 0.210224
2454966.065311 1.727496 1.945086 0.210224
2454966.085745 1.699237 1.584490 0.210224
2454966.106179 1.670911 1.805303 0.210224
2454966.126613 1.642519 1.772362 0.210224
2454966.147047 1.614061 1.649329 0.210224
2454966.167481 1.585537 1.633474 0.210224
2454966.187915 1.556950 1.825941 0.210224
2454966.208349 1.528298 1.814032 0.210224
2454966.228783 1.499583 1.529060 0.210224
2454966.249217 1.470805 1.043072 0.210224
2454966.269651 1.441966 1.363350 0.210224
2454966.290085 1.413064 1.519050 0.210224
2454966.310519 1.384102 1.523573 0.210224
2454966.330953 1.355080 1.392486 0.210224
2454966.351387 1.325997 1.650047 0.210224
2454966.371821 1.296856 1.388454 0.210224
2454966.392255 1.267657 1.608873 0.210224
2454966.412689 1.238399 1.136199 0.210224
2454966.433123 1.209085 1.399704 0.210224
2454966.453557 1.179714 1.070856 0.210224
2454966.473991 1.150286 1.526015 0.210224
2454966.494425 1.120802 1.307069 0.210224
2454966.514859 1.091264 1.145365 0.210224
2454966.535293 1.061671 1.109715 0.210224
2454966.555727 1.032025 0.947905 0.210224
2454966.576161 1.002327 1.210142 0.210224
2454966.596595 0.972576 0.796980 0.210224
2454966.617029 0.942774 0.733850 0.210224
2454966.637463 0.912922 1.186829 0.210224
2454966.657897 0.883019 0.961548 0.210224
2454966.678331 0.853067 1.027387 0.210224
2454966.698765 0.823066 0.956874 0.210224
2454966.719199 0.793017 0.538446 0.210224
2454966.739633 0.762920 0.661156 0.210224
2454966.760067 0.732777 0.581294 0.210224
2454966.780501 0.702587 0.662180 0.210224
2454966.800935 0.672352 0.699048 0.210224
2454966.821369 0.642072 0.769907 0.210224
2454966.841803 0.611748 0.508935 0.210224
2454966.862237 0.581381 0.932787 0.210224
2454966.882671 0.550970 0.606735 0.210224
2454966.903105 0.520517 0.087622 0.210224
2454966.923539 0.490023 0.780530 0.210224
2454966.943973 0.459488 0.668337 0.210224
2454966.964407 0.428913 0.551685 0.210224
2454966.984841 0.398299 0.347977 0.210224
2454967.005275 0.367645 0.643647 0.210224
2454967.025709 0.336954 0.270443 0.210224
2454967.046143 0.306225 0.343273 0.210224
2454967.066577 0.275459 0.076072 0.210224
2454967.087011 0.244657 0.297926 0.210224
2454967.107445 0.213820 0.064123 0.210224
2454967.127879 0.182947 0.432003 0.210224
2454967.148313 0.152040 -0.050492 0.210224
2454967.168747 0.121099 0.086057 0.210224
2454967.189181 0.090126 -0.077678 0.210224
2454967.209615 0.059121 -0.167702 0.210224
2454967.230049 0.028085 -0.151744 0.210224
2454967.250483 -0.002982 0.023664 0.210224
2454967.270917 -0.034078 -0.412532 0.210224
2454967.291351 -0.065204 0.033036 0.210224
2454967.311785 -0.096358 -0.138555 0.210224
2454967.332219 -0.127539 0.143657 0.210224
2454967.352653 -0.158748 -0.703007 0.210224
2454967.373087 -0.189983 -0.304202 0.210224
2454967.393521 -0.221244 -0.138926 0.210224
2454967.413955 -0.252530 -0.313245 0.210224
2454967.434389 -0.283840 -0.479273 0.210224
2454967.454823 -0.315173 -0.246776 0.210224
2454967.475257 -0.346529 -0.405570 0.210224
2454967.495691 -0.377908 -0.612169 0.210224
2454967.516125 -0.409307 -0.512165 0.210224
2454967.536559 -0.440728 -0.511119 0.210224
2454967.556993 -0.472168 -0.066426 0.210224
2454967.577427 -0.503627 -0.886558 0.210224
2454967.597861 -0.535105 -0.649577 0.210224
2454967.618295 -0.566601 -0.486665 0.210224
2454967.638729 -0.598114 -0.333683 0.210224
2454967.659163 -0.629643 -0.248771 0.210224
2454967.679597 -0.661188 -0.922875 0.210224
2454967.700031 -0.692748 -0.589318 0.210224
2454967.720465 -0.724322 -1.055395 0.210224
2454967.740899 -0.755909 -0.855337 0.210224
2454967.761333 -0.787510 -0.778858 0.210224
2454967.781767 -0.819123 -0.802085 0.210224
2454967.802201 -0.850747 -0.837743 0.210224
