# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 3.593792 4.468118 2.785181
2458216.472123 3.505397 0.363330 2.553004
2458216.472781 3.415469 0.581810 2.400400
2458216.473555 3.307593 1.313427 2.216788
2458216.474302 3.201376 4.514966 1.929136
2458216.474960 3.106128 3.575728 1.798385
2458216.475709 2.995839 1.119300 1.664459
2458216.476368 2.897181 3.371739 1.531280
2458216.477029 2.796726 0.242401 1.440875
2458216.477689 2.694969 2.975086 1.347668
2458216.478438 2.577773 2.895876 1.256329
2458216.479099 2.472868 1.691569 1.167605
2458216.479757 2.367096 3.007990 1.117733
2458216.480417 2.259685 3.785367 1.047315
2458216.481168 2.135908 2.025692 1.000431
2458216.481825 2.026315 3.561341 0.950372
2458216.482484 1.915196 -0.710137 0.924035
2458216.483143 1.802918 2.345748 0.895270
2458216.483802 1.689516 2.361251 0.873042
2458216.484461 1.575029 1.570878 0.856045
2458216.485121 1.459326 -0.313142 0.832323
2458216.485869 1.326985 1.296620 0.822610
2458216.486528 1.209368 0.617077 0.809161
2458216.487186 1.091011 1.707441 0.801877
2458216.487847 0.971236 0.345774 0.800009
2458216.488597 0.834323 1.039434 0.788988
2458216.489255 0.713368 0.744462 0.778341
2458216.489914 0.591489 0.288401 0.775166
2458216.490575 0.468537 0.656587 0.769562
2458216.491234 0.345299 -0.331022 0.766947
2458216.491893 0.221453 0.551821 0.760223
2458216.492641 0.080200 1.141433 0.763959
2458216.493301 -0.044986 0.416255 0.756674
2458216.493960 -0.170452 -0.092934 0.757795
2458216.494619 -0.296342 -0.668129 0.754619
2458216.495279 -0.422801 -1.073144 0.756674
2458216.495941 -0.549974 -0.927578 0.754246
2458216.496600 -0.676854 -1.075819 0.754619
2458216.497260 -0.804163 -3.168736 0.752565
2458216.497919 -0.931467 0.089173 0.753499
2458216.498578 -1.058912 -1.462783 0.754246
2458216.499345 -1.207357 0.181634 0.746401
2458216.500004 -1.334942 -0.687692 0.741358
2458216.500663 -1.462515 -1.399687 0.743412
2458216.501324 -1.590415 -2.949733 0.746774
2458216.501984 -1.718012 -2.129144 0.748269
2458216.502735 -1.863007 -3.474271 0.745654
2458216.503390 -1.989242 -1.889578 0.746401
2458216.504049 -2.115986 -1.013155 0.748082
2458216.504708 -2.242418 -0.948815 0.748269
2458216.505369 -2.368872 -2.234458 0.746027
2458216.506121 -2.512230 -1.261866 0.742665
2458216.506784 -2.638118 -3.283751 0.749576
2458216.507447 -2.763483 -3.048531 0.744906
2458216.508201 -2.905357 -1.192072 0.742291
2458216.508865 -3.029624 -2.545668 0.743973
2458216.509527 -3.152836 -3.907442 0.746588
2458216.510190 -3.275501 -4.279518 0.738929
2458216.510853 -3.397385 -3.150922 0.742852
2458216.511511 -3.517528 -3.613014 0.742852
2458216.512265 -3.654134 -3.620237 0.745093
2458216.512932 -3.773969 -4.060730 0.738182
2458216.513596 -3.892274 -3.586910 0.743039
2458216.514260 -4.009537 -3.671403 0.744720
2458216.514920 -4.125011 -3.603683 0.746214
2458216.515584 -4.240051 -4.122289 0.735567
2458216.516241 -4.352710 -4.762536 0.740610
2458216.516901 -4.464666 -5.619124 0.738929
2458216.517563 -4.575689 -4.866349 0.738929
2458216.518227 -4.685718 -3.917316 0.737809
2458216.518888 -4.793882 -5.577991 0.743599
2458216.519551 -4.900953 -4.680132 0.736127
2458216.520304 -5.020770 -4.629198 0.738929
2458216.520966 -5.124489 -4.880026 0.741171
2458216.521627 -5.226492 -6.407173 0.742852
2458216.522291 -5.327344 -5.458020 0.738929
2458216.522953 -5.426237 -5.897871 0.734446
2458216.523614 -5.523287 -5.384838 0.732392
2458216.524275 -5.618601 -6.801235 0.740610
2458216.524939 -5.712555 -5.336908 0.741171
2458216.525604 -5.804806 -6.673921 0.743225
2458216.526266 -5.894758 -6.208127 0.740050
2458216.526932 -5.983322 -6.719597 0.734260
2458216.527597 -6.069777 -5.938088 0.735567
2458216.528258 -6.153716 -6.604526 0.733886
2458216.528911 -6.234644 -6.654458 0.737995
2458216.529574 -6.314747 -5.391973 0.733512
2458216.530233 -6.392265 -6.500822 0.737061
2458216.530897 -6.468212 -5.639450 0.736314
2458216.531676 -6.554506 -6.845876 0.743225
2458216.532339 -6.625501 -6.886630 0.743973
2458216.532999 -6.693911 -6.026701 0.738929
2458216.533662 -6.760324 -6.973588 0.738743
