# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2458216.471464 3.593792 3.309248 0.994174
2458216.472126 3.504992 3.916817 0.994174
2458216.472788 3.414505 5.713245 0.994174
2458216.473450 3.322360 1.505997 0.994174
2458216.474112 3.228584 3.147707 0.994174
2458216.474774 3.133208 3.379181 0.994174
2458216.475436 3.036261 2.825993 0.994174
2458216.476098 2.937774 3.695933 0.994174
2458216.476760 2.837778 2.918630 0.994174
2458216.477422 2.736306 0.528490 0.994174
2458216.478084 2.633391 2.444339 0.994174
2458216.478746 2.529067 3.055388 0.994174
2458216.479408 2.423363 1.094954 0.994174
2458216.480070 2.316316 2.807236 0.994174
2458216.480732 2.207965 2.151697 0.994174
2458216.481394 2.098346 3.962444 0.994174
2458216.482056 1.987496 1.423709 0.994174
2458216.482718 1.875453 -0.317796 0.994174
2458216.483380 1.762255 2.527764 0.994174
2458216.484042 1.647940 0.842969 0.994174
2458216.484704 1.532548 1.964223 0.994174
2458216.485366 1.416120 0.964494 0.994174
2458216.486028 1.298694 2.366963 0.994174
2458216.486690 1.180313 0.846700 0.994174
2458216.487352 1.061013 0.162000 0.994174
2458216.488014 0.940842 2.380859 0.994174
2458216.488676 0.819841 1.509495 0.994174
2458216.489338 0.698055 -0.540218 0.994174
2458216.490000 0.575527 1.312353 0.994174
2458216.490662 0.452300 1.487566 0.994174
2458216.491324 0.328419 -0.099197 0.994174
2458216.491986 0.203929 0.343025 0.994174
2458216.492648 0.078875 -0.720166 0.994174
2458216.493310 -0.046697 -1.032231 0.994174
2458216.493972 -0.172740 -0.435965 0.994174
2458216.494634 -0.299211 1.128865 0.994174
2458216.495296 -0.426061 0.084471 0.994174
2458216.495958 -0.553243 -0.676998 0.994174
2458216.496620 -0.680708 0.863956 0.994174
2458216.497282 -0.808410 -0.280208 0.994174
2458216.497944 -0.936299 -1.053794 0.994174
2458216.498606 -1.064329 -1.744493 0.994174
2458216.499268 -1.192450 -1.905487 0.994174
2458216.499930 -1.320614 -3.575608 0.994174
2458216.500592 -1.448772 -4.065248 0.994174
2458216.501254 -1.576875 -1.834991 0.994174
2458216.501916 -1.704873 -0.352488 0.994174
2458216.502578 -1.832715 -2.252103 0.994174
2458216.503240 -1.960354 -2.437499 0.994174
2458216.503902 -2.087739 -0.589490 0.994174
2458216.504564 -2.214820 -1.704474 0.994174
2458216.505226 -2.341547 -3.695103 0.994174
2458216.505888 -2.467872 -2.696291 0.994174
2458216.506550 -2.593742 -2.430022 0.994174
2458216.507212 -2.719109 -3.817144 0.994174
2458216.507874 -2.843923 -2.180103 0.994174
2458216.508536 -2.968133 -2.220082 0.994174
2458216.509198 -3.091689 -2.094353 0.994174
2458216.509860 -3.214540 -4.169019 0.994174
2458216.510522 -3.336635 -3.769159 0.994174
2458216.511184 -3.457927 -3.681241 0.994174
2458216.511846 -3.578365 -3.644124 0.994174
2458216.512508 -3.697900 -3.672751 0.994174
2458216.513170 -3.816483 -4.675898 0.994174
2458216.513832 -3.934065 -3.368291 0.994174
2458216.514494 -4.050596 -5.445742 0.994174
2458216.515156 -4.166028 -4.929218 0.994174
2458216.515818 -4.280312 -5.784674 0.994174
2458216.516480 -4.393400 -5.915190 0.994174
2458216.517142 -4.505243 -5.919120 0.994174
2458216.517804 -4.615787 -3.896278 0.994174
2458216.518466 -4.724990 -4.327291 0.994174
2458216.519128 -4.832807 -3.735218 0.994174
2458216.519790 -4.939188 -4.959760 0.994174
2458216.520452 -5.044089 -4.015082 0.994174
2458216.521114 -5.147464 -5.690115 0.994174
2458216.521776 -5.249265 -4.613710 0.994174
2458216.522438 -5.349449 -4.735405 0.994174
2458216.523100 -5.447969 -5.281182 0.994174
2458216.523762 -5.544783 -5.318084 0.994174
2458216.524424 -5.639846 -4.367756 0.994174
2458216.525086 -5.733108 -4.381839 0.994174
2458216.525748 -5.824527 -5.685127 0.994174
2458216.526410 -5.914066 -7.936865 0.994174
2458216.527072 -6.001682 -6.373463 0.994174
2458216.527734 -6.087334 -5.586115 0.994174
2458216.528396 -6.170982 -5.511408 0.994174
2458216.529058 -6.252585 -6.075684 0.994174
2458216.529720 -6.332104 -4.799638 0.994174
2458216.530382 -6.409499 -5.976321 0.994174
2458216.531044 -6.484733 -4.871081 0.994174
2458216.531706 -6.557767 -7.041085 0.994174
2458216.532368 -6.628564 -5.727106 0.994174
2458216.533030 -6.697076 -7.211878 0.994174
2458216.533692 -6.763280 -4.986415 0.994174
2458216.534354 -6.827140 -5.946264 0.994174
2458216.535016 -6.888622 -6.632772 0.994174
2458216.535678 -6.947692 -6.720486 0.994174
2458216.536340 -7.004319 -7.402135 0.994174
2458216.537002 -7.058470 -6.075689 0.994174
2458216.537664 -7.110114 -7.940528 0.994174
2458216.538326 -7.159221 -8.147249 0.994174
2458216.538988 -7.205760 -5.910423 0.994174
