# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 -5.194887 -5.153515 0.228395
2454964.594064 -5.229510 -5.461601 0.228395
2454964.634933 -5.263707 -5.133722 0.228395
2454964.655367 -5.280644 -5.623103 0.228395
2454964.675802 -5.297473 -5.374103 0.228395
2454964.696236 -5.314194 -5.371367 0.228395
2454964.716671 -5.330806 -5.037323 0.228395
2454964.737105 -5.347309 -5.334940 0.228395
2454964.757540 -5.363702 -5.507113 0.228395
2454964.777974 -5.379984 -5.414665 0.228395
2454964.798409 -5.396156 -5.524344 0.228395
2454964.818843 -5.412215 -5.196566 0.228395
2454964.839278 -5.428164 -5.605076 0.228395
2454964.859712 -5.443999 -5.097378 0.228395
2454964.880147 -5.459723 -5.589271 0.228395
2454964.900581 -5.475332 -5.323525 0.228395
2454964.921016 -5.490829 -5.487852 0.228395
2454964.941450 -5.506211 -5.226507 0.228395
2454964.961885 -5.521478 -5.333691 0.228395
2454964.982319 -5.536630 -5.315084 0.228395
2454965.002754 -5.551667 -5.642498 0.228395
2454965.023188 -5.566587 -5.632136 0.228395
2454965.043623 -5.581391 -5.466224 0.228395
2454965.064057 -5.596078 -5.570134 0.228395
2454965.084492 -5.610648 -5.882040 0.228395
2454965.104926 -5.625099 -5.325601 0.228395
2454965.125361 -5.639433 -5.335875 0.228395
2454965.145795 -5.653647 -5.815897 0.228395
2454965.166230 -5.667743 -5.936559 0.228395
2454965.186664 -5.681719 -5.502506 0.228395
2454965.207099 -5.695572 -5.786574 0.228395
2454965.227533 -5.709302 -5.771219 0.228395
2454965.247968 -5.722913 -5.520026 0.228395
2454965.268402 -5.736401 -5.648287 0.228395
2454965.288837 -5.749768 -5.742123 0.228395
2454965.309271 -5.763013 -5.473463 0.228395
2454965.329706 -5.776135 -5.943892 0.228395
2454965.350140 -5.789133 -6.201930 0.228395
2454965.370575 -5.802009 -6.091762 0.228395
2454965.391009 -5.814760 -6.148116 0.228395
2454965.411444 -5.827387 -5.838627 0.228395
2454965.431878 -5.839889 -6.087250 0.228395
2454965.452313 -5.852266 -6.259314 0.228395
2454965.472747 -5.864517 -5.558703 0.228395
2454965.493182 -5.876643 -5.566831 0.228395
2454965.513616 -5.888641 -6.221527 0.228395
2454965.534051 -5.900514 -6.345473 0.228395
2454965.554485 -5.912258 -5.969046 0.228395
2454965.574920 -5.923876 -6.084600 0.228395
2454965.595354 -5.935365 -5.955806 0.228395
2454965.615789 -5.946726 -5.303536 0.228395
2454965.636223 -5.957958 -6.338679 0.228395
2454965.656658 -5.969061 -6.133842 0.228395
2454965.677092 -5.980035 -5.876256 0.228395
2454965.697527 -5.990878 -6.050833 0.228395
2454965.717961 -6.001591 -5.854071 0.228395
2454965.738396 -6.012174 -5.586236 0.228395
2454965.758830 -6.022626 -5.817843 0.228395
2454965.779265 -6.032946 -5.861146 0.228395
2454965.799699 -6.043134 -5.805322 0.228395
2454965.820134 -6.053191 -6.101050 0.228395
2454965.840568 -6.063112 -6.373234 0.228395
2454965.861003 -6.072899 -5.845129 0.228395
2454965.881437 -6.082552 -6.105174 0.228395
2454965.901872 -6.092071 -6.185832 0.228395
2454965.922306 -6.101457 -5.824168 0.228395
2454965.942741 -6.110709 -6.422628 0.228395
2454965.963175 -6.119825 -6.011067 0.228395
2454965.983610 -6.128807 -5.823680 0.228395
2454966.004044 -6.137654 -6.178839 0.228395
2454966.024479 -6.146365 -6.149001 0.228395
2454966.044913 -6.154939 -5.944502 0.228395
2454966.065348 -6.163378 -6.135053 0.228395
2454966.085782 -6.171680 -6.402126 0.228395
2454966.106217 -6.179845 -6.400802 0.228395
2454966.126651 -6.187873 -5.913983 0.228395
2454966.147086 -6.195763 -6.296566 0.228395
2454966.167520 -6.203515 -6.087365 0.228395
2454966.187955 -6.211130 -5.878210 0.228395
2454966.208389 -6.218605 -6.265757 0.228395
2454966.228824 -6.225942 -6.594794 0.228395
2454966.249258 -6.233140 -6.509823 0.228395
2454966.269693 -6.240198 -6.098432 0.228395
2454966.290127 -6.247116 -6.393135 0.228395
2454966.310562 -6.253895 -6.403525 0.228395
2454966.330996 -6.260533 -6.314363 0.228395
2454966.351431 -6.267030 -5.716432 0.228395
2454966.371865 -6.273387 -6.165938 0.228395
2454966.392300 -6.279603 -6.205362 0.228395
2454966.412734 -6.285676 -6.236009 0.228395
2454966.433169 -6.291609 -5.989240 0.228395
2454966.453603 -6.297399 -6.220934 0.228395
2454966.474037 -6.303045 -6.141831 0.228395
2454966.494472 -6.308546 -6.382681 0.228395
2454966.514907 -6.313903 -6.156190 0.228395
2454966.535341 -6.319118 -6.646713 0.228395
2454966.555776 -6.324189 -6.353891 0.228395
2454966.576210 -6.329117 -6.402021 0.228395
2454966.596644 -6.333901 -6.132168 0.228395
2454966.617079 -6.338540 -6.473756 0.228395
2454966.637514 -6.343036 -6.148342 0.228395
2454966.657948 -6.347386 -6.394188 0.228395
2454966.678382 -6.351592 -6.729016 0.228395
2454966.698817 -6.355653 -6.036242 0.228395
2454966.719252 -6.359569 -5.974733 0.228395
2454966.739686 -6.363339 -6.409386 0.228395
2454966.760120 -6.366963 -6.483193 0.228395
2454966.780555 -6.370441 -6.501825 0.228395
2454966.800989 -6.373773 -6.287252 0.228395
2454966.821424 -6.376959 -6.453123 0.228395
2454966.841858 -6.379997 -6.490098 0.228395
2454966.862293 -6.382890 -5.714970 0.228395
2454966.882727 -6.385635 -6.581726 0.228395
2454966.903162 -6.388232 -6.067185 0.228395
2454966.923596 -6.390683 -6.196044 0.228395
2454966.944031 -6.392985 -6.053214 0.228395
2454966.964465 -6.395140 -6.304952 0.228395
2454966.984900 -6.397147 -6.727956 0.228395
2454967.005334 -6.399005 -6.488868 0.228395
2454967.025769 -6.400715 -6.547801 0.228395
2454967.046203 -6.402277 -6.060719 0.228395
2454967.066638 -6.403689 -6.265753 0.228395
2454967.087072 -6.404953 -6.015323 0.228395
2454967.107507 -6.406067 -6.577480 0.228395
2454967.127941 -6.407027 -6.390452 0.228395
2454967.148376 -6.407837 -6.703174 0.228395
2454967.168810 -6.408498 -6.028189 0.228395
2454967.189245 -6.409010 -6.456967 0.228395
2454967.209679 -6.409371 -6.642884 0.228395
2454967.230114 -6.409582 -6.831364 0.228395
2454967.270983 -6.409553 -6.240988 0.228395
2454967.291417 -6.409313 -6.526296 0.228395
2454967.311852 -6.408922 -6.740102 0.228395
2454967.332286 -6.408380 -6.319117 0.228395
2454967.352721 -6.407688 -6.244170 0.228395
2454967.373155 -6.406844 -6.192833 0.228395
2454967.414024 -6.404703 -6.542423 0.228395
2454967.434459 -6.403405 -6.201623 0.228395
2454967.454893 -6.401956 -6.239362 0.228395
2454967.475328 -6.400355 -6.390189 0.228395
2454967.495762 -6.398602 -6.344237 0.228395
2454967.516197 -6.396697 -5.889452 0.227737
2454967.536631 -6.394641 -6.354924 0.228395
2454967.557066 -6.392432 -6.270958 0.228395
2454967.577500 -6.390071 -6.882979 0.228395
2454967.597935 -6.387558 -6.533087 0.228395
2454967.618369 -6.384892 -6.327052 0.228395
2454967.638804 -6.382074 -6.498008 0.227737
2454967.659238 -6.379104 -6.435942 0.227737
2454967.679673 -6.375980 -6.331787 0.228395
2454967.700107 -6.372705 -6.407863 0.228395
2454967.720542 -6.369276 -6.324650 0.227737
2454967.740976 -6.365695 -6.471891 0.228395
2454967.761411 -6.361955 -6.338655 0.227737
2454967.781845 -6.358063 -6.503029 0.227737
2454967.802280 -6.354017 -6.161847 0.227737
2454967.822714 -6.349819 -6.216764 0.227737
2454967.843148 -6.345467 -6.700698 0.227737
2454967.863583 -6.340963 -6.047620 0.228395
2454967.884018 -6.336304 -6.579942 0.227737
2454967.904452 -6.331493 -6.220978 0.228395
2454967.924886 -6.326529 -6.341310 0.227737
2454967.945321 -6.321411 -6.537667 0.227737
2454967.965756 -6.316140 -5.998871 0.228395
2454967.986190 -6.310715 -6.512631 0.228395
2454968.006625 -6.305137 -6.357501 0.227737
2454968.027059 -6.299406 -6.184412 0.227737
2454968.047493 -6.293522 -6.364433 0.228395
2454968.067928 -6.287483 -6.331556 0.228395
2454968.088362 -6.281292 -6.411468 0.227737
2454968.108797 -6.274947 -6.438984 0.227737
2454968.129231 -6.268449 -6.344456 0.227737
2454968.149666 -6.261797 -6.134389 0.227737
2454968.170100 -6.254992 -6.102686 0.227737
2454968.190535 -6.248033 -5.788980 0.227737
2454968.210969 -6.240921 -6.170253 0.228395
2454968.231404 -6.233656 -6.083765 0.227737
2454968.251838 -6.226237 -5.820167 0.227737
2454968.272273 -6.218665 -6.065892 0.227737
2454968.292707 -6.210940 -6.536152 0.227737
2454968.313142 -6.203061 -6.408687 0.227737
2454968.333576 -6.195030 -6.132972 0.227737
2454968.354011 -6.186845 -6.181513 0.227737
2454968.374445 -6.178507 -6.246800 0.227737
2454968.394880 -6.170012 -6.154524 0.227737
2454968.415314 -6.161362 -5.913081 0.227737
2454968.435749 -6.152560 -6.229819 0.227737
2454968.456183 -6.143605 -6.335820 0.227737
2454968.476618 -6.134496 -5.782575 0.227737
2454968.497052 -6.125235 -5.813206 0.227737
2454968.517487 -6.115821 -5.864589 0.227737
2454968.537921 -6.106255 -6.471524 0.227737
2454968.558356 -6.096536 -6.131862 0.227737
2454968.578790 -6.086665 -5.738245 0.227737
2454968.599225 -6.076640 -6.503743 0.227737
2454968.619659 -6.066464 -6.070823 0.227737
2454968.640094 -6.056136 -5.907526 0.227737
2454968.660528 -6.045655 -6.010740 0.227737
2454968.680963 -6.035022 -6.293253 0.227737
2454968.701397 -6.024238 -6.050183 0.227737
2454968.721831 -6.013302 -6.096411 0.227737
2454968.742266 -6.002213 -5.919986 0.227737
2454968.762700 -5.990974 -6.118898 0.227737
2454968.783135 -5.979582 -6.042965 0.227737
2454968.803570 -5.968039 -5.933309 0.227737
2454968.824004 -5.956345 -5.906363 0.227737
2454968.844438 -5.944500 -5.906912 0.227737
2454968.864873 -5.932504 -5.679041 0.227737
2454968.885307 -5.920357 -6.347671 0.227737
2454968.905742 -5.908059 -5.664071 0.227737
2454968.926176 -5.895611 -5.712637 0.227737
2454968.946611 -5.883012 -5.360699 0.227737
2454968.967045 -5.870263 -5.538575 0.227737
2454968.987480 -5.857364 -6.077672 0.227737
2454969.007914 -5.844315 -5.440863 0.227737
2454969.028349 -5.831113 -5.530552 0.227737
2454969.048783 -5.817759 -5.740420 0.227737
2454969.069218 -5.804256 -5.888315 0.227737
2454969.089652 -5.790603 -5.481656 0.227737
2454969.110087 -5.776801 -6.101750 0.227737
