# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 -5.194887 -5.128594 0.231028
2454964.573629 -5.212251 -5.164656 0.231028
2454964.594063 -5.229509 -5.026130 0.231028
2454964.614497 -5.246660 -5.342793 0.231028
2454964.634931 -5.263705 -4.917064 0.231028
2454964.655365 -5.280642 -5.885713 0.231028
2454964.675799 -5.297471 -5.071080 0.231028
2454964.696233 -5.314192 -5.093768 0.231028
2454964.716667 -5.330803 -4.950038 0.231028
2454964.737101 -5.347306 -5.554586 0.231028
2454964.757535 -5.363698 -5.273160 0.231028
2454964.777969 -5.379980 -5.609453 0.231028
2454964.798403 -5.396151 -5.535650 0.231028
2454964.818837 -5.412211 -5.782247 0.231028
2454964.839271 -5.428158 -5.486908 0.231028
2454964.859705 -5.443994 -5.539151 0.231028
2454964.880139 -5.459717 -5.237111 0.231028
2454964.900573 -5.475326 -5.299888 0.231028
2454964.921007 -5.490822 -5.463530 0.231028
2454964.941441 -5.506204 -5.446403 0.231028
2454964.961875 -5.521471 -4.966771 0.231028
2454964.982309 -5.536623 -5.821107 0.231028
2454965.002743 -5.551659 -5.741734 0.231028
2454965.023177 -5.566579 -5.441391 0.231028
2454965.043611 -5.581383 -5.520625 0.231028
2454965.064045 -5.596069 -5.708041 0.231028
2454965.084479 -5.610639 -5.721307 0.231028
2454965.104913 -5.625090 -5.668272 0.231028
2454965.125347 -5.639423 -5.400428 0.231028
2454965.145781 -5.653638 -5.754336 0.231028
2454965.166215 -5.667733 -5.855589 0.231028
2454965.186649 -5.681709 -5.481925 0.231028
2454965.207083 -5.695561 -5.421301 0.231028
2454965.227517 -5.709292 -5.977055 0.231028
2454965.247951 -5.722901 -5.948332 0.231028
2454965.268385 -5.736390 -5.682729 0.231028
2454965.288819 -5.749757 -6.267220 0.231028
2454965.309253 -5.763001 -5.790495 0.231028
2454965.329687 -5.776123 -6.185419 0.231028
2454965.350121 -5.789121 -5.503074 0.231028
2454965.370555 -5.801996 -5.588455 0.231028
2454965.390989 -5.814747 -5.731416 0.231028
2454965.411423 -5.827374 -5.856228 0.231028
2454965.431857 -5.839876 -5.925861 0.231028
2454965.452291 -5.852253 -5.775227 0.231028
2454965.472725 -5.864504 -6.267810 0.231028
2454965.493159 -5.876629 -5.942658 0.231028
2454965.513593 -5.888628 -5.984276 0.231028
2454965.534027 -5.900500 -5.854015 0.231028
2454965.554461 -5.912244 -5.876728 0.231028
2454965.574895 -5.923862 -5.823969 0.231028
2454965.595329 -5.935351 -5.960269 0.231028
2454965.615763 -5.946712 -5.404843 0.231028
2454965.636197 -5.957944 -5.974544 0.231028
2454965.656631 -5.969047 -5.797472 0.231028
2454965.677065 -5.980020 -6.153412 0.231028
2454965.697499 -5.990864 -6.268166 0.231028
2454965.717933 -6.001577 -5.944036 0.231028
2454965.738367 -6.012160 -5.615333 0.231028
2454965.758801 -6.022611 -6.019747 0.231028
2454965.779235 -6.032931 -6.374920 0.231028
2454965.799669 -6.043120 -6.034345 0.231028
2454965.820103 -6.053176 -6.000237 0.231028
2454965.840537 -6.063097 -6.239410 0.231028
2454965.860971 -6.072883 -6.135147 0.231028
2454965.881405 -6.082537 -6.298156 0.231028
2454965.901839 -6.092056 -5.924859 0.231028
2454965.922273 -6.101442 -5.768501 0.231028
2454965.942707 -6.110693 -5.688168 0.231028
2454965.963141 -6.119810 -6.094087 0.231028
2454965.983575 -6.128792 -6.262745 0.231028
2454966.004009 -6.137638 -6.140712 0.231028
2454966.024443 -6.146349 -6.417565 0.231028
2454966.044877 -6.154924 -6.395948 0.231028
2454966.065311 -6.163363 -6.185077 0.231028
2454966.085745 -6.171665 -6.435537 0.231028
2454966.106179 -6.179830 -6.514637 0.231028
2454966.126613 -6.187858 -6.117427 0.231028
2454966.147047 -6.195748 -6.437360 0.231028
2454966.167481 -6.203501 -6.353025 0.231028
2454966.187915 -6.211115 -6.128263 0.231028
2454966.208349 -6.218591 -6.160371 0.231028
2454966.228783 -6.225928 -6.573838 0.231028
2454966.249217 -6.233125 -6.302975 0.231028
2454966.269651 -6.240184 -5.949932 0.231028
2454966.290085 -6.247102 -6.290719 0.231028
2454966.310519 -6.253881 -6.286304 0.231028
2454966.330953 -6.260519 -6.664779 0.231028
2454966.351387 -6.267017 -6.325658 0.231028
2454966.371821 -6.273374 -6.217260 0.231028
2454966.392255 -6.279589 -6.067056 0.231028
2454966.412689 -6.285663 -6.678643 0.231028
2454966.433123 -6.291596 -6.270215 0.231028
2454966.453557 -6.297386 -6.478857 0.231028
2454966.473991 -6.303032 -6.310885 0.231028
2454966.494425 -6.308533 -6.191545 0.231028
2454966.514859 -6.313891 -6.187325 0.231028
2454966.535293 -6.319106 -6.352181 0.231028
2454966.555727 -6.324177 -6.635668 0.231028
2454966.576161 -6.329105 -5.850630 0.231028
2454966.596595 -6.333889 -6.406188 0.231028
2454966.617029 -6.338529 -6.439348 0.231028
2454966.637463 -6.343025 -6.310846 0.231028
2454966.657897 -6.347376 -6.438717 0.231028
2454966.678331 -6.351582 -6.576829 0.231028
2454966.698765 -6.355643 -6.242873 0.231028
2454966.719199 -6.359559 -6.345204 0.231028
2454966.739633 -6.363329 -6.162921 0.231028
2454966.760067 -6.366953 -6.692671 0.231028
2454966.780501 -6.370432 -6.894259 0.231028
2454966.800935 -6.373764 -6.575106 0.231028
2454966.821369 -6.376950 -6.118891 0.231028
2454966.841803 -6.379989 -6.734998 0.231028
2454966.862237 -6.382882 -6.169596 0.231028
2454966.882671 -6.385627 -6.619698 0.231028
2454966.903105 -6.388225 -6.456033 0.231028
2454966.923539 -6.390676 -6.098125 0.231028
2454966.943973 -6.392979 -6.335215 0.231028
2454966.964407 -6.395134 -6.007442 0.231028
2454966.984841 -6.397141 -6.132632 0.231028
2454967.005275 -6.399000 -6.013838 0.231028
2454967.025709 -6.400711 -6.172813 0.231028
2454967.046143 -6.402272 -6.207108 0.231028
2454967.066577 -6.403685 -6.655680 0.231028
2454967.087011 -6.404950 -6.479801 0.231028
2454967.107445 -6.406063 -6.562650 0.231028
2454967.127879 -6.407024 -6.678580 0.231028
2454967.148313 -6.407835 -6.630751 0.231028
2454967.168747 -6.408496 -6.652948 0.231028
2454967.189181 -6.409008 -6.761055 0.231028
2454967.209615 -6.409370 -6.255236 0.231028
2454967.230049 -6.409581 -6.244957 0.231028
2454967.250483 -6.409642 -6.563064 0.231028
2454967.270917 -6.409553 -6.705653 0.231028
2454967.291351 -6.409314 -6.628218 0.231028
2454967.311785 -6.408923 -6.208784 0.231028
2454967.332219 -6.408382 -6.215721 0.231028
2454967.352653 -6.407690 -6.716583 0.231028
2454967.373087 -6.406847 -6.351696 0.231028
2454967.393521 -6.405853 -6.324529 0.231028
2454967.413955 -6.404707 -6.472277 0.231028
2454967.434389 -6.403410 -6.124261 0.231028
2454967.454823 -6.401961 -6.177722 0.231028
2454967.475257 -6.400361 -6.436650 0.231028
2454967.495691 -6.398608 -6.172645 0.231028
2454967.516125 -6.396704 -7.089369 0.231028
2454967.536559 -6.394648 -6.308491 0.231028
2454967.556993 -6.392440 -6.696242 0.231028
2454967.577427 -6.390080 -6.533056 0.231028
2454967.597861 -6.387567 -6.239677 0.231028
2454967.618295 -6.384902 -6.394792 0.231028
2454967.638729 -6.382085 -6.556899 0.231028
2454967.659163 -6.379115 -6.846375 0.231028
2454967.679597 -6.375993 -6.622056 0.231028
2454967.700031 -6.372717 -6.664198 0.231028
2454967.720465 -6.369289 -6.648293 0.231028
2454967.740899 -6.365709 -6.716238 0.231028
2454967.761333 -6.361970 -6.318174 0.231028
2454967.781767 -6.358078 -6.205220 0.231028
2454967.802201 -6.354033 -6.124877 0.231028
