# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 -5.194887 -4.485906 1.092761
2458216.472126 -5.264430 -2.437075 1.092761
2458216.472788 -5.332216 -5.301448 1.092761
2458216.473450 -5.398212 -7.473489 1.092761
2458216.474112 -5.462386 -6.393511 1.092761
2458216.474774 -5.524706 -7.240058 1.092761
2458216.475436 -5.585142 -6.366981 1.092761
2458216.476098 -5.643664 -3.861038 1.092761
2458216.476760 -5.700242 -5.728324 1.092761
2458216.477422 -5.754846 -5.488628 1.092761
2458216.478084 -5.807449 -6.160491 1.092761
2458216.478746 -5.858022 -6.467918 1.092761
2458216.479408 -5.906533 -5.105910 1.092761
2458216.480070 -5.952954 -5.636417 1.092761
2458216.480732 -5.997266 -7.655305 1.092761
2458216.481394 -6.039445 -5.390529 1.092761
2458216.482056 -6.079464 -6.545376 1.092761
2458216.482718 -6.117302 -5.456123 1.092761
2458216.483380 -6.152934 -5.749242 1.092761
2458216.484042 -6.186339 -5.763558 1.092761
2458216.484704 -6.217496 -4.384114 1.092761
2458216.485366 -6.246383 -6.941122 1.092761
2458216.486028 -6.272981 -6.513126 1.092761
2458216.486690 -6.297271 -5.339926 1.092761
2458216.487352 -6.319221 -7.226082 1.092761
2458216.488014 -6.338828 -3.987794 1.092761
2458216.488676 -6.356074 -7.740810 1.092761
2458216.489338 -6.370943 -6.242550 1.092761
2458216.490000 -6.383421 -6.328017 1.092761
2458216.490662 -6.393494 -6.616235 1.092761
2458216.491324 -6.401148 -7.320092 1.092761
2458216.491986 -6.406372 -6.443464 1.092761
2458216.492648 -6.409153 -6.133118 1.092761
2458216.493310 -6.409481 -6.569039 1.092761
2458216.493972 -6.407347 -5.193935 1.092761
2458216.494634 -6.402734 -9.324282 1.092761
2458216.495296 -6.395635 -5.621126 1.092761
2458216.495958 -6.386050 -6.699715 1.092761
2458216.496620 -6.373973 -5.661521 1.092761
2458216.497282 -6.359399 -7.115536 1.092761
2458216.497944 -6.342323 -6.120797 1.092761
2458216.498606 -6.322742 -5.663285 1.092761
2458216.499268 -6.300654 -4.396188 1.092761
2458216.499930 -6.276058 -5.541974 1.092761
2458216.500592 -6.248954 -5.414975 1.092761
2458216.501254 -6.219341 -6.819440 1.092761
2458216.501916 -6.187221 -4.969863 1.092761
2458216.502578 -6.152584 -6.264100 1.092761
2458216.503240 -6.115446 -5.970761 1.092761
2458216.503902 -6.075812 -3.536814 1.092761
2458216.504564 -6.033687 -5.650402 1.092761
2458216.505226 -5.989078 -7.187009 1.092761
2458216.505888 -5.941992 -5.515315 1.092761
2458216.506550 -5.892437 -5.528683 1.092761
2458216.507212 -5.840423 -5.329714 1.092761
2458216.507874 -5.785960 -5.200773 1.092761
2458216.508536 -5.729060 -6.633527 1.092761
2458216.509198 -5.669733 -4.518206 1.092761
2458216.509860 -5.607988 -5.359037 1.092761
2458216.510522 -5.543837 -4.762143 1.092761
2458216.511184 -5.477304 -6.429394 1.092761
2458216.511846 -5.408404 -5.287786 1.092761
2458216.512508 -5.337155 -5.633707 1.092761
2458216.513170 -5.263574 -5.914624 1.092761
2458216.513832 -5.187680 -3.059538 1.092761
2458216.514494 -5.109494 -5.376128 1.092761
2458216.515156 -5.029036 -6.419806 1.092761
2458216.515818 -4.946328 -5.007542 1.092761
2458216.516480 -4.861393 -3.987343 1.092761
2458216.517142 -4.774254 -4.255223 1.092761
2458216.517804 -4.684924 -4.277389 1.092761
2458216.518466 -4.593442 -4.798054 1.092761
2458216.519128 -4.499834 -5.674567 1.092761
2458216.519790 -4.404127 -3.488655 1.092761
2458216.520452 -4.306349 -4.971871 1.092761
2458216.521114 -4.206530 -6.261322 1.092761
2458216.521776 -4.104700 -4.466782 1.092761
2458216.522438 -4.000889 -4.042336 1.092761
2458216.523100 -3.895130 -1.161764 1.092761
2458216.523762 -3.787456 -2.979479 1.092761
2458216.524424 -3.677900 -2.829621 1.092761
2458216.525086 -3.566490 -3.461689 1.092761
2458216.525748 -3.453264 -2.630306 1.092761
2458216.526410 -3.338262 -4.435836 1.092761
2458216.527072 -3.221521 -2.004854 1.092761
2458216.527734 -3.103079 -1.740515 1.092761
2458216.528396 -2.982973 -1.349131 1.092761
2458216.529058 -2.861245 -4.091483 1.092761
2458216.529720 -2.737932 -4.142902 1.092761
2458216.530382 -2.613077 -3.048150 1.092761
2458216.531044 -2.486721 -2.234272 1.092761
2458216.531706 -2.358905 -3.695113 1.092761
2458216.532368 -2.229673 -1.846241 1.092761
2458216.533030 -2.099061 -2.732055 1.092761
2458216.533692 -1.967121 -1.745591 1.092761
2458216.534354 -1.833898 -1.678335 1.092761
2458216.535016 -1.699437 -2.461477 1.092761
2458216.535678 -1.563785 -2.055257 1.092761
2458216.536340 -1.426989 -0.005767 1.092761
2458216.537002 -1.289096 -1.223443 1.092761
2458216.537664 -1.150153 0.931692 1.092761
2458216.538326 -1.010209 -2.198976 1.092761
2458216.538988 -0.869314 -2.517975 1.092761
2458216.539650 -0.727517 -0.733398 1.092761
2458216.540312 -0.584864 -1.193659 1.092761
2458216.540974 -0.441408 -1.270487 1.092761
2458216.541636 -0.297202 0.254582 1.092761
2458216.542298 -0.152297 0.263337 1.092761
2458216.542960 -0.006744 0.258736 1.092761
2458216.543622 0.139404 0.167350 1.092761
2458216.544284 0.286095 1.083309 1.092761
2458216.544946 0.433276 -0.716910 1.092761
2458216.545608 0.580895 0.545812 1.092761
2458216.546270 0.728897 0.375599 1.092761
2458216.546932 0.877230 1.109388 1.092761
2458216.547594 1.025841 0.197913 1.092761
2458216.548256 1.174675 4.061868 1.092761
2458216.548918 1.323678 1.257758 1.092761
2458216.549580 1.472796 3.274235 1.092761
2458216.550242 1.621975 1.535228 1.092761
2458216.550904 1.771160 -0.902219 1.092761
2458216.551566 1.920298 4.049542 1.092761
2458216.552228 2.069336 1.768411 1.092761
2458216.552890 2.218218 2.858595 1.092761
2458216.553552 2.366893 3.455145 1.092761
2458216.554214 2.515306 1.408351 1.092761
2458216.554876 2.663405 2.501467 1.092761
2458216.555538 2.811136 4.053953 1.092761
2458216.556200 2.958448 3.337613 1.092761
2458216.556862 3.105289 4.599233 1.092761
2458216.557524 3.251610 4.606724 1.092761
2458216.558186 3.397360 2.557442 1.092761
2458216.558848 3.542491 4.447270 1.092761
2458216.559510 3.686955 3.127335 1.092761
2458216.560172 3.830705 3.564650 1.092761
2458216.560834 3.973696 3.763341 1.092761
