# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 -1.623557 -1.566876 0.141571
2454964.594064 -1.701800 -1.700962 0.141571
2454964.634933 -1.780036 -1.940109 0.141571
2454964.655367 -1.819147 -1.871370 0.141571
2454964.675802 -1.858256 -1.853328 0.141571
2454964.696236 -1.897357 -1.733433 0.141571
2454964.716671 -1.936454 -1.494891 0.141571
2454964.737105 -1.975541 -2.120198 0.141571
2454964.757540 -2.014622 -1.816020 0.141571
2454964.777974 -2.053692 -2.233118 0.141571
2454964.798409 -2.092754 -2.306628 0.141571
2454964.818843 -2.131802 -1.978971 0.141571
2454964.839278 -2.170840 -2.563762 0.141571
2454964.859712 -2.209864 -2.289716 0.141571
2454964.880147 -2.248875 -2.170061 0.141571
2454964.900581 -2.287870 -2.451813 0.141571
2454964.921016 -2.326851 -2.128046 0.141571
2454964.941450 -2.365813 -2.271567 0.141571
2454964.961885 -2.404760 -2.135779 0.141571
2454964.982319 -2.443686 -2.494648 0.141571
2454965.002754 -2.482595 -2.316024 0.141571
2454965.023188 -2.521481 -2.746831 0.141571
2454965.043623 -2.560348 -2.429247 0.141571
2454965.064057 -2.599191 -2.837277 0.141571
2454965.084492 -2.638013 -2.598430 0.141571
2454965.104926 -2.676809 -2.749364 0.141571
2454965.125361 -2.715581 -2.778268 0.141571
2454965.145795 -2.754326 -2.683072 0.141571
2454965.166230 -2.793046 -2.941748 0.141571
2454965.186664 -2.831736 -2.809728 0.141571
2454965.207099 -2.870399 -2.798792 0.141571
2454965.227533 -2.909030 -3.075627 0.141571
2454965.247968 -2.947632 -2.858145 0.141571
2454965.268402 -2.986200 -2.970702 0.141571
2454965.288837 -3.024738 -3.089984 0.141571
2454965.309271 -3.063240 -3.130100 0.141571
2454965.329706 -3.101711 -3.202737 0.141571
2454965.350140 -3.140143 -2.970454 0.141571
2454965.370575 -3.178542 -3.202549 0.141571
2454965.391009 -3.216901 -3.153277 0.141571
2454965.411444 -3.255225 -3.511915 0.141571
2454965.431878 -3.293507 -3.172023 0.141571
2454965.452313 -3.331751 -3.394038 0.141571
2454965.472747 -3.369953 -3.492612 0.141571
2454965.493182 -3.408115 -3.298594 0.141571
2454965.513616 -3.446232 -3.410824 0.141571
2454965.534051 -3.484307 -3.372039 0.141571
2454965.554485 -3.522335 -3.423264 0.141571
2454965.574920 -3.560320 -3.330718 0.141571
2454965.595354 -3.598257 -3.573632 0.141571
2454965.615789 -3.636148 -3.584288 0.141571
2454965.636223 -3.673989 -3.861226 0.141571
2454965.656658 -3.711783 -3.785808 0.141571
2454965.677092 -3.749524 -3.662661 0.141571
2454965.697527 -3.787216 -3.795890 0.141571
2454965.717961 -3.824855 -3.979450 0.141571
2454965.738396 -3.862442 -3.914612 0.141571
2454965.758830 -3.899973 -3.939412 0.141571
2454965.779265 -3.937452 -3.846018 0.141571
2454965.799699 -3.974873 -3.838134 0.141571
2454965.820134 -4.012239 -4.066148 0.141571
2454965.840568 -4.049544 -4.151708 0.141571
2454965.861003 -4.086792 -4.306000 0.141571
2454965.881437 -4.123978 -3.945301 0.141571
2454965.901872 -4.161106 -4.254770 0.141571
2454965.922306 -4.198170 -4.133514 0.141571
2454965.942741 -4.235174 -4.193944 0.141571
2454965.963175 -4.272113 -4.178807 0.141571
2454965.983610 -4.308990 -4.426771 0.141571
2454966.004044 -4.345800 -4.343616 0.141571
2454966.024479 -4.382545 -4.289341 0.141571
