# t[BJD] flux_norm_perf-1 flux_norm_noise-1 flux_norm_err
2458216.471464 -1.623557 -1.594046 0.677467
2458216.472126 -1.781698 -1.528777 0.677467
2458216.472788 -1.939777 -0.953223 0.677467
2458216.473450 -2.097733 -1.852031 0.677467
2458216.474112 -2.255505 -1.957924 0.677467
2458216.474774 -2.413032 -1.670529 0.677467
2458216.475436 -2.570253 -1.836418 0.677467
2458216.476098 -2.727107 -2.462692 0.677467
2458216.476760 -2.883532 -3.052707 0.677467
2458216.477422 -3.039467 -2.472801 0.677467
2458216.478084 -3.194849 -3.759541 0.677467
2458216.478746 -3.349618 -3.508136 0.677467
2458216.479408 -3.503710 -4.682319 0.677467
2458216.480070 -3.657062 -2.549061 0.677467
2458216.480732 -3.809614 -4.195219 0.677467
2458216.481394 -3.961307 -3.937873 0.677467
2458216.482056 -4.112077 -3.991980 0.677467
2458216.482718 -4.261863 -5.380424 0.677467
2458216.483380 -4.410605 -4.816283 0.677467
2458216.484042 -4.558241 -2.849432 0.677467
2458216.484704 -4.704711 -3.512301 0.677467
2458216.485366 -4.849954 -4.900484 0.677467
2458216.486028 -4.993910 -5.420559 0.677467
2458216.486690 -5.136517 -4.623182 0.677467
2458216.487352 -5.277709 -5.494956 0.677467
2458216.488014 -5.417434 -4.451539 0.677467
2458216.488676 -5.555631 -5.869929 0.677467
2458216.489338 -5.692243 -5.903718 0.677467
2458216.490000 -5.827210 -5.592376 0.677467
2458216.490662 -5.960475 -5.447436 0.677467
2458216.491324 -6.091980 -5.552398 0.677467
2458216.491986 -6.221668 -7.117126 0.677467
2458216.492648 -6.349482 -5.872879 0.677467
2458216.493310 -6.475366 -7.352232 0.677467
2458216.493972 -6.599264 -6.315999 0.677467
2458216.494634 -6.721115 -6.365726 0.677467
2458216.495296 -6.840863 -6.546076 0.677467
2458216.495958 -6.958461 -8.506406 0.677467
2458216.496620 -7.073856 -7.711059 0.677467
2458216.497282 -7.186994 -7.257533 0.677467
2458216.497944 -7.297823 -6.875016 0.677467
2458216.498606 -7.406292 -6.504351 0.677467
2458216.499268 -7.512351 -7.666184 0.677467
2458216.499930 -7.615948 -6.774121 0.677467
2458216.500592 -7.717035 -8.713484 0.677467
2458216.501254 -7.815564 -6.812470 0.677467
2458216.501916 -7.911486 -7.499516 0.677467
2458216.502578 -8.004740 -6.830164 0.677467
2458216.503240 -8.095294 -8.175216 0.677467
2458216.503902 -8.183103 -8.062085 0.677467
2458216.504564 -8.268123 -8.700162 0.677467
2458216.505226 -8.350310 -7.723334 0.677467
2458216.505888 -8.429622 -9.291334 0.677467
2458216.506550 -8.506017 -8.489624 0.677467
2458216.507212 -8.579455 -8.858671 0.677467
2458216.507874 -8.649895 -8.265834 0.677467
2458216.508536 -8.717300 -8.396357 0.677467
2458216.509198 -8.781632 -8.943125 0.677467
2458216.509860 -8.842844 -9.105581 0.677467
2458216.510522 -8.900902 -10.239696 0.677467
2458216.511184 -8.955779 -8.870179 0.677467
2458216.511846 -9.007443 -8.388139 0.677467
2458216.512508 -9.055861 -10.496056 0.677467
2458216.513170 -9.101001 -9.992666 0.677467
2458216.513832 -9.142834 -7.949071 0.677467
2458216.514494 -9.181331 -9.855142 0.677467
2458216.515156 -9.216465 -9.447450 0.677467
2458216.515818 -9.248207 -10.415475 0.677467
2458216.516480 -9.276534 -10.630317 0.677467
2458216.517142 -9.301421 -9.833127 0.677467
2458216.517804 -9.322825 -8.439182 0.677467
2458216.518466 -9.340745 -10.398143 0.677467
2458216.519128 -9.355160 -8.712991 0.677467
2458216.519790 -9.366051 -9.385919 0.677467
2458216.520452 -9.373399 -10.301152 0.677467
2458216.521114 -9.377189 -9.850066 0.677467
2458216.521776 -9.377405 -8.523275 0.677467
2458216.522438 -9.374034 -10.350260 0.677467
2458216.523100 -9.367062 -9.449508 0.677467
2458216.523762 -9.356478 -9.265136 0.677467
2458216.524424 -9.342272 -9.165596 0.677467
2458216.525086 -9.324425 -8.431114 0.677467
2458216.525748 -9.302931 -8.998225 0.677467
2458216.526410 -9.277794 -9.629236 0.677467
2458216.527072 -9.249008 -8.020891 0.677467
2458216.527734 -9.216572 -8.321577 0.677467
2458216.528396 -9.180483 -9.679941 0.677467
2458216.529058 -9.140742 -9.807788 0.677467
2458216.529720 -9.097348 -9.004006 0.677467
2458216.530382 -9.050306 -9.204407 0.677467
2458216.531044 -8.999618 -10.263139 0.677467
2458216.531706 -8.945290 -9.598027 0.677467
2458216.532368 -8.887328 -8.158210 0.677467
2458216.533030 -8.825722 -9.367545 0.677467
2458216.533692 -8.760500 -9.775913 0.677467
2458216.534354 -8.691675 -6.977718 0.677467
2458216.535016 -8.619258 -9.827132 0.677467
2458216.535678 -8.543264 -9.740269 0.677467
2458216.536340 -8.463707 -8.533081 0.677467
2458216.537002 -8.380606 -8.069878 0.677467
2458216.537664 -8.293978 -8.898327 0.677467
2458216.538326 -8.203843 -8.543508 0.677467
2458216.538988 -8.110222 -8.373660 0.677467
