# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 -13.436019 -13.614145 0.296313
2454964.594064 -13.464379 -13.520488 0.296313
2454964.634933 -13.492738 -12.662570 0.296313
2454964.655367 -13.506917 -13.252419 0.296313
2454964.675802 -13.521097 -13.662121 0.296313
2454964.696236 -13.535277 -13.075542 0.296313
2454964.716671 -13.549457 -13.124323 0.296313
2454964.737105 -13.562822 -13.485264 0.296313
2454964.757540 -13.574622 -13.447796 0.296313
2454964.777974 -13.586422 -13.914616 0.296313
2454964.798409 -13.598222 -13.900605 0.296313
2454964.818843 -13.610022 -13.479478 0.296313
2454964.839278 -13.621822 -13.840896 0.296313
2454964.859712 -13.633622 -14.027521 0.296313
2454964.880147 -13.645422 -13.513471 0.296313
2454964.900581 -13.657222 -13.244683 0.296313
2454964.921016 -13.667304 -13.433488 0.296313
2454964.941450 -13.676592 -13.765745 0.296313
2454964.961885 -13.685881 -13.518915 0.296313
2454964.982319 -13.695169 -13.377339 0.296313
2454965.002754 -13.704457 -13.407008 0.296313
2454965.023188 -13.713745 -13.542395 0.296313
2454965.043623 -13.723034 -13.323557 0.296313
2454965.064057 -13.732322 -14.011034 0.296313
2454965.084492 -13.741542 -13.913403 0.296313
2454965.104926 -13.748203 -13.622336 0.296313
2454965.125361 -13.754865 -13.505189 0.296313
2454965.145795 -13.761526 -13.551778 0.296313
2454965.166230 -13.768187 -13.896986 0.296313
2454965.186664 -13.774848 -13.621061 0.296313
2454965.207099 -13.781510 -13.261286 0.296313
2454965.227533 -13.788171 -13.330117 0.296313
2454965.247968 -13.794832 -14.216532 0.296313
2454965.268402 -13.800491 -14.012646 0.296313
2454965.288837 -13.804428 -13.932936 0.296313
2454965.309271 -13.808366 -13.776419 0.296313
2454965.329706 -13.812303 -14.262504 0.296313
2454965.350140 -13.816240 -13.541261 0.296313
2454965.370575 -13.820177 -13.690711 0.296313
2454965.391009 -13.824115 -13.913044 0.296313
2454965.411444 -13.828052 -13.856476 0.296313
2454965.431878 -13.831989 -14.220180 0.296313
2454965.452313 -13.833938 -13.597815 0.296313
2454965.472747 -13.835075 -13.631186 0.296313
2454965.493182 -13.836213 -13.896113 0.296313
2454965.513616 -13.837350 -13.495798 0.296313
2454965.534051 -13.838487 -13.896030 0.296313
2454965.554485 -13.839624 -13.622467 0.296313
2454965.574920 -13.840761 -13.851369 0.296313
2454965.595354 -13.841899 -14.218888 0.296313
2454965.615789 -13.842887 -13.355856 0.296313
2454965.636223 -13.841171 -13.405928 0.296313
2454965.656658 -13.839455 -14.001634 0.296313
2454965.677092 -13.837738 -13.519411 0.296313
2454965.697527 -13.836022 -14.078601 0.296313
2454965.717961 -13.834305 -14.333572 0.296313
2454965.738396 -13.832589 -14.016676 0.296313
2454965.758830 -13.830872 -14.148969 0.296313
2454965.779265 -13.829156 -13.961960 0.296313
2454965.799699 -13.826304 -14.043097 0.296313
2454965.820134 -13.821704 -13.798868 0.296313
2454965.840568 -13.817104 -13.860997 0.296313
2454965.861003 -13.812504 -13.884192 0.296313
2454965.881437 -13.807905 -13.955883 0.296313
2454965.901872 -13.803305 -13.410010 0.296313
2454965.922306 -13.798706 -13.780965 0.296313
2454965.942741 -13.794106 -13.947535 0.296313
2454965.963175 -13.789506 -13.678829 0.296313
