# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 -13.436019 -12.178105 4.007107
2458216.472123 -13.493085 -18.013653 3.673070
2458216.472781 -13.550065 -17.626920 3.453513
2458216.473555 -13.607304 -16.476359 3.189347
2458216.474302 -13.661095 -11.771202 2.775495
2458216.474960 -13.698420 -13.022795 2.587380
2458216.475709 -13.740906 -16.440728 2.394697
2458216.476368 -13.767845 -13.085086 2.203089
2458216.477029 -13.794735 -17.469705 2.073022
2458216.477689 -13.812366 -13.409355 1.938923
2458216.478438 -13.830375 -13.372713 1.807511
2458216.479099 -13.836925 -14.961000 1.679862
2458216.479757 -13.841495 -12.919426 1.608110
2458216.480417 -13.838295 -11.643259 1.506797
2458216.481168 -13.830423 -13.988993 1.439344
2458216.481825 -13.815842 -11.607364 1.367324
2458216.482484 -13.797331 -17.574461 1.329432
2458216.483143 -13.772872 -12.991890 1.288047
2458216.483802 -13.742737 -12.776295 1.256067
2458216.484461 -13.708443 -13.714416 1.231612
2458216.485121 -13.666705 -16.216797 1.197483
2458216.485869 -13.615476 -13.659163 1.183509
2458216.486528 -13.562443 -14.414587 1.164160
2458216.487186 -13.507356 -12.620484 1.153679
2458216.487847 -13.443055 -14.342922 1.150992
2458216.488597 -13.368142 -13.073043 1.135137
2458216.489255 -13.293451 -13.248715 1.119819
2458216.489914 -13.218343 -13.654403 1.115250
2458216.490575 -13.133050 -12.862496 1.107188
2458216.491234 -13.048015 -14.021055 1.103426
2458216.491893 -12.954444 -12.479136 1.093751
2458216.492641 -12.846934 -11.320112 1.099126
2458216.493301 -12.744215 -12.080616 1.088645
2458216.493960 -12.640431 -12.528904 1.090258
2458216.494619 -12.530650 -13.065548 1.085689
2458216.495279 -12.418312 -13.353977 1.088645
2458216.495941 -12.301271 -12.844538 1.085152
2458216.496600 -12.181451 -12.755451 1.085689
2458216.497260 -12.058556 -15.460525 1.082733
2458216.497919 -11.931854 -10.463433 1.084077
2458216.498578 -11.803515 -12.384573 1.085152
2458216.499345 -11.648967 -9.650593 1.073865
2458216.500004 -11.514698 -10.583483 1.066609
2458216.500663 -11.376643 -11.286251 1.069565
2458216.501324 -11.237576 -13.193261 1.074402
2458216.501984 -11.094857 -11.686362 1.076552
2458216.502735 -10.932012 -13.250178 1.072790
2458216.503390 -10.786763 -10.643374 1.073865
2458216.504049 -10.640628 -9.053958 1.076284
2458216.504708 -10.491758 -8.630619 1.076552
2458216.505369 -10.342338 -10.148955 1.073327
2458216.506121 -10.170382 -8.371452 1.068490
2458216.506784 -10.018446 -10.947334 1.078433
2458216.507447 -9.865443 -10.275549 1.071715
2458216.508201 -9.691164 -7.226218 1.067953
2458216.508865 -9.537203 -8.840924 1.070371
2458216.509527 -9.383597 -10.469266 1.074134
2458216.510190 -9.229815 -10.674317 1.063116
2458216.510853 -9.076060 -8.721467 1.068759
2458216.511511 -8.923843 -9.061220 1.068759
2458216.512265 -8.749798 -8.701030 1.071984
2458216.512932 -8.596530 -9.009099 1.062041
2458216.513596 -8.444561 -8.005227 1.069028
2458216.514260 -8.293323 -7.806842 1.071446
2458216.514920 -8.144095 -7.394048 1.073596
2458216.515584 -7.994559 -7.825131 1.058278
2458216.516241 -7.848304 -8.437932 1.065534
2458216.516901 -7.701672 -9.362619 1.063116
2458216.517563 -7.557051 -7.975231 1.063116
2458216.518227 -7.411992 -6.306473 1.061503
2458216.518888 -7.270608 -8.398726 1.069834
2458216.519551 -7.128901 -6.811201 1.059085
2458216.520304 -6.971289 -6.407924 1.063116
2458216.520966 -6.833256 -6.481542 1.066340
2458216.521627 -6.698504 -8.397178 1.068759
2458216.522291 -6.563813 -6.751820 1.063116
2458216.522953 -6.432246 -7.110797 1.056666
2458216.523614 -6.302146 -6.102956 1.053710
2458216.524275 -6.174295 -7.875779 1.065534
2458216.524939 -6.047806 -5.507354 1.066340
2458216.525604 -5.922878 -7.173296 1.069296
2458216.526266 -5.801119 -6.251970 1.064728
2458216.526932 -5.679818 -6.739115 1.056397
2458216.527597 -5.561998 -5.372533 1.058278
2458216.528258 -5.445473 -6.094065 1.055860
2458216.528911 -5.334276 -5.938273 1.061772
2458216.529574 -5.221377 -3.893759 1.055322
2458216.530233 -5.113639 -5.269822 1.060428
2458216.530897 -5.005200 -3.812840 1.059353
2458216.531676 -4.882667 -5.301868 1.069296
2458216.532339 -4.779045 -5.154738 1.070371
2458216.532999 -4.679916 -3.719985 1.063116
2458216.533662 -4.580952 -4.887780 1.062847
2458216.534324 -4.485497 -3.655958 1.057472
2458216.534985 -4.391456 -4.106570 1.064190
2458216.535648 -4.299812 -5.181769 1.067953
2458216.536310 -4.210223 -5.864306 1.064997
2458216.536972 -4.122640 -5.940294 1.066072
2458216.537632 -4.037846 -4.406549 1.064190
2458216.538295 -3.954003 -5.377581 1.071715
2458216.538959 -3.873175 -4.417215 1.079508
2458216.539620 -3.793410 -3.762191 1.074671
2458216.540283 -3.717095 -3.451265 1.078702
2458216.540945 -3.640977 -4.860333 1.081121
2458216.541612 -3.568523 -3.125523 1.082196
2458216.542277 -3.496287 -3.139540 1.083271
2458216.542939 -3.428101 -4.315510 1.089720
2458216.543602 -3.360276 -0.810115 1.097782
2458216.544268 -3.295223 -3.375075 1.086764
2458216.544919 -3.232634 -1.907775 1.082464
2458216.545582 -3.171264 -3.711688 1.083271
2458216.546242 -3.111760 -2.261491 1.080315
2458216.546905 -3.053736 -2.297595 1.083002
2458216.547561 -2.998399 -6.299433 1.079240
2458216.548214 -2.944401 -3.098243 1.093751
2458216.548989 -2.883381 -2.836657 1.094558
2458216.549641 -2.833146 -1.537455 1.092945
2458216.550301 -2.784767 -1.227159 1.114444
2458216.550954 -2.737413 -2.383467 1.089989
2458216.551616 -2.692361 -2.282975 1.091870
2458216.552279 -2.647265 -1.841810 1.081927
2458216.553029 -2.600019 -1.168831 1.073327
2458216.553691 -2.558316 -2.788092 1.080852
2458216.554354 -2.519778 -0.168312 1.077358
2458216.555017 -2.481245 -2.233501 1.088645
2458216.555680 -2.445390 -3.575217 1.080315
2458216.556339 -2.410182 -2.594709 1.086495
2458216.557001 -2.376955 -5.291398 1.081927
2458216.557665 -2.344480 -1.562508 1.083271
2458216.558332 -2.313539 -3.085161 1.088645
2458216.558993 -2.284082 -1.703770 1.093751
2458216.559659 -2.255640 -2.632702 1.079508
2458216.560323 -2.228824 -1.367208 1.089989
2458216.560985 -2.202910 -2.090455 1.085689
2458216.561646 -2.178869 -1.183869 1.081658
2458216.562310 -2.155152 -2.024825 1.083271
2458216.562974 -2.133567 -1.709331 1.070371
2458216.563635 -2.112150 -0.955038 1.068490
2458216.564297 -2.093090 -2.148839 1.072790
2458216.564959 -2.074029 -0.780397 1.074940
2458216.565623 -2.057018 -2.327324 1.087033
2458216.566284 -2.040349 -2.869483 1.085958
2458216.566949 -2.025292 -2.501062 1.086227
2458216.567611 -2.010876 -1.117032 1.083539
2458216.568274 -1.997782 -1.556502 1.066878
2458216.568937 -1.985544 -2.239687 1.069565
2458216.569600 -1.974308 -0.332976 1.071178
2458216.570262 -1.964207 -2.679432 1.077358
2458216.571579 -1.946814 -1.541038 1.078971
2458216.572242 -1.939105 -0.516182 1.087033
2458216.572905 -1.933019 -3.882834 1.084346
2458216.573566 -1.927027 -0.387983 1.066609
2458216.574230 -1.922856 -4.191528 1.083002
2458216.574892 -1.918696 -1.943776 1.086764
