# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 -13.436019 -13.845399 1.430342
2458216.472126 -13.493345 -12.900843 1.430342
2458216.472788 -13.550671 -10.243419 1.430342
2458216.473450 -13.599738 -16.212983 1.430342
2458216.474112 -13.647443 -13.763804 1.430342
2458216.474774 -13.687869 -13.333982 1.430342
2458216.475436 -13.725420 -14.027937 1.430342
2458216.476098 -13.756861 -12.666079 1.430342
2458216.476760 -13.783792 -13.667468 1.430342
2458216.477422 -13.805946 -16.982384 1.430342
2458216.478084 -13.821863 -14.093857 1.430342
2458216.478746 -13.834474 -13.077242 1.430342
2458216.479408 -13.839071 -15.750286 1.430342
2458216.480070 -13.841932 -13.135634 1.430342
2458216.480732 -13.834993 -13.915947 1.430342
2458216.481394 -13.827949 -11.146026 1.430342
2458216.482056 -13.809353 -14.620488 1.430342
2458216.482718 -13.790758 -16.946238 1.430342
2458216.483380 -13.762034 -12.660677 1.430342
2458216.484042 -13.731763 -14.889894 1.430342
2458216.484704 -13.693076 -13.072015 1.430342
2458216.485366 -13.651211 -14.300976 1.430342
2458216.486028 -13.602681 -12.065736 1.430342
2458216.486690 -13.549407 -14.029384 1.430342
2458216.487352 -13.491208 -14.784640 1.430342
2458216.488014 -13.426809 -11.355022 1.430342
2458216.488676 -13.359175 -12.366954 1.430342
2458216.489338 -13.284030 -15.065563 1.430342
2458216.490000 -13.207246 -12.147156 1.430342
2458216.490662 -13.121824 -11.632360 1.430342
2458216.491324 -13.036227 -13.651449 1.430342
2458216.491986 -12.941078 -12.740956 1.430342
2458216.492648 -12.845928 -13.995528 1.430342
2458216.493310 -12.742798 -14.160710 1.430342
2458216.493972 -12.638542 -13.017249 1.430342
2458216.494634 -12.528097 -10.473490 1.430342
2458216.495296 -12.415419 -11.680904 1.430342
2458216.495958 -12.298181 -12.476231 1.430342
2458216.496620 -12.177815 -9.955470 1.430342
2458216.497282 -12.054327 -11.294390 1.430342
2458216.497944 -11.927048 -12.096090 1.430342
2458216.498606 -11.797874 -12.776441 1.430342
2458216.499268 -11.664483 -12.690347 1.430342
2458216.499930 -11.530201 -14.774514 1.430342
2458216.500592 -11.391518 -15.155905 1.430342
2458216.501254 -11.252714 -11.624073 1.430342
2458216.501916 -11.109562 -9.163853 1.430342
2458216.502578 -10.966410 -11.569794 1.430342
2458216.503240 -10.820027 -11.506507 1.430342
2458216.503902 -10.673226 -8.517659 1.430342
2458216.504564 -10.524310 -9.790063 1.430342
2458216.505226 -10.374665 -12.322057 1.430342
2458216.505888 -10.223778 -10.552410 1.430342
2458216.506550 -10.072072 -9.836523 1.430342
2458216.507212 -9.919762 -11.499532 1.430342
2458216.507874 -9.766747 -8.811693 1.430342
2458216.508536 -9.613544 -8.537305 1.430342
2458216.509198 -9.459937 -8.025045 1.430342
2458216.509860 -9.306345 -10.679577 1.430342
2458216.510522 -9.152822 -9.775104 1.430342
2458216.511184 -8.999325 -9.320612 1.430342
2458216.511846 -8.846517 -8.941126 1.430342
2458216.512508 -8.693708 -8.657526 1.430342
2458216.513170 -8.542060 -9.778521 1.430342
2458216.513832 -8.390549 -7.576557 1.430342
2458216.514494 -8.240416 -10.247646 1.430342
2458216.515156 -8.090736 -9.188755 1.430342
2458216.515818 -7.942469 -10.106830 1.430342
2458216.516480 -7.795102 -9.984538 1.430342
2458216.517142 -7.649024 -9.683203 1.430342
2458216.517804 -7.504402 -6.469228 1.430342
2458216.518466 -7.360807 -6.788627 1.430342
2458216.519128 -7.219313 -5.640185 1.430342
2458216.519790 -7.078464 -7.108060 1.430342
2458216.520452 -6.940431 -5.459973 1.430342
2458216.521114 -6.802566 -7.583293 1.430342
2458216.521776 -6.668281 -5.753892 1.430342
2458216.522438 -6.533996 -5.650556 1.430342
2458216.523100 -6.403314 -6.163352 1.430342
2458216.523762 -6.273018 -5.946860 1.430342
2458216.524424 -6.145912 -4.315726 1.430342
2458216.525086 -6.019805 -4.075702 1.430342
2458216.525748 -5.896394 -5.695835 1.430342
2458216.526410 -5.774635 -8.684885 1.430342
2458216.527072 -5.655015 -6.189905 1.430342
2458216.527734 -5.537727 -4.816610 1.430342
2458216.528396 -5.421975 -4.473029 1.430342
2458216.529058 -5.309245 -5.054734 1.430342
2458216.529720 -5.197419 -2.992623 1.430342
2458216.530382 -5.089307 -4.466082 1.430342
2458216.531044 -4.981445 -2.659845 1.430342
2458216.531706 -4.877979 -5.573340 1.430342
2458216.532368 -4.774513 -3.477564 1.430342
2458216.533030 -4.675290 -5.415948 1.430342
2458216.533692 -4.576475 -2.020057 1.430342
2458216.534354 -4.481230 -3.213893 1.430342
2458216.535016 -4.387046 -4.018949 1.430342
2458216.535678 -4.295753 -3.968867 1.430342
2458216.536340 -4.206164 -4.778512 1.430342
2458216.537002 -4.118787 -2.704836 1.430342
2458216.537664 -4.033736 -5.228472 1.430342
2458216.538326 -3.950230 -5.371730 1.430342
2458216.538988 -3.869646 -2.006013 1.430342
2458216.539650 -3.789958 -3.255651 1.430342
2458216.540312 -3.713758 -2.527698 1.430342
2458216.540974 -3.637828 -2.727413 1.430342
2458216.541636 -3.565917 -5.297988 1.430342
2458216.542298 -3.494007 -4.186397 1.430342
2458216.542960 -3.425954 -4.456627 1.430342
2458216.543622 -3.358230 -3.633155 1.430342
2458216.544284 -3.293686 -3.112052 1.430342
2458216.544946 -3.230039 -2.360268 1.430342
2458216.545608 -3.168921 -3.868447 1.430342
2458216.546270 -3.109236 -0.718307 1.430342
2458216.546932 -3.051459 -2.672038 1.430342
2458216.547594 -2.995616 -5.940992 1.430342
2458216.548256 -2.941095 -0.964518 1.430342
2458216.548918 -2.888972 -1.467991 1.430342
2458216.549580 -2.837618 -2.002294 1.430342
2458216.550242 -2.789092 -3.131475 1.430342
2458216.550904 -2.740816 -0.862932 1.430342
2458216.551566 -2.695764 -3.148299 1.430342
2458216.552228 -2.650712 -2.398642 1.430342
2458216.552890 -2.608776 -3.965381 1.430342
2458216.553552 -2.567073 -2.204640 1.430342
2458216.554214 -2.527916 -3.546433 1.430342
2458216.554876 -2.489441 -0.794892 1.430342
2458216.555538 -2.452977 -3.830981 1.430342
2458216.556200 -2.417609 -2.656030 1.430342
2458216.556862 -2.383753 -3.525477 1.430342
2458216.557524 -2.351376 -3.894653 1.430342
2458216.558186 -2.320046 -3.543583 1.430342
2458216.558848 -2.290544 -2.109251 1.430342
2458216.559510 -2.261658 -4.836616 1.430342
2458216.560172 -2.234923 -1.566513 1.430342
2458216.560834 -2.208402 -2.495506 1.430342
2458216.561496 -2.184325 -0.339132 1.430342
2458216.562158 -2.160248 -5.863324 1.430342
2458216.562820 -2.138573 -2.915707 1.430342
2458216.563482 -2.117053 -1.556972 1.430342
2458216.564144 -2.097495 -2.510594 1.430342
2458216.564806 -2.078435 -3.408141 1.430342
2458216.565468 -2.060927 -1.595560 1.430342
2458216.566130 -2.044233 -2.445940 1.430342
2458216.566792 -2.028711 -3.622601 1.430342
2458216.567454 -2.014295 -2.714129 1.430342
2458216.568116 -2.000699 -2.479635 1.430342
2458216.568778 -1.988479 0.772146 1.430342
2458216.569440 -1.976750 -4.582171 1.430342
2458216.570102 -1.966649 -2.745499 1.430342
2458216.570764 -1.956731 -1.412853 1.430342
2458216.571426 -1.948676 -0.149517 1.430342
2458216.572088 -1.940621 0.650790 1.430342
2458216.572750 -1.934442 -3.714929 1.430342
2458216.573412 -1.928366 -1.224637 1.430342
2458216.574074 -1.923836 -4.176422 1.430342
2458216.574736 -1.919677 -2.596173 1.430342
2458216.575398 -1.916755 -1.857884 1.430342
2458216.576060 -1.914456 -1.798534 1.430342
2458216.576722 -1.913104 -1.824629 1.430342
2458216.577384 -1.912615 -1.577623 1.430342
2458216.578046 -1.912798 -2.137922 1.430342
2458216.578708 -1.914071 0.528823 1.430342
2458216.579370 -1.915758 -2.480941 1.430342
2458216.580032 -1.918753 -2.011954 1.430342
2458216.580694 -1.921914 -0.575845 1.430342
2458216.581356 -1.926595 -4.758330 1.430342
2458216.582018 -1.931275 -2.643604 1.430342
2458216.582680 -1.937539 -4.545919 1.430342
2458216.583342 -1.943874 -1.793509 1.430342
2458216.584004 -1.951537 -2.126343 1.430342
2458216.584666 -1.959500 -1.856668 1.430342
2458216.585328 -1.968546 -2.459225 1.430342
2458216.585990 -1.978116 -1.074761 1.430342
2458216.586652 -1.988532 -2.350379 1.430342
2458216.587314 -1.999693 -1.558601 1.430342
2458216.587976 -2.011470 -1.005713 1.430342
2458216.588638 -2.024208 -1.093423 1.430342
2458216.589300 -2.037338 -1.352345 1.430342
2458216.589962 -2.051647 -3.463350 1.430342
2458216.590624 -2.066125 -2.981423 1.430342
2458216.591286 -2.082002 0.039671 1.430342
2458216.591948 -2.097879 0.443193 1.430342
2458216.592610 -2.115272 0.418048 1.430342
2458216.593272 -2.132718 -1.347410 1.430342
2458216.593934 -2.151464 -0.627606 1.430342
2458216.594596 -2.170486 -2.244882 1.430342
2458216.595258 -2.190591 0.101289 1.430342
2458216.595920 -2.211199 -2.857021 1.430342
2458216.596582 -2.232673 -3.110745 1.430342
2458216.597244 -2.254881 -3.969386 1.430342
2458216.597906 -2.277736 -3.103039 1.430342
2458216.598568 -2.301563 -1.755430 1.430342
2458216.599230 -2.325813 -2.456772 1.430342
2458216.599892 -2.351282 -2.942990 1.430342
2458216.600554 -2.376945 -1.972163 1.430342
2458216.601216 -2.404082 -4.373427 1.430342
2458216.601878 -2.431219 -3.358390 1.430342
2458216.602540 -2.460013 -2.409162 1.430342
2458216.603202 -2.488849 -0.529610 1.430342
2458216.603864 -2.519131 -2.268390 1.430342
2458216.604526 -2.549702 -1.875019 1.430342
2458216.605188 -2.581499 -2.127213 1.430342
2458216.605850 -2.613842 -1.844430 1.430342
2458216.606512 -2.647185 -2.514996 1.430342
2458216.607174 -2.681343 -3.954315 1.430342
2458216.607836 -2.716263 -3.063360 1.430342
2458216.608498 -2.752283 -2.143428 1.430342
2458216.609160 -2.788814 -2.910084 1.430342
2458216.609822 -2.826746 -1.337852 1.430342
2458216.610484 -2.864925 -3.805855 1.430342
2458216.611146 -2.904822 -2.692518 1.430342
2458216.611808 -2.944719 -3.241991 1.430342
2458216.612470 -2.986606 -1.628060 1.430342
2458216.613132 -3.028525 -4.819996 1.430342
2458216.613794 -3.072199 -3.062953 1.430342
2458216.614456 -3.116201 -4.218611 1.430342
2458216.615118 -3.161708 -4.533083 1.430342
2458216.615780 -3.207857 -3.405515 1.430342
2458216.616442 -3.255244 -4.301745 1.430342
2458216.617104 -3.303606 -3.449412 1.430342
2458216.617766 -3.352923 -2.333718 1.430342
2458216.618428 -3.403569 -4.873538 1.430342
2458216.619090 -3.454866 -3.756996 1.430342
2458216.619752 -3.507869 -2.919574 1.430342
2458216.620414 -3.561200 -5.901759 1.430342
2458216.621076 -3.616636 -2.206427 1.430342
2458216.621738 -3.672071 -2.100027 1.430342
2458216.622400 -3.730000 -1.711134 1.430342
2458216.623062 -3.787946 -3.141119 1.430342
2458216.623724 -3.848099 -7.621026 1.430342
2458216.624386 -3.908635 -4.213039 1.430342
2458216.625048 -3.971070 -3.405781 1.430342
2458216.625710 -4.034279 -2.057516 1.430342
2458216.626372 -4.099056 -4.385341 1.430342
2458216.627034 -4.165022 -4.106462 1.430342
2458216.627696 -4.232200 -5.292080 1.430342
2458216.628358 -4.301006 -5.568495 1.430342
2458216.629020 -4.370647 -4.373568 1.430342
2458216.629682 -4.442379 -4.727384 1.430342
2458216.630344 -4.514543 -4.159707 1.430342
2458216.631006 -4.589285 -1.499535 1.430342
2458216.631668 -4.664033 -1.543726 1.430342
2458216.632330 -4.741869 -3.068741 1.430342
2458216.632992 -4.819705 -4.149297 1.430342
2458216.633654 -4.900274 -3.638613 1.430342
2458216.634316 -4.981286 -4.524200 1.430342
2458216.634978 -5.064639 -5.666035 1.430342
2458216.635640 -5.148907 -4.547695 1.430342
2458216.636302 -5.235099 -6.405386 1.430342
2458216.636964 -5.322699 -5.200037 1.430342
2458216.637626 -5.411782 -5.933504 1.430342
2458216.638288 -5.502785 -8.211519 1.430342
2458216.638950 -5.594809 -4.369479 1.430342
2458216.639612 -5.689281 -5.053442 1.430342
2458216.640274 -5.784291 -8.022410 1.430342
2458216.640936 -5.882290 -7.078818 1.430342
2458216.641598 -5.980328 -5.460775 1.430342
2458216.642260 -6.081902 -6.539805 1.430342
2458216.642922 -6.183476 -5.799024 1.430342
2458216.643584 -6.288192 -5.016814 1.430342
2458216.644246 -6.393379 -5.097053 1.430342
2458216.644908 -6.501214 -6.752817 1.430342
2458216.645570 -6.610039 -6.023298 1.430342
2458216.646232 -6.721003 -9.405303 1.430342
2458216.646894 -6.833475 -6.633977 1.430342
2458216.647556 -6.947566 -5.462210 1.430342
2458216.648218 -7.063677 -6.415305 1.430342
2458216.648880 -7.180883 -8.558640 1.430342
2458216.649542 -7.300605 -10.593715 1.430342
2458216.650204 -7.420902 -3.995363 1.430342
2458216.650866 -7.544182 -6.191813 1.430342
2458216.651528 -7.667532 -5.871167 1.430342
