# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 -16.089168 -16.017863 0.393641
2454964.594064 -16.025169 -16.425181 0.393641
2454964.634933 -15.961171 -15.737142 0.393641
2454964.655367 -15.929172 -16.519405 0.393641
2454964.675802 -15.897172 -16.029244 0.393641
2454964.696236 -15.865174 -15.963712 0.393641
2454964.716671 -15.833174 -15.327352 0.393641
2454964.737105 -15.799409 -15.778091 0.393641
2454964.757540 -15.762245 -16.009415 0.393641
2454964.777974 -15.725083 -15.784856 0.393641
2454964.798409 -15.687919 -15.908853 0.393641
2454964.818843 -15.650756 -15.279083 0.393641
2454964.839278 -15.613592 -15.918502 0.393641
2454964.859712 -15.576430 -14.979025 0.393641
2454964.880147 -15.539266 -15.762543 0.393641
2454964.900581 -15.502104 -15.240462 0.393641
2454964.921016 -15.461523 -15.456393 0.393641
2454964.941450 -15.419367 -14.937296 0.393641
2454964.961885 -15.377209 -15.053556 0.393641
2454964.982319 -15.335053 -14.953217 0.393641
2454965.002754 -15.292895 -15.449442 0.393641
2454965.023188 -15.250739 -15.363713 0.393641
2454965.043623 -15.208580 -15.010088 0.393641
2454965.064057 -15.166424 -15.121709 0.393641
2454965.084492 -15.124142 -15.591890 0.393641
2454965.104926 -15.077228 -14.561039 0.393641
2454965.125361 -15.030311 -14.507125 0.393641
2454965.145795 -14.983396 -15.263034 0.393641
2454965.166230 -14.936479 -15.399785 0.393641
2454965.186664 -14.889564 -14.580690 0.393641
2454965.207099 -14.842648 -14.999490 0.393641
2454965.227533 -14.795733 -14.902447 0.393641
2454965.247968 -14.748816 -14.399139 0.393641
2454965.268402 -14.700260 -14.548395 0.393641
2454965.288837 -14.648883 -14.635706 0.393641
2454965.309271 -14.597509 -14.098468 0.393641
2454965.329706 -14.546132 -14.835264 0.393641
2454965.350140 -14.494758 -15.206217 0.393641
2454965.370575 -14.443381 -14.942772 0.393641
2454965.391009 -14.392006 -14.966550 0.393641
2454965.411444 -14.340630 -14.360002 0.393641
2454965.431878 -14.289255 -14.715584 0.393641
2454965.452313 -14.234966 -14.936517 0.393641
2454965.472747 -14.179490 -13.652418 0.393641
2454965.493182 -14.124012 -13.590049 0.393641
2454965.513616 -14.068536 -14.642268 0.393641
2454965.534051 -14.013057 -14.779949 0.393641
2454965.554485 -13.957581 -14.055455 0.393641
