# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 -16.089168 -15.974911 0.398179
2454964.573629 -16.057169 -15.975139 0.398179
2454964.594063 -16.025171 -15.674646 0.398179
2454964.614497 -15.993173 -16.158857 0.398179
2454964.634931 -15.961174 -15.363736 0.398179
2454964.655365 -15.929176 -16.972021 0.398179
2454964.675799 -15.897177 -15.506991 0.398179
2454964.696233 -15.865179 -15.485277 0.398179
2454964.716667 -15.833180 -15.176928 0.398179
2454964.737101 -15.799417 -16.156666 0.398179
2454964.757535 -15.762254 -15.606211 0.398179
2454964.777969 -15.725092 -16.120591 0.398179
2454964.798403 -15.687930 -15.928358 0.398179
2454964.818837 -15.650767 -16.288528 0.398179
2454964.839271 -15.613605 -15.714861 0.398179
2454964.859705 -15.576443 -15.740447 0.398179
2454964.880139 -15.539280 -15.155617 0.398179
2454964.900573 -15.502118 -15.199748 0.398179
2454964.921007 -15.461542 -15.414504 0.398179
2454964.941441 -15.419386 -15.316318 0.398179
2454964.961875 -15.377230 -14.421200 0.398179
2454964.982309 -15.335074 -15.825385 0.398179
2454965.002743 -15.292917 -15.620513 0.398179
2454965.023177 -15.250761 -15.034998 0.398179
2454965.043611 -15.208605 -15.103889 0.398179
2454965.064045 -15.166449 -15.359433 0.398179
2454965.084479 -15.124172 -15.314910 0.398179
2454965.104913 -15.077257 -15.151681 0.398179
2454965.125347 -15.030343 -14.618432 0.398179
2454965.145781 -14.983428 -15.156983 0.398179
2454965.166215 -14.936514 -15.260286 0.398179
2454965.186649 -14.889599 -14.545269 0.398179
2454965.207083 -14.842684 -14.369995 0.398179
2454965.227517 -14.795770 -15.257262 0.398179
2454965.247951 -14.748855 -15.137386 0.398179
2454965.268385 -14.700303 -14.607819 0.398179
2454965.288819 -14.648929 -15.540782 0.398179
2454965.309253 -14.597554 -14.644941 0.398179
2454965.329687 -14.546180 -15.251605 0.398179
2454965.350121 -14.494805 -14.001801 0.398179
2454965.370555 -14.443431 -14.075391 0.398179
2454965.390989 -14.392057 -14.248434 0.398179
2454965.411423 -14.340682 -14.390412 0.398179
2454965.431857 -14.289308 -14.437504 0.398179
2454965.452291 -14.235026 -14.102271 0.398179
2454965.472725 -14.179550 -14.874652 0.398179
2454965.493159 -14.124074 -14.237875 0.398179
2454965.513593 -14.068598 -14.233448 0.398179
2454965.534027 -14.013122 -13.933005 0.398179
2454965.554461 -13.957646 -13.896433 0.398179
2454965.574895 -13.902170 -13.730004 0.398179
2454965.595329 -13.846695 -13.889641 0.398179
2454965.615763 -13.791031 -12.857116 0.398179
2454965.636197 -13.731866 -13.760476 0.398179
2454965.656631 -13.672701 -13.376990 0.398179
2454965.677065 -13.613536 -13.912377 0.398179
2454965.697499 -13.554371 -14.032304 0.398179
2454965.717933 -13.495206 -13.396032 0.398179
2454965.738367 -13.436040 -12.752106 0.398179
2454965.758801 -13.376875 -13.371939 0.398179
2454965.779235 -13.317710 -13.907131 0.398179
2454965.799669 -13.257277 -13.242153 0.398179
2454965.820103 -13.194882 -13.103642 0.398179
2454965.840537 -13.132486 -13.436363 0.398179
2454965.860971 -13.070091 -13.177402 0.398179
2454965.881405 -13.007696 -13.379319 0.398179
2454965.901839 -12.945300 -12.657134 0.398179
2454965.922273 -12.882905 -12.309079 0.398179
2454965.942707 -12.820510 -12.092283 0.398179
2454965.963141 -12.758114 -12.713780 0.398179
2454965.983575 -12.693712 -12.924581 0.398179
2454966.004009 -12.628585 -12.633882 0.398179
2454966.024443 -12.563457 -13.030899 0.398179
2454966.044877 -12.498329 -12.913736 0.398179
2454966.065311 -12.433201 -12.470626 0.398179
2454966.085745 -12.368073 -12.822859 0.398179
2454966.106179 -12.302946 -12.879988 0.398179
2454966.126613 -12.237818 -12.116430 0.398179
2454966.147047 -12.172522 -12.588941 0.398179
2454966.167481 -12.105188 -12.362895 0.398179
2454966.187915 -12.037854 -11.895057 0.398179
2454966.208349 -11.970521 -11.870178 0.398179
2454966.228783 -11.903187 -12.502814 0.398179
2454966.249217 -11.835853 -11.956239 0.398179
2454966.269651 -11.768520 -11.268269 0.398179
2454966.290085 -11.701186 -11.776360 0.398179
2454966.310519 -11.633852 -11.689735 0.398179
2454966.330953 -11.565824 -12.262570 0.398179
