# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2454964.553195 30.588577 30.661921 0.320885
2454964.573629 30.665329 30.737683 0.320885
2454964.594063 30.742081 30.640324 0.320885
2454964.614497 30.818834 30.430827 0.320885
2454964.634931 30.895586 30.425827 0.320885
2454964.655365 30.972338 31.515084 0.320885
2454964.675799 31.049090 31.379547 0.320885
2454964.696233 31.125843 30.802695 0.320885
2454964.716667 31.202595 31.372748 0.320885
2454964.737101 31.278552 31.252454 0.320885
2454964.757535 31.352979 31.732711 0.320885
2454964.777969 31.427406 31.583998 0.320885
2454964.798403 31.501833 31.466364 0.320885
2454964.818837 31.576259 31.285335 0.320885
2454964.839271 31.650686 31.277857 0.320885
2454964.859705 31.725113 31.392516 0.320885
2454964.880139 31.799539 31.504482 0.320885
2454964.900573 31.873966 32.020380 0.320885
2454964.921007 31.946434 32.033487 0.320885
2454964.941441 32.017995 31.745373 0.320885
2454964.961875 32.089555 32.715631 0.320885
2454964.982309 32.161116 32.384290 0.320885
2454965.002743 32.232677 32.019703 0.320885
2454965.023177 32.304238 32.743558 0.320885
2454965.043611 32.375798 32.251072 0.320885
2454965.064045 32.447359 32.731097 0.320885
2454965.084479 32.518834 32.969790 0.320885
2454965.104913 32.587006 32.175327 0.320885
2454965.125347 32.655178 32.715393 0.320885
2454965.145781 32.723349 32.194068 0.320885
2454965.166215 32.791521 32.597658 0.320885
2454965.186649 32.859693 32.803950 0.320885
2454965.207083 32.927865 32.441337 0.320885
2454965.227517 32.996037 32.777651 0.320885
2454965.247951 33.064209 32.815239 0.320885
2454965.268385 33.130954 33.274212 0.320885
2454965.288819 33.195242 33.575309 0.320885
2454965.309253 33.259529 33.545182 0.320885
2454965.329687 33.323816 33.407206 0.320885
2454965.350121 33.388104 34.050657 0.320885
2454965.370555 33.452391 32.776571 0.320885
2454965.390989 33.516678 33.234063 0.320885
2454965.411423 33.580966 33.635816 0.320885
2454965.431857 33.645253 34.276822 0.320885
2454965.452291 33.706461 33.674078 0.320885
2454965.472725 33.766405 33.181038 0.320885
2454965.493159 33.826350 33.610929 0.320885
2454965.513593 33.886294 33.365148 0.320885
2454965.534027 33.946238 33.886128 0.320885
2454965.554461 34.006182 33.624517 0.320885
2454965.574895 34.066127 33.852199 0.320885
2454965.595329 34.126071 34.199621 0.320885
2454965.615763 34.185774 33.757236 0.320885
2454965.636197 34.240962 34.368491 0.320885
2454965.656631 34.296150 34.373608 0.320885
2454965.677065 34.351339 34.207666 0.320885
2454965.697499 34.406527 33.873108 0.320885
2454965.717933 34.461715 35.009641 0.320885
2454965.738367 34.516904 35.326320 0.320885
2454965.758801 34.572092 34.754875 0.320885
2454965.779235 34.627280 34.885158 0.320885
2454965.799669 34.680461 35.020160 0.320885
2454965.820103 34.730534 34.989948 0.320885
2454965.840537 34.780608 34.648809 0.320885
2454965.860971 34.830681 34.984941 0.320885
2454965.881405 34.880754 34.574450 0.320885
2454965.901839 34.930828 35.168793 0.320885
2454965.922273 34.980901 34.708137 0.320885
2454965.942707 35.030975 35.549504 0.320885
2454965.963141 35.081048 34.774467 0.320885
2454965.983575 35.127146 35.058013 0.320885
2454966.004009 35.171806 34.729651 0.320885
2454966.024443 35.216466 35.686837 0.320885
2454966.044877 35.261126 35.294084 0.320885
2454966.065311 35.305786 35.071641 0.320885
2454966.085745 35.350446 35.296515 0.320885
2454966.106179 35.395106 35.678731 0.320885
2454966.126613 35.439766 35.285700 0.320885
2454966.147047 35.483996 35.985788 0.320885
2454966.167481 35.523009 35.742909 0.320885
2454966.187915 35.562022 35.281149 0.320885
2454966.208349 35.601035 35.863438 0.320885
2454966.228783 35.640049 35.714898 0.320885
2454966.249217 35.679062 35.341598 0.320885
2454966.269651 35.718075 35.248480 0.320885
2454966.290085 35.757088 35.353259 0.320885
2454966.310519 35.796101 35.500451 0.320885
2454966.330953 35.832685 35.694122 0.320885
2454966.351387 35.865887 35.624848 0.320885
2454966.371821 35.899089 36.165945 0.320885
2454966.392255 35.932290 36.643818 0.320885
2454966.412689 35.965492 36.256328 0.320885
2454966.433123 35.998694 35.988462 0.320885
2454966.453557 36.031895 36.039966 0.320885
2454966.473991 36.065097 36.442270 0.320885
2454966.494425 36.098299 36.415619 0.320885
2454966.514859 36.127013 36.258606 0.320885
2454966.535293 36.154309 35.836548 0.320885
