# t[BJD] flux_norm_perf flux_norm_noise flux_norm_err
2458216.471464 30.588577 30.655715 1.541229
2458216.472126 30.898880 31.474271 1.541229
2458216.472788 31.209183 33.453580 1.541229
2458216.473450 31.511415 32.070383 1.541229
2458216.474112 31.812316 32.489309 1.541229
2458216.474774 32.104911 33.794096 1.541229
2458216.475436 32.394225 34.063692 1.541229
2458216.476098 32.675657 33.277199 1.541229
2458216.476760 32.951270 32.566400 1.541229
2458216.477422 33.220072 34.509231 1.541229
2458216.478084 33.479981 32.195314 1.541229
2458216.478746 33.734760 33.374133 1.541229
2458216.479408 33.977109 31.295788 1.541229
2458216.480070 34.216564 36.737252 1.541229
2458216.480732 34.439686 33.562439 1.541229
2458216.481394 34.662622 34.715933 1.541229
2458216.482056 34.865064 35.138282 1.541229
2458216.482718 35.067507 32.522794 1.541229
2458216.483380 35.250966 34.328053 1.541229
2458216.484042 35.431522 39.319042 1.541229
2458216.484704 35.595508 38.308227 1.541229
2458216.485366 35.753235 35.638280 1.541229
2458216.486028 35.897235 34.926613 1.541229
2458216.486690 36.031466 37.199297 1.541229
2458216.487352 36.155127 35.660894 1.541229
2458216.488014 36.265481 38.462878 1.541229
2458216.488676 36.368613 35.653590 1.541229
2458216.489338 36.454987 35.973883 1.541229
2458216.490000 36.537562 37.071806 1.541229
2458216.490662 36.600126 37.767284 1.541229
2458216.491324 36.662270 37.889813 1.541229
2458216.491986 36.701450 34.664295 1.541229
2458216.492648 36.740631 37.824897 1.541229
2458216.493310 36.759899 34.765040 1.541229
2458216.493972 36.776358 37.420781 1.541229
2458216.494634 36.776760 37.585264 1.541229
2458216.495296 36.771367 37.442004 1.541229
2458216.495958 36.753634 33.232079 1.541229
2458216.496620 36.727438 35.277809 1.541229
2458216.497282 36.692387 36.531912 1.541229
2458216.497944 36.646585 37.608466 1.541229
2458216.498606 36.595110 38.647016 1.541229
2458216.499268 36.531012 36.181042 1.541229
2458216.499930 36.464066 38.379212 1.541229
2458216.500592 36.383065 34.116157 1.541229
2458216.501254 36.301649 38.583676 1.541229
2458216.501916 36.205190 37.142416 1.541229
2458216.502578 36.108731 38.780878 1.541229
2458216.503240 35.999883 35.818061 1.541229
2458216.503902 35.889432 36.164747 1.541229
2458216.504564 35.769660 34.786777 1.541229
2458216.505226 35.646678 37.073042 1.541229
2458216.505888 35.517013 33.556629 1.541229
2458216.506550 35.382935 35.420229 1.541229
2458216.507212 35.244385 34.609171 1.541229
2458216.507874 35.100599 35.974334 1.541229
2458216.508536 34.954138 35.684280 1.541229
2458216.509198 34.801969 34.434573 1.541229
2458216.509860 34.648534 34.050810 1.541229
2458216.510522 34.489233 31.443493 1.541229
2458216.511184 34.329718 34.524457 1.541229
2458216.511846 34.164453 35.573361 1.541229
2458216.512508 33.999187 30.722760 1.541229
2458216.513170 33.829550 31.801024 1.541229
2458216.513832 33.659397 36.375195 1.541229
2458216.514494 33.486306 31.953397 1.541229
2458216.515156 33.312251 32.786761 1.541229
2458216.515818 33.136355 30.480835 1.541229
2458216.516480 32.959289 29.879450 1.541229
2458216.517142 32.781184 31.571560 1.541229
2458216.517804 32.601907 34.612184 1.541229
2458216.518466 32.422138 30.016571 1.541229
2458216.519128 32.241360 33.702287 1.541229
2458216.519790 32.060420 32.015220 1.541229
2458216.520452 31.878769 29.768142 1.541229
2458216.521114 31.697103 30.621315 1.541229
2458216.521776 31.515125 33.458261 1.541229
2458216.522438 31.333146 29.112243 1.541229
2458216.523100 31.151299 30.963734 1.541229
2458216.523762 30.969466 31.177266 1.541229
2458216.524424 30.788052 31.189989 1.541229
2458216.525086 30.606769 32.639041 1.541229
2458216.525748 30.426041 31.119244 1.541229
2458216.526410 30.245652 29.446126 1.541229
2458216.527072 30.065829 32.859780 1.541229
2458216.527734 29.886621 31.922725 1.541229
2458216.528396 29.707893 28.571634 1.541229
2458216.529058 29.530107 28.012585 1.541229
2458216.529720 29.352636 29.564990 1.541229
2458216.530382 29.176466 28.825889 1.541229
2458216.531044 29.000392 26.125895 1.541229
2458216.531706 28.825996 27.341027 1.541229
2458216.532368 28.651600 30.310336 1.541229
2458216.533030 28.478936 27.246295 1.541229
2458216.533692 28.306438 25.996386 1.541229
2458216.534354 28.135478 32.034709 1.541229
2458216.535016 27.964975 25.217076 1.541229
2458216.535678 27.795773 25.072601 1.541229
2458216.536340 27.627337 27.469513 1.541229
2458216.537002 27.459935 28.166839 1.541229
2458216.537664 27.293618 25.918733 1.541229
2458216.538326 27.128047 26.355313 1.541229
2458216.538988 26.963884 26.364566 1.541229
2458216.539650 26.800166 27.662711 1.541229
2458216.540312 26.638179 28.200710 1.541229
